nm,Abs,
600.00,  0.522,
599.00,  0.526,
598.00,  0.530,
597.00,  0.530,
596.00,  0.531,
595.00,  0.536,
594.00,  0.535,
593.00,  0.532,
592.00,  0.534,
591.00,  0.528,
590.00,  0.527,
589.00,  0.532,
588.00,  0.523,
587.00,  0.524,
586.00,  0.521,
585.00,  0.518,
584.00,  0.512,
583.00,  0.512,
582.00,  0.509,
581.00,  0.515,
580.00,  0.510,
579.00,  0.511,
578.00,  0.515,
577.00,  0.523,
576.00,  0.533,
575.00,  0.526,
574.00,  0.536,
573.00,  0.541,
572.00,  0.546,
571.00,  0.556,
570.00,  0.559,
569.00,  0.573,
568.00,  0.575,
567.00,  0.584,
566.00,  0.590,
565.00,  0.594,
564.00,  0.607,
563.00,  0.611,
562.00,  0.622,
561.00,  0.626,
560.00,  0.633,
559.00,  0.641,
558.00,  0.646,
557.00,  0.653,
556.00,  0.656,
555.00,  0.648,
554.00,  0.657,
553.00,  0.653,
552.00,  0.657,
551.00,  0.652,
550.00,  0.651,
549.00,  0.646,
548.00,  0.648,
547.00,  0.642,
546.00,  0.643,
545.00,  0.638,
544.00,  0.631,
543.00,  0.630,
542.00,  0.639,
541.00,  0.631,
540.00,  0.635,
539.00,  0.645,
538.00,  0.647,
537.00,  0.655,
536.00,  0.668,
535.00,  0.677,
534.00,  0.687,
533.00,  0.699,
532.00,  0.711,
531.00,  0.722,
530.00,  0.730,
529.00,  0.751,
528.00,  0.753,
527.00,  0.762,
526.00,  0.772,
525.00,  0.785,
524.00,  0.791,
523.00,  0.791,
522.00,  0.794,
521.00,  0.787,
520.00,  0.801,
519.00,  0.797,
518.00,  0.783,
517.00,  0.779,
516.00,  0.769,
515.00,  0.758,
514.00,  0.749,
513.00,  0.743,
512.00,  0.734,
511.00,  0.726,
510.00,  0.714,
509.00,  0.703,
508.00,  0.690,
507.00,  0.688,
506.00,  0.678,
505.00,  0.674,
504.00,  0.675,
503.00,  0.667,
502.00,  0.669,
501.00,  0.678,
500.00,  0.681,
499.00,  0.677,
498.00,  0.682,
497.00,  0.684,
496.00,  0.703,
495.00,  0.714,
494.00,  0.719,
493.00,  0.729,
492.00,  0.744,
491.00,  0.753,
490.00,  0.758,
489.00,  0.768,
488.00,  0.790,
487.00,  0.783,
486.00,  0.796,
485.00,  0.807,
484.00,  0.812,
483.00,  0.828,
482.00,  0.837,
481.00,  0.839,
480.00,  0.854,
479.00,  0.865,
478.00,  0.871,
477.00,  0.870,
476.00,  0.887,
475.00,  0.902,
474.00,  0.903,
473.00,  0.927,
472.00,  0.928,
471.00,  0.949,
470.00,  0.957,
469.00,  0.982,
468.00,  0.988,
467.00,  1.007,
466.00,  1.026,
465.00,  1.038,
464.00,  1.057,
463.00,  1.068,
462.00,  1.092,
461.00,  1.113,
460.00,  1.123,
459.00,  1.144,
458.00,  1.155,
457.00,  1.175,
456.00,  1.188,
455.00,  1.220,
454.00,  1.246,
453.00,  1.263,
452.00,  1.292,
451.00,  1.314,
450.00,  1.346,
449.00,  1.365,
448.00,  1.403,
447.00,  1.421,
446.00,  1.459,
445.00,  1.503,
444.00,  1.509,
443.00,  1.559,
442.00,  1.575,
441.00,  1.588,
440.00,  1.596,
439.00,  1.633,
438.00,  1.659,
437.00,  1.638,
436.00,  1.660,
435.00,  1.655,
434.00,  1.673,
433.00,  1.674,
432.00,  1.676,
431.00,  1.656,
430.00,  1.617,
429.00,  1.650,
428.00,  1.612,
427.00,  1.601,
426.00,  1.588,
425.00,  1.572,
424.00,  1.560,
423.00,  1.541,
422.00,  1.542,
421.00,  1.513,
420.00,  1.538,
419.00,  1.491,
418.00,  1.497,
417.00,  1.457,
416.00,  1.415,
415.00,  1.390,
414.00,  1.366,
413.00,  1.336,
412.00,  1.308,
411.00,  1.278,
410.00,  1.236,
409.00,  1.201,
408.00,  1.186,
407.00,  1.149,
406.00,  1.125,
405.00,  1.116,
404.00,  1.077,
403.00,  1.076,
402.00,  1.054,
401.00,  1.040,
400.00,  1.003,
