nm,Abs,
600.00,  0.285,
599.00,  0.289,
598.00,  0.288,
597.00,  0.290,
596.00,  0.286,
595.00,  0.295,
594.00,  0.295,
593.00,  0.298,
592.00,  0.295,
591.00,  0.295,
590.00,  0.297,
589.00,  0.304,
588.00,  0.302,
587.00,  0.308,
586.00,  0.307,
585.00,  0.312,
584.00,  0.314,
583.00,  0.313,
582.00,  0.320,
581.00,  0.322,
580.00,  0.318,
579.00,  0.324,
578.00,  0.326,
577.00,  0.326,
576.00,  0.332,
575.00,  0.331,
574.00,  0.333,
573.00,  0.339,
572.00,  0.340,
571.00,  0.347,
570.00,  0.349,
569.00,  0.349,
568.00,  0.353,
567.00,  0.355,
566.00,  0.357,
565.00,  0.358,
564.00,  0.363,
563.00,  0.367,
562.00,  0.369,
561.00,  0.368,
560.00,  0.372,
559.00,  0.376,
558.00,  0.376,
557.00,  0.383,
556.00,  0.381,
555.00,  0.379,
554.00,  0.382,
553.00,  0.386,
552.00,  0.389,
551.00,  0.386,
550.00,  0.389,
549.00,  0.387,
548.00,  0.393,
547.00,  0.392,
546.00,  0.396,
545.00,  0.400,
544.00,  0.398,
543.00,  0.401,
542.00,  0.405,
541.00,  0.404,
540.00,  0.412,
539.00,  0.416,
538.00,  0.423,
537.00,  0.430,
536.00,  0.436,
535.00,  0.447,
534.00,  0.457,
533.00,  0.462,
532.00,  0.480,
531.00,  0.496,
530.00,  0.506,
529.00,  0.521,
528.00,  0.539,
527.00,  0.544,
526.00,  0.567,
525.00,  0.591,
524.00,  0.596,
523.00,  0.608,
522.00,  0.618,
521.00,  0.626,
520.00,  0.641,
519.00,  0.636,
518.00,  0.639,
517.00,  0.639,
516.00,  0.635,
515.00,  0.620,
514.00,  0.623,
513.00,  0.614,
512.00,  0.611,
511.00,  0.605,
510.00,  0.594,
509.00,  0.590,
508.00,  0.576,
507.00,  0.572,
506.00,  0.562,
505.00,  0.560,
504.00,  0.552,
503.00,  0.551,
502.00,  0.549,
501.00,  0.549,
500.00,  0.545,
499.00,  0.544,
498.00,  0.540,
497.00,  0.546,
496.00,  0.552,
495.00,  0.549,
494.00,  0.557,
493.00,  0.558,
492.00,  0.564,
491.00,  0.569,
490.00,  0.569,
489.00,  0.581,
488.00,  0.589,
487.00,  0.586,
486.00,  0.593,
485.00,  0.590,
484.00,  0.584,
483.00,  0.584,
482.00,  0.590,
481.00,  0.582,
480.00,  0.577,
479.00,  0.577,
478.00,  0.562,
477.00,  0.557,
476.00,  0.550,
475.00,  0.534,
474.00,  0.535,
473.00,  0.525,
472.00,  0.507,
471.00,  0.509,
470.00,  0.492,
469.00,  0.490,
468.00,  0.486,
467.00,  0.478,
466.00,  0.473,
465.00,  0.476,
464.00,  0.468,
463.00,  0.459,
462.00,  0.463,
461.00,  0.458,
460.00,  0.453,
459.00,  0.446,
458.00,  0.451,
457.00,  0.446,
456.00,  0.443,
455.00,  0.433,
454.00,  0.432,
453.00,  0.434,
452.00,  0.430,
451.00,  0.421,
450.00,  0.421,
449.00,  0.417,
448.00,  0.405,
447.00,  0.396,
446.00,  0.399,
445.00,  0.392,
444.00,  0.386,
443.00,  0.372,
442.00,  0.364,
441.00,  0.352,
440.00,  0.354,
439.00,  0.352,
438.00,  0.343,
437.00,  0.337,
436.00,  0.334,
435.00,  0.319,
434.00,  0.320,
433.00,  0.316,
432.00,  0.316,
431.00,  0.308,
430.00,  0.300,
429.00,  0.299,
428.00,  0.291,
427.00,  0.293,
426.00,  0.293,
425.00,  0.284,
424.00,  0.290,
423.00,  0.278,
422.00,  0.276,
421.00,  0.271,
420.00,  0.267,
419.00,  0.263,
418.00,  0.261,
417.00,  0.255,
416.00,  0.254,
415.00,  0.251,
414.00,  0.247,
413.00,  0.245,
412.00,  0.239,
411.00,  0.238,
410.00,  0.241,
409.00,  0.244,
408.00,  0.241,
407.00,  0.235,
406.00,  0.229,
405.00,  0.232,
404.00,  0.229,
403.00,  0.229,
402.00,  0.235,
401.00,  0.240,
400.00,  0.233,
399.00,  0.238,
398.00,  0.238,
397.00,  0.241,
396.00,  0.240,
395.00,  0.237,
394.00,  0.234,
393.00,  0.244,
392.00,  0.246,
391.00,  0.252,
390.00,  0.250,
389.00,  0.247,
388.00,  0.255,
387.00,  0.259,
386.00,  0.261,
385.00,  0.264,
384.00,  0.269,
383.00,  0.269,
382.00,  0.285,
381.00,  0.284,
380.00,  0.283,
379.00,  0.286,
378.00,  0.298,
377.00,  0.287,
376.00,  0.304,
375.00,  0.307,
374.00,  0.314,
373.00,  0.316,
372.00,  0.302,
371.00,  0.304,
370.00,  0.318,
369.00,  0.302,
368.00,  0.298,
367.00,  0.309,
366.00,  0.303,
365.00,  0.315,
364.00,  0.307,
363.00,  0.310,
362.00,  0.317,
361.00,  0.318,
360.00,  0.321,
359.00,  0.319,
358.00,  0.327,
357.00,  0.312,
356.00,  0.323,
355.00,  0.320,
354.00,  0.332,
353.00,  0.319,
352.00,  0.307,
351.00,  0.313,
350.00,  0.334,
349.00,  0.327,
348.00,  0.331,
347.00,  0.345,
346.00,  0.331,
345.00,  0.345,
344.00,  0.345,
343.00,  0.351,
342.00,  0.344,
341.00,  0.346,
340.00,  0.342,
339.00,  0.342,
338.00,  0.345,
337.00,  0.353,
336.00,  0.344,
335.00,  0.368,
334.00,  0.360,
333.00,  0.366,
332.00,  0.374,
331.00,  0.377,
330.00,  0.380,
329.00,  0.369,
328.00,  0.377,
327.00,  0.388,
326.00,  0.380,
325.00,  0.382,
324.00,  0.377,
323.00,  0.387,
322.00,  0.393,
321.00,  0.381,
320.00,  0.386,
319.00,  0.402,
318.00,  0.399,
317.00,  0.399,
316.00,  0.411,
315.00,  0.410,
314.00,  0.410,
313.00,  0.405,
312.00,  0.406,
311.00,  0.404,
310.00,  0.414,
309.00,  0.419,
308.00,  0.430,
307.00,  0.435,
306.00,  0.437,
305.00,  0.431,
304.00,  0.429,
303.00,  0.428,
302.00,  0.439,
301.00,  0.432,
300.00,  0.438,
