nm    	T%   
700.00 	103.4 
699.00 	103.4 
698.00 	103.9 
697.00 	103.7 
696.00 	103.4 
695.00 	103.6 
694.00 	103.3 
693.00 	103.7 
692.00 	103.9 
691.00 	103.6 
690.00 	103.6 
689.00 	103.8 
688.00 	104.0 
687.00 	103.7 
686.00 	104.0 
685.00 	103.9 
684.00 	104.1 
683.00 	103.7 
682.00 	103.5 
681.00 	103.9 
680.00 	104.2 
679.00 	103.8 
678.00 	103.9 
677.00 	104.2 
676.00 	104.1 
675.00 	104.2 
674.00 	104.4 
673.00 	104.3 
672.00 	104.0 
671.00 	104.2 
670.00 	104.4 
669.00 	104.2 
668.00 	104.3 
667.00 	104.4 
666.00 	104.4 
665.00 	104.6 
664.00 	104.7 
663.00 	104.9 
662.00 	104.6 
661.00 	105.0 
660.00 	105.1 
659.00 	105.4 
658.00 	105.0 
657.00 	105.6 
656.00 	105.5 
655.00 	105.2 
654.00 	105.1 
653.00 	105.3 
652.00 	105.5 
651.00 	105.7 
650.00 	105.6 
649.00 	105.6 
648.00 	105.8 
647.00 	105.4 
646.00 	105.5 
645.00 	105.2 
644.00 	105.2 
643.00 	105.5 
642.00 	104.9 
641.00 	105.1 
640.00 	105.2 
639.00 	105.2 
638.00 	104.9 
637.00 	104.8 
636.00 	104.9 
635.00 	104.7 
634.00 	105.1 
633.00 	104.9 
632.00 	104.4 
631.00 	104.4 
630.00 	104.4 
629.00 	104.8 
628.00 	104.3 
627.00 	104.7 
626.00 	104.9 
625.00 	104.3 
624.00 	104.9 
623.00 	104.9 
622.00 	104.7 
621.00 	105.0 
620.00 	105.4 
619.00 	105.0 
618.00 	105.1 
617.00 	104.8 
616.00 	105.3 
615.00 	105.2 
614.00 	105.9 
613.00 	105.6 
612.00 	105.6 
611.00 	105.7 
610.00 	105.6 
609.00 	105.9 
608.00 	105.7 
607.00 	105.7 
606.00 	106.2 
605.00 	106.1 
604.00 	106.0 
603.00 	106.2 
602.00 	106.1 
601.00 	106.1 
600.00 	106.6 
599.00 	106.7 
598.00 	106.7 
597.00 	106.7 
596.00 	106.8 
595.00 	106.5 
594.00 	106.7 
593.00 	106.7 
592.00 	107.0 
