nm    	T%   
700.00 	102.0 
699.00 	102.0 
698.00 	102.1 
697.00 	102.3 
696.00 	102.2 
695.00 	102.1 
694.00 	102.0 
693.00 	102.2 
692.00 	102.6 
691.00 	102.3 
690.00 	102.3 
689.00 	102.1 
688.00 	102.7 
687.00 	102.5 
686.00 	102.4 
685.00 	102.0 
684.00 	102.4 
683.00 	102.1 
682.00 	102.3 
681.00 	102.2 
680.00 	102.5 
679.00 	102.2 
678.00 	102.4 
677.00 	102.2 
676.00 	102.6 
675.00 	102.7 
674.00 	102.6 
673.00 	103.0 
672.00 	102.3 
671.00 	102.6 
670.00 	102.9 
669.00 	102.4 
668.00 	102.7 
667.00 	102.7 
666.00 	102.8 
665.00 	102.7 
664.00 	103.2 
663.00 	103.2 
662.00 	102.9 
661.00 	103.1 
660.00 	103.1 
659.00 	103.6 
658.00 	103.3 
657.00 	103.9 
656.00 	103.3 
655.00 	103.3 
654.00 	103.4 
653.00 	103.8 
652.00 	103.7 
651.00 	103.7 
650.00 	104.0 
649.00 	104.1 
648.00 	103.9 
647.00 	103.9 
646.00 	103.9 
645.00 	103.8 
644.00 	103.6 
643.00 	104.0 
642.00 	103.6 
641.00 	103.4 
640.00 	103.3 
639.00 	103.5 
638.00 	103.2 
637.00 	103.1 
636.00 	103.3 
635.00 	103.0 
634.00 	103.3 
633.00 	103.1 
632.00 	102.8 
631.00 	103.3 
630.00 	102.9 
629.00 	103.3 
628.00 	102.9 
627.00 	103.0 
626.00 	103.1 
625.00 	102.7 
624.00 	102.9 
623.00 	103.1 
622.00 	103.0 
621.00 	103.2 
620.00 	103.1 
619.00 	103.2 
618.00 	103.1 
617.00 	103.0 
616.00 	103.5 
615.00 	103.4 
614.00 	103.8 
613.00 	103.8 
612.00 	103.5 
611.00 	103.9 
610.00 	103.6 
609.00 	103.8 
608.00 	104.0 
607.00 	103.8 
606.00 	104.2 
605.00 	104.0 
604.00 	104.2 
603.00 	104.1 
602.00 	104.4 
601.00 	104.2 
600.00 	104.4 
599.00 	104.5 
598.00 	104.7 
597.00 	104.7 
596.00 	104.6 
595.00 	104.6 
594.00 	104.7 
593.00 	104.7 
592.00 	105.1 
591.00 	104.6 
590.00 	104.6 
589.00 	104.9 
588.00 	104.7 
587.00 	104.5 
586.00 	104.6 
585.00 	104.5 
584.00 	104.4 
583.00 	104.4 
582.00 	104.3 
581.00 	104.5 
580.00 	104.1 
579.00 	104.1 
578.00 	104.7 
577.00 	104.6 
576.00 	104.2 
575.00 	104.2 
574.00 	104.3 
573.00 	104.3 
572.00 	104.3 
571.00 	104.6 
570.00 	104.5 
569.00 	104.9 
568.00 	105.2 
567.00 	105.1 
566.00 	105.6 
565.00 	105.5 
564.00 	105.2 
563.00 	105.6 
562.00 	105.5 
561.00 	105.9 
560.00 	105.6 
559.00 	105.9 
558.00 	105.8 
557.00 	106.2 
556.00 	106.0 
555.00 	106.3 
554.00 	106.0 
553.00 	106.1 
552.00 	106.2 
551.00 	106.2 
550.00 	106.1 
549.00 	105.9 
548.00 	105.9 
547.00 	106.1 
546.00 	106.2 
545.00 	105.8 
544.00 	105.9 
543.00 	105.8 
542.00 	106.0 
541.00 	105.7 
