nm,T%,
700.00,  104.1,
699.00,  103.6,
698.00,  104.0,
697.00,  104.0,
696.00,  104.3,
695.00,  103.9,
694.00,  104.2,
693.00,  104.3,
692.00,  104.2,
691.00,  104.1,
690.00,  104.3,
689.00,  104.4,
688.00,  104.7,
687.00,  104.3,
686.00,  104.6,
685.00,  104.4,
684.00,  104.1,
683.00,  104.5,
682.00,  104.5,
681.00,  104.6,
680.00,  104.5,
679.00,  104.6,
678.00,  105.0,
677.00,  104.9,
676.00,  104.9,
675.00,  104.9,
674.00,  104.9,
673.00,  105.0,
672.00,  105.2,
671.00,  105.0,
670.00,  104.8,
669.00,  105.5,
668.00,  105.4,
667.00,  105.3,
666.00,  105.4,
665.00,  105.4,
664.00,  105.6,
663.00,  105.6,
662.00,  106.1,
661.00,  106.2,
660.00,  105.8,
659.00,  106.3,
658.00,  106.4,
657.00,  106.5,
656.00,  106.6,
655.00,  106.6,
654.00,  107.0,
653.00,  106.8,
652.00,  107.1,
651.00,  106.9,
650.00,  107.4,
649.00,  107.6,
648.00,  107.7,
647.00,  107.5,
646.00,  107.3,
645.00,  107.2,
644.00,  106.8,
643.00,  107.1,
642.00,  106.5,
641.00,  106.3,
640.00,  106.5,
639.00,  106.4,
638.00,  106.2,
637.00,  106.3,
636.00,  106.2,
635.00,  106.0,
634.00,  105.8,
633.00,  105.8,
632.00,  105.8,
631.00,  105.8,
630.00,  106.3,
629.00,  105.8,
628.00,  105.8,
627.00,  105.4,
626.00,  106.1,
625.00,  105.6,
624.00,  105.8,
623.00,  105.9,
622.00,  105.9,
621.00,  106.3,
620.00,  106.1,
619.00,  106.2,
618.00,  106.3,
617.00,  106.7,
616.00,  106.4,
615.00,  106.5,
614.00,  106.5,
613.00,  106.7,
612.00,  106.8,
611.00,  106.8,
610.00,  107.1,
609.00,  107.1,
608.00,  107.7,
607.00,  107.6,
606.00,  107.5,
605.00,  107.8,
604.00,  107.8,
603.00,  107.7,
602.00,  108.1,
601.00,  108.3,
600.00,  108.6,
599.00,  108.3,
598.00,  108.7,
597.00,  108.9,
596.00,  108.8,
595.00,  108.9,
594.00,  108.9,
593.00,  109.0,
592.00,  108.9,
