nm,T%,
700.00,  99.9,
699.00,  100.0,
698.00,  100.0,
697.00,  100.4,
696.00,  100.1,
695.00,  99.9,
694.00,  100.5,
693.00,  100.3,
692.00,  100.3,
691.00,  99.9,
690.00,  100.2,
689.00,  100.6,
688.00,  100.7,
687.00,  99.9,
686.00,  100.4,
685.00,  100.3,
684.00,  99.8,
683.00,  99.9,
682.00,  100.3,
681.00,  100.4,
680.00,  100.3,
679.00,  100.5,
678.00,  100.6,
677.00,  100.0,
676.00,  100.0,
675.00,  100.2,
674.00,  100.2,
673.00,  100.5,
672.00,  100.5,
671.00,  99.9,
670.00,  99.8,
669.00,  100.7,
668.00,  99.9,
667.00,  100.6,
666.00,  100.5,
665.00,  99.9,
664.00,  100.1,
663.00,  100.4,
662.00,  100.5,
661.00,  100.7,
660.00,  99.8,
659.00,  100.0,
658.00,  100.5,
657.00,  100.4,
656.00,  100.3,
655.00,  100.0,
654.00,  100.6,
653.00,  100.5,
652.00,  100.5,
651.00,  100.1,
650.00,  100.1,
649.00,  100.7,
648.00,  100.5,
647.00,  100.0,
646.00,  100.5,
645.00,  100.6,
644.00,  99.7,
643.00,  100.5,
642.00,  100.1,
641.00,  100.1,
640.00,  100.4,
639.00,  100.3,
638.00,  100.1,
637.00,  100.7,
636.00,  100.3,
635.00,  100.3,
634.00,  100.1,
633.00,  100.1,
632.00,  100.0,
631.00,  100.0,
630.00,  100.6,
629.00,  100.3,
628.00,  100.5,
627.00,  100.1,
626.00,  100.5,
625.00,  100.2,
624.00,  100.3,
623.00,  100.4,
622.00,  100.4,
621.00,  100.5,
620.00,  100.2,
619.00,  100.0,
618.00,  100.4,
617.00,  100.3,
616.00,  100.8,
615.00,  100.4,
614.00,  99.9,
613.00,  100.4,
612.00,  100.0,
611.00,  100.1,
610.00,  100.3,
609.00,  100.3,
608.00,  100.3,
607.00,  100.3,
606.00,  100.7,
605.00,  100.5,
604.00,  100.4,
603.00,  100.1,
602.00,  100.5,
601.00,  100.6,
600.00,  100.5,
599.00,  100.3,
598.00,  100.6,
597.00,  100.4,
596.00,  100.4,
595.00,  100.4,
594.00,  100.5,
593.00,  100.7,
592.00,  100.4,
591.00,  100.5,
590.00,  100.6,
589.00,  100.6,
588.00,  100.5,
587.00,  100.2,
586.00,  100.3,
585.00,  100.3,
584.00,  99.9,
583.00,  100.4,
582.00,  100.7,
581.00,  100.6,
580.00,  100.2,
579.00,  100.3,
578.00,  100.6,
577.00,  100.4,
576.00,  100.3,
575.00,  100.4,
574.00,  100.3,
573.00,  100.1,
572.00,  100.5,
571.00,  100.8,
570.00,  100.6,
569.00,  100.3,
568.00,  100.5,
567.00,  100.8,
566.00,  100.5,
565.00,  100.6,
564.00,  101.0,
563.00,  100.5,
562.00,  100.9,
561.00,  100.5,
560.00,  100.4,
559.00,  100.8,
558.00,  100.5,
557.00,  100.5,
556.00,  100.4,
555.00,  100.6,
554.00,  100.7,
553.00,  101.0,
552.00,  100.6,
551.00,  100.6,
550.00,  100.8,
549.00,  100.7,
548.00,  100.7,
547.00,  100.9,
546.00,  100.6,
545.00,  100.3,
544.00,  100.5,
543.00,  101.1,
542.00,  101.1,
541.00,  100.8,
540.00,  100.7,
539.00,  100.6,
538.00,  100.6,
537.00,  100.7,
536.00,  100.5,
535.00,  100.4,
534.00,  100.4,
533.00,  100.6,
532.00,  100.7,
531.00,  100.7,
530.00,  100.9,
529.00,  100.8,
528.00,  100.8,
527.00,  100.8,
526.00,  101.1,
525.00,  101.0,
524.00,  100.9,
523.00,  100.9,
522.00,  101.0,
521.00,  100.7,
520.00,  101.2,
519.00,  101.2,
518.00,  101.1,
517.00,  100.8,
516.00,  101.0,
515.00,  101.1,
514.00,  100.8,
513.00,  101.1,
512.00,  101.1,
511.00,  101.2,
510.00,  101.0,
509.00,  101.3,
508.00,  100.9,
507.00,  100.6,
506.00,  100.6,
505.00,  100.6,
504.00,  101.0,
503.00,  101.1,
502.00,  100.9,
501.00,  100.7,
500.00,  100.2,
499.00,  100.8,
498.00,  101.0,
497.00,  100.5,
496.00,  100.9,
495.00,  100.8,
494.00,  100.6,
493.00,  100.5,
492.00,  100.8,
491.00,  100.9,
490.00,  101.0,
489.00,  101.2,
488.00,  100.5,
487.00,  100.8,
486.00,  100.6,
485.00,  100.7,
484.00,  100.8,
483.00,  100.8,
482.00,  100.9,
481.00,  100.7,
480.00,  100.6,
479.00,  100.9,
478.00,  101.1,
477.00,  100.6,
476.00,  100.5,
475.00,  100.9,
474.00,  101.0,
473.00,  101.0,
472.00,  100.6,
471.00,  100.9,
470.00,  100.5,
469.00,  100.9,
468.00,  100.7,
467.00,  101.0,
466.00,  100.8,
465.00,  100.9,
464.00,  101.1,
463.00,  100.9,
462.00,  101.1,
461.00,  101.5,
460.00,  101.4,
459.00,  101.4,
458.00,  101.2,
457.00,  101.7,
456.00,  101.6,
455.00,  101.0,
454.00,  101.2,
453.00,  101.5,
452.00,  102.4,
451.00,  101.9,
450.00,  102.1,
449.00,  101.9,
448.00,  102.0,
447.00,  102.2,
446.00,  102.3,
445.00,  102.2,
444.00,  102.5,
443.00,  102.5,
442.00,  103.1,
441.00,  102.9,
440.00,  103.3,
439.00,  103.1,
438.00,  103.4,
437.00,  103.6,
436.00,  104.0,
435.00,  104.1,
434.00,  103.9,
433.00,  104.0,
432.00,  104.3,
431.00,  104.3,
430.00,  104.7,
429.00,  104.1,
428.00,  104.0,
427.00,  104.8,
426.00,  104.3,
425.00,  104.7,
424.00,  105.0,
423.00,  104.3,
422.00,  104.9,
421.00,  104.4,
420.00,  104.7,
419.00,  104.5,
418.00,  104.9,
417.00,  104.3,
416.00,  104.3,
415.00,  104.0,
414.00,  103.8,
413.00,  103.8,
412.00,  104.2,
411.00,  103.6,
410.00,  103.5,
409.00,  102.9,
408.00,  103.2,
407.00,  103.0,
406.00,  103.0,
405.00,  102.9,
404.00,  103.4,
403.00,  103.2,
402.00,  102.4,
401.00,  102.7,
400.00,  102.8,
399.00,  102.4,
398.00,  102.2,
397.00,  102.3,
396.00,  102.0,
395.00,  102.3,
394.00,  102.0,
393.00,  102.4,
392.00,  101.7,
391.00,  101.5,
390.00,  101.9,
389.00,  101.8,
388.00,  102.1,
387.00,  101.9,
386.00,  101.4,
385.00,  101.0,
384.00,  101.3,
383.00,  102.2,
382.00,  101.5,
381.00,  102.0,
380.00,  102.0,
379.00,  101.5,
378.00,  101.6,
377.00,  101.4,
376.00,  101.6,
375.00,  101.8,
374.00,  101.7,
373.00,  101.7,
372.00,  102.2,
371.00,  101.8,
370.00,  102.3,
369.00,  101.8,
368.00,  101.6,
367.00,  101.9,
366.00,  102.2,
365.00,  101.7,
364.00,  101.8,
363.00,  101.2,
362.00,  101.4,
361.00,  101.6,
360.00,  101.5,
359.00,  101.5,
358.00,  101.2,
357.00,  101.9,
356.00,  101.5,
355.00,  101.4,
354.00,  102.0,
353.00,  100.8,
352.00,  101.2,
351.00,  101.4,
350.00,  102.2,
349.00,  102.0,
348.00,  101.5,
347.00,  101.1,
346.00,  101.6,
345.00,  101.4,
344.00,  101.5,
343.00,  101.5,
342.00,  101.0,
341.00,  101.2,
340.00,  101.2,
339.00,  101.3,
338.00,  101.6,
337.00,  101.1,
336.00,  101.5,
335.00,  102.0,
334.00,  101.6,
333.00,  101.4,
332.00,  101.7,
331.00,  102.0,
330.00,  102.0,
329.00,  102.1,
328.00,  102.1,
327.00,  102.1,
326.00,  102.8,
325.00,  102.7,
324.00,  102.0,
323.00,  102.9,
322.00,  102.8,
321.00,  102.2,
320.00,  103.2,
319.00,  102.8,
318.00,  103.1,
317.00,  103.6,
316.00,  103.7,
315.00,  103.4,
314.00,  103.7,
313.00,  104.1,
312.00,  104.4,
311.00,  104.6,
310.00,  104.5,
309.00,  105.6,
308.00,  104.7,
307.00,  105.3,
306.00,  105.6,
305.00,  106.5,
304.00,  106.8,
303.00,  106.3,
302.00,  107.5,
301.00,  108.0,
300.00,  107.8,
