nm,T%,
700.00,  101.0,
699.00,  100.7,
698.00,  101.0,
697.00,  100.9,
696.00,  100.6,
695.00,  100.8,
694.00,  100.8,
693.00,  100.8,
692.00,  100.8,
691.00,  100.7,
690.00,  100.8,
689.00,  101.2,
688.00,  101.0,
687.00,  100.9,
686.00,  100.8,
685.00,  101.1,
684.00,  100.4,
683.00,  101.0,
682.00,  101.1,
681.00,  100.7,
680.00,  100.9,
679.00,  100.9,
678.00,  101.1,
677.00,  100.8,
676.00,  100.8,
675.00,  101.2,
674.00,  101.0,
673.00,  101.2,
672.00,  101.1,
671.00,  101.2,
670.00,  100.8,
669.00,  101.5,
668.00,  101.0,
667.00,  101.3,
666.00,  101.4,
665.00,  101.0,
664.00,  101.3,
663.00,  101.5,
662.00,  101.8,
661.00,  101.5,
660.00,  101.6,
659.00,  101.7,
658.00,  101.8,
657.00,  102.0,
656.00,  102.0,
655.00,  102.1,
654.00,  102.4,
653.00,  102.7,
652.00,  102.6,
651.00,  102.6,
650.00,  102.9,
649.00,  103.3,
648.00,  103.6,
647.00,  103.5,
646.00,  103.6,
645.00,  103.6,
644.00,  103.3,
643.00,  103.4,
642.00,  103.3,
641.00,  103.3,
640.00,  102.9,
639.00,  102.8,
638.00,  102.8,
637.00,  102.7,
636.00,  102.3,
635.00,  102.5,
634.00,  102.0,
633.00,  101.7,
632.00,  102.1,
631.00,  101.8,
630.00,  102.2,
629.00,  101.8,
628.00,  102.0,
627.00,  101.3,
626.00,  101.8,
625.00,  101.5,
624.00,  101.6,
623.00,  101.5,
622.00,  101.6,
621.00,  101.9,
620.00,  101.8,
619.00,  101.7,
618.00,  101.9,
617.00,  101.9,
616.00,  101.9,
615.00,  101.7,
614.00,  101.6,
613.00,  101.9,
612.00,  101.8,
611.00,  101.7,
610.00,  102.1,
609.00,  102.3,
608.00,  102.4,
607.00,  102.4,
606.00,  102.4,
605.00,  102.7,
604.00,  102.8,
603.00,  102.6,
602.00,  103.1,
601.00,  103.2,
600.00,  103.4,
599.00,  103.3,
598.00,  103.6,
597.00,  104.1,
596.00,  103.8,
595.00,  104.3,
594.00,  104.3,
