nm    	T%   
700.00 	100.2 
699.00 	100.0 
698.00 	100.4 
697.00 	100.0 
696.00 	100.2 
695.00 	99.8 
694.00 	99.8 
693.00 	100.3 
692.00 	100.3 
691.00 	100.3 
690.00 	99.6 
689.00 	99.9 
688.00 	100.4 
687.00 	100.2 
686.00 	100.9 
685.00 	100.2 
684.00 	99.6 
683.00 	100.0 
682.00 	100.4 
681.00 	100.8 
680.00 	100.7 
679.00 	100.7 
678.00 	100.2 
677.00 	100.4 
676.00 	100.2 
675.00 	100.0 
674.00 	99.7 
673.00 	99.7 
672.00 	99.8 
671.00 	100.4 
670.00 	100.7 
669.00 	100.7 
668.00 	100.3 
667.00 	99.8 
666.00 	100.7 
665.00 	101.2 
664.00 	101.1 
663.00 	100.8 
662.00 	100.1 
661.00 	99.5 
660.00 	100.4 
659.00 	100.5 
658.00 	100.8 
657.00 	100.3 
656.00 	100.4 
655.00 	100.5 
654.00 	100.5 
653.00 	101.0 
652.00 	100.9 
651.00 	100.2 
650.00 	99.8 
649.00 	100.9 
648.00 	100.7 
647.00 	100.7 
646.00 	101.1 
645.00 	100.6 
644.00 	100.5 
643.00 	100.2 
642.00 	100.8 
641.00 	100.9 
640.00 	100.6 
639.00 	100.3 
638.00 	100.3 
637.00 	99.8 
636.00 	100.4 
635.00 	100.5 
634.00 	101.0 
633.00 	101.2 
632.00 	100.7 
631.00 	100.3 
630.00 	100.2 
629.00 	100.4 
628.00 	100.7 
627.00 	100.6 
626.00 	100.9 
625.00 	100.8 
624.00 	100.6 
623.00 	100.3 
622.00 	100.2 
621.00 	101.2 
620.00 	101.0 
619.00 	101.0 
618.00 	100.4 
617.00 	100.3 
616.00 	100.5 
615.00 	101.1 
614.00 	101.0 
613.00 	101.1 
612.00 	100.8 
611.00 	101.2 
610.00 	100.9 
609.00 	100.9 
608.00 	101.3 
607.00 	101.3 
606.00 	100.7 
605.00 	101.0 
604.00 	100.7 
603.00 	101.4 
602.00 	101.0 
601.00 	101.5 
600.00 	101.4 
599.00 	100.6 
598.00 	100.9 
597.00 	101.1 
596.00 	101.5 
595.00 	101.9 
594.00 	101.9 
593.00 	101.5 
592.00 	101.2 
591.00 	101.3 
590.00 	101.7 
589.00 	102.1 
588.00 	101.6 
587.00 	101.5 
586.00 	101.4 
585.00 	101.5 
584.00 	101.6 
583.00 	102.3 
582.00 	101.9 
581.00 	102.2 
