nm    	T%   
700.00 	100.9 
699.00 	101.0 
698.00 	100.8 
697.00 	100.4 
696.00 	100.4 
695.00 	100.1 
694.00 	100.6 
693.00 	100.6 
692.00 	100.8 
691.00 	100.7 
690.00 	100.2 
689.00 	100.6 
688.00 	101.2 
687.00 	100.5 
686.00 	100.6 
685.00 	100.4 
684.00 	100.1 
683.00 	100.5 
682.00 	100.9 
681.00 	101.2 
680.00 	101.2 
679.00 	100.7 
678.00 	99.9 
677.00 	101.0 
676.00 	101.4 
675.00 	100.6 
674.00 	100.8 
673.00 	99.7 
672.00 	100.1 
671.00 	100.8 
670.00 	101.4 
669.00 	100.8 
668.00 	101.2 
667.00 	99.9 
666.00 	100.7 
665.00 	101.5 
664.00 	102.5 
663.00 	100.7 
662.00 	100.8 
661.00 	100.1 
660.00 	100.4 
659.00 	101.4 
658.00 	101.2 
657.00 	100.4 
656.00 	101.1 
655.00 	100.9 
654.00 	100.5 
653.00 	101.5 
652.00 	101.6 
651.00 	101.4 
650.00 	100.8 
649.00 	101.4 
648.00 	101.0 
647.00 	101.6 
646.00 	101.4 
645.00 	101.3 
644.00 	101.2 
643.00 	100.8 
642.00 	101.2 
641.00 	101.5 
640.00 	101.2 
639.00 	101.3 
638.00 	100.9 
637.00 	100.4 
636.00 	100.7 
635.00 	101.0 
634.00 	101.0 
633.00 	101.8 
632.00 	101.6 
631.00 	101.1 
630.00 	100.9 
629.00 	100.9 
628.00 	101.2 
627.00 	101.6 
626.00 	101.8 
625.00 	101.6 
624.00 	101.8 
623.00 	100.8 
622.00 	100.8 
621.00 	102.1 
620.00 	101.6 
619.00 	102.3 
618.00 	101.4 
617.00 	101.0 
616.00 	101.1 
615.00 	101.3 
614.00 	102.0 
613.00 	102.3 
612.00 	101.4 
611.00 	101.9 
610.00 	101.2 
609.00 	101.4 
608.00 	102.2 
607.00 	102.3 
606.00 	101.9 
605.00 	101.8 
604.00 	101.5 
603.00 	101.7 
602.00 	101.9 
601.00 	102.4 
600.00 	101.9 
599.00 	101.8 
598.00 	101.9 
597.00 	102.2 
596.00 	102.5 
595.00 	103.0 
594.00 	102.9 
593.00 	102.2 
592.00 	102.0 
591.00 	102.3 
590.00 	102.5 
589.00 	103.1 
588.00 	102.6 
587.00 	102.8 
586.00 	101.8 
585.00 	101.8 
584.00 	102.3 
583.00 	103.5 
582.00 	103.2 
581.00 	103.5 
580.00 	103.0 
579.00 	102.7 
578.00 	103.1 
577.00 	103.8 
576.00 	104.0 
575.00 	103.7 
574.00 	103.0 
573.00 	103.4 
572.00 	104.1 
571.00 	104.6 
570.00 	105.2 
569.00 	104.4 
568.00 	104.7 
567.00 	104.0 
566.00 	104.3 
565.00 	104.6 
564.00 	105.4 
563.00 	104.6 
562.00 	105.0 
561.00 	104.8 
560.00 	105.4 
559.00 	105.0 
558.00 	105.1 
557.00 	104.5 
556.00 	105.1 
555.00 	104.5 
554.00 	105.2 
553.00 	105.3 
552.00 	104.9 
551.00 	105.5 
550.00 	105.2 
549.00 	105.3 
548.00 	105.5 
547.00 	105.1 
546.00 	104.6 
545.00 	105.5 
544.00 	104.7 
543.00 	104.9 
542.00 	104.8 
541.00 	105.0 
540.00 	105.6 
539.00 	105.4 
538.00 	105.1 
537.00 	105.5 
536.00 	105.0 
535.00 	105.1 
534.00 	106.0 
533.00 	106.0 
532.00 	106.6 
531.00 	105.9 
530.00 	106.0 
529.00 	107.1 
528.00 	107.2 
527.00 	108.2 
526.00 	107.9 
525.00 	107.5 
524.00 	107.9 
523.00 	108.1 
522.00 	108.7 
521.00 	108.8 
520.00 	108.8 
519.00 	108.4 
518.00 	108.6 
517.00 	108.4 
516.00 	108.2 
515.00 	107.9 
514.00 	108.6 
513.00 	108.3 
512.00 	108.1 
511.00 	107.5 
510.00 	107.5 
509.00 	108.8 
508.00 	107.8 
507.00 	107.3 
506.00 	107.7 
505.00 	107.4 
504.00 	107.1 
503.00 	107.9 
502.00 	108.1 
501.00 	107.9 
500.00 	107.2 
499.00 	108.2 
498.00 	108.1 
497.00 	108.0 
496.00 	107.7 
495.00 	107.0 
494.00 	106.9 
493.00 	107.9 
492.00 	108.5 
491.00 	109.1 
490.00 	108.7 
489.00 	108.9 
488.00 	108.0 
487.00 	108.2 
486.00 	108.2 
485.00 	109.5 
484.00 	108.7 
483.00 	108.0 
482.00 	108.6 
481.00 	108.5 
480.00 	108.3 
479.00 	107.5 
478.00 	108.6 
477.00 	108.5 
476.00 	107.8 
475.00 	108.8 
474.00 	108.4 
473.00 	107.8 
472.00 	107.8 
471.00 	108.2 
470.00 	107.9 
469.00 	108.5 
468.00 	106.9 
467.00 	106.8 
466.00 	107.1 
465.00 	107.6 
464.00 	108.1 
463.00 	107.6 
462.00 	106.2 
461.00 	106.6 
460.00 	106.0 
459.00 	106.3 
458.00 	106.5 
457.00 	107.1 
456.00 	106.5 
455.00 	106.9 
454.00 	106.4 
453.00 	106.8 
452.00 	107.2 
451.00 	107.0 
450.00 	104.8 
449.00 	105.7 
448.00 	105.9 
447.00 	106.4 
446.00 	106.3 
445.00 	104.9 
444.00 	104.5 
443.00 	105.4 
442.00 	105.4 
441.00 	104.8 
440.00 	104.9 
439.00 	103.7 
438.00 	104.3 
437.00 	105.1 
436.00 	104.5 
435.00 	104.4 
434.00 	104.1 
433.00 	103.9 
432.00 	103.9 
431.00 	103.8 
430.00 	103.0 
429.00 	101.0 
428.00 	102.5 
427.00 	102.4 
426.00 	101.6 
425.00 	101.8 
424.00 	101.7 
423.00 	102.2 
422.00 	102.8 
421.00 	101.8 
420.00 	101.2 
419.00 	102.4 
418.00 	101.6 
417.00 	102.6 
416.00 	102.2 
415.00 	101.1 
414.00 	101.3 
413.00 	101.6 
412.00 	102.6 
411.00 	101.6 
410.00 	101.4 
409.00 	101.3 
408.00 	102.3 
407.00 	102.1 
406.00 	100.8 
405.00 	101.5 
404.00 	100.5 
403.00 	101.3 
402.00 	102.1 
401.00 	101.4 
400.00 	101.4 
399.00 	101.7 
398.00 	99.8 
397.00 	101.2 
396.00 	101.5 
395.00 	101.9 
394.00 	101.8 
393.00 	100.7 
392.00 	101.5 
391.00 	102.5 
390.00 	101.9 
389.00 	101.9 
388.00 	101.0 
387.00 	101.3 
386.00 	102.2 
385.00 	102.7 
384.00 	102.1 
383.00 	102.0 
382.00 	102.5 
381.00 	103.2 
380.00 	102.9 
379.00 	102.5 
378.00 	102.1 
377.00 	101.6 
376.00 	102.7 
375.00 	103.4 
374.00 	104.0 
373.00 	103.0 
372.00 	102.9 
371.00 	101.6 
370.00 	101.7 
369.00 	102.5 
368.00 	102.5 
367.00 	102.5 
366.00 	102.3 
365.00 	103.1 
364.00 	102.4 
363.00 	102.0 
362.00 	103.4 
361.00 	102.4 
360.00 	102.6 
359.00 	103.0 
358.00 	103.2 
357.00 	102.9 
356.00 	103.3 
355.00 	103.1 
354.00 	103.3 
353.00 	103.5 
352.00 	102.8 
351.00 	103.2 
350.00 	103.4 
349.00 	103.5 
348.00 	103.2 
347.00 	103.5 
346.00 	103.0 
345.00 	102.6 
344.00 	103.3 
343.00 	103.0 
342.00 	103.4 
341.00 	103.8 
340.00 	103.6 
339.00 	103.6 
338.00 	103.5 
337.00 	103.8 
336.00 	103.8 
335.00 	104.6 
334.00 	104.1 
333.00 	104.6 
332.00 	104.0 
331.00 	104.5 
330.00 	104.7 
329.00 	105.3 
328.00 	105.4 
327.00 	104.9 
326.00 	105.3 
325.00 	105.7 
324.00 	106.7 
323.00 	106.2 
322.00 	105.9 
321.00 	106.4 
320.00 	107.6 
319.00 	107.7 
318.00 	107.7 
317.00 	107.1 
316.00 	107.7 
315.00 	108.1 
314.00 	109.5 
313.00 	110.1 
312.00 	109.9 
311.00 	110.1 
310.00 	110.2 
309.00 	111.8 
308.00 	111.4 
307.00 	112.0 
306.00 	113.0 
305.00 	113.9 
304.00 	115.2 
303.00 	115.6 
302.00 	116.3 
301.00 	116.5 
300.00 	117.3 
299.00 	117.8 
298.00 	119.2 
297.00 	120.1 
296.00 	121.0 
295.00 	122.0 
294.00 	123.7 
293.00 	123.2 
292.00 	123.7 
291.00 	125.0 
290.00 	126.4 
289.00 	126.8 
288.00 	127.5 
287.00 	127.1 
286.00 	129.1 
285.00 	129.4 
284.00 	129.9 
283.00 	129.9 
282.00 	130.6 
281.00 	131.2 
280.00 	131.9 
279.00 	131.5 
278.00 	131.8 
277.00 	131.7 
276.00 	132.5 
275.00 	131.6 
274.00 	130.4 
273.00 	130.7 
272.00 	130.4 
271.00 	130.2 
270.00 	130.9 
269.00 	131.1 
268.00 	129.8 
267.00 	129.7 
266.00 	129.8 
265.00 	130.0 
264.00 	129.6 
263.00 	128.8 
262.00 	129.2 
261.00 	128.7 
260.00 	129.2 
259.00 	129.1 
258.00 	129.4 
257.00 	129.6 
256.00 	127.8 
255.00 	129.0 
254.00 	128.6 
253.00 	127.9 
252.00 	128.0 
251.00 	130.4 
250.00 	128.5 
