lambda,90,170,lambda,230
300,0.316455696202532,0.248908296943231,200,--
301,0.316455696202532,0.246724890829694,201,--
302,0.310126582278481,0.244541484716157,202,--
303,0.310126582278481,0.244541484716157,203,--
304,0.310126582278481,0.240174672489083,204,--
305,0.310126582278481,0.24235807860262,205,--
306,0.316455696202532,0.240174672489083,206,--
307,0.310126582278481,0.240174672489083,207,--
308,0.30379746835443,0.235807860262009,208,--
309,0.310126582278481,0.233624454148472,209,--
310,0.310126582278481,0.231441048034934,210,--
311,0.30379746835443,0.22707423580786,211,--
312,0.29746835443038,0.222707423580786,212,--
313,0.291139240506329,0.216157205240175,213,--
314,0.291139240506329,0.216157205240175,214,--
315,0.284810126582278,0.2117903930131,215,--
316,0.291139240506329,0.209606986899563,216,--
317,0.291139240506329,0.205240174672489,217,--
318,0.278481012658228,0.200873362445415,218,--
319,0.278481012658228,0.198689956331878,219,--
320,0.278481012658228,0.196506550218341,220,--
321,0.278481012658228,0.189956331877729,221,--
322,0.278481012658228,0.183406113537118,222,--
323,0.278481012658228,0.183406113537118,223,--
324,0.272151898734177,0.176855895196507,224,--
325,0.265822784810127,0.174672489082969,225,--
326,0.265822784810127,0.170305676855895,226,--
327,0.259493670886076,0.170305676855895,227,--
328,0.259493670886076,0.168122270742358,228,--
329,0.259493670886076,0.163755458515284,229,--
330,0.253164556962025,0.161572052401747,230,--
331,0.246835443037975,0.155021834061135,231,--
332,0.246835443037975,0.155021834061135,232,--
333,0.240506329113924,0.152838427947598,233,--
334,0.253164556962025,0.148471615720524,234,--
335,0.240506329113924,0.148471615720524,235,--
336,0.246835443037975,0.146288209606987,236,--
337,0.240506329113924,0.14410480349345,237,--
338,0.240506329113924,0.141921397379913,238,--
339,0.240506329113924,0.14410480349345,239,--
340,0.234177215189873,0.137554585152838,240,--
341,0.234177215189873,0.14410480349345,241,--
342,0.246835443037975,0.146288209606987,242,--
343,0.234177215189873,0.141921397379913,243,--
344,0.227848101265823,0.139737991266376,244,--
345,0.227848101265823,0.14410480349345,245,--
346,0.227848101265823,0.148471615720524,246,--
347,0.227848101265823,0.148471615720524,247,--
348,0.234177215189873,0.150655021834061,248,--
349,0.227848101265823,0.152838427947598,249,--
350,0.227848101265823,0.155021834061135,250,--
351,0.227848101265823,0.152838427947598,251,--
352,0.227848101265823,0.152838427947598,252,--
353,0.227848101265823,0.15938864628821,253,--
