EM wavelength,EX wavelength,A1c/R1c
630,430,8888.36392437844
635,430,13009.0263517607
640,430,27930.7269045757
645,430,48467.6500022606
650,430,58528.5481147484
655,430,55161.1300980865
660,430,43581.9572353348
665,430,30730.8971000499
670,430,21808.9696699559
675,430,15918.6175682697
680,430,12828.1522714994
685,430,11114.9575444138
690,430,10620.1492099766
695,430,10644.770391174
700,430,12229.8724702989
705,430,13910.7143158903
710,430,15327.4651600717
715,430,15796.2729076464
720,430,14229.4642753439
725,430,11117.4551634332
730,430,7957.18175910472
735,430,5705.30573844283
740,430,4170.29135762059
745,430,3144.80988957156
750,430,2426.78770989337
630,435,11336.5938357925
635,435,13525.0856063927
640,435,23355.5995936492
645,435,37819.0108601078
650,435,45659.8246005856
655,435,43665.9899294028
660,435,34533.2823479291
665,435,25778.1235390627
670,435,18200.3474457125
675,435,13861.0532366766
680,435,11348.9007312735
685,435,10075.0427062396
690,435,9138.08975497995
695,435,9208.99863801323
700,435,9966.6966962981
705,435,11033.4340582956
710,435,12001.3762277634
715,435,12298.9153369999
720,435,11033.2699205533
725,435,8543.90030881409
730,435,6741.29665230356
735,435,4975.79675012716
740,435,3868.48135585277
745,435,3058.50135297662
750,435,2520.92826091853
630,440,12571.7745663347
635,440,13027.8817119448
640,440,17406.7777741312
645,440,24955.1797585313
650,440,28495.2776351982
655,440,26955.4997526531
660,440,22638.439879749
665,440,17428.4790748169
670,440,13232.9293808991
675,440,10350.0784775566
680,440,8682.56470811286
685,440,7797.09774124129
690,440,7167.69539663623
695,440,6816.45513133991
700,440,7163.49997270051
705,440,7744.01815445842
710,440,7917.18099710336
715,440,7929.6704983019
720,440,7306.16955683287
725,440,5910.92474500171
730,440,4688.380531257
735,440,3747.00147397009
740,440,3227.1671884133
745,440,2596.49966308717
750,440,2294.66008008329
630,445,12724.708431804
635,445,12176.9872172507
640,445,14210.5149704963
645,445,18110.3430046696
650,445,19591.1260378439
655,445,18313.9596539182
660,445,15566.4320712235
665,445,12077.1176047543
670,445,9509.03333104216
675,445,7866.42158533508
680,445,6855.06033578303
685,445,5933.6929505546
690,445,5602.35358580166
695,445,5157.9004648994
700,445,5277.61772762371
705,445,5498.50787783338
710,445,5686.83885905601
715,445,5575.48780815402
720,445,4926.4113580477
725,445,4303.76770241605
730,445,3765.68882256062
735,445,2897.77775706232
740,445,2404.16052997558
745,445,2182.12535885204
750,445,2013.98562070677
630,450,12092.7137687359
635,450,11404.3612753598
640,450,12849.917222643
645,450,15504.3286761582
650,450,16374.4216457381
655,450,15370.4344412237
660,450,12641.4035100935
665,450,9925.92119552673
670,450,8086.25127369834
675,450,6602.02266343467
680,450,5788.04418336595
685,450,5027.69674235462
690,450,4819.46281489273
695,450,4440.04608587778
700,450,4519.03312333811
705,450,4708.16361494919
710,450,4730.60308806557
715,450,4642.40868659651
720,450,4031.89115158736
725,450,3393.44378876777
730,450,3012.25038017024
735,450,2493.8462698293
740,450,2181.72035669845
745,450,1794.53994611359
750,450,1672.87906618099
630,455,11717.9389775769
635,455,11096.6372144634
640,455,12515.6623665521
645,455,14837.1942279476
650,455,15338.1802690519
655,455,14186.3902097908
660,455,11492.5056238313
665,455,9126.94597032281
670,455,7256.19121445236
675,455,6006.93331956355
680,455,5146.13997080648
685,455,4650.52739809612
690,455,4338.72636108308
695,455,3996.35076578173
700,455,4052.60161940714
705,455,4231.53716406586
710,455,4339.98375419764
715,455,4162.86353262095
720,455,3923.18142764222
725,455,3108.43608274699
730,455,2618.18321246333
735,455,2209.5987358209
740,455,1839.01602232995
745,455,1780.83730124507
750,455,1629.47333413614
630,460,11338.2179483264
635,460,10536.5066709072
640,460,11778.7932437449
645,460,14182.6987845851
650,460,14865.1987364056
655,460,13582.85407988
660,460,10966.717349481
665,460,8561.6810059412
670,460,6751.592937336
675,460,5509.40079970874
680,460,4693.02908913193
685,460,4124.03266813495
690,460,3977.50937530676
695,460,3858.56628408416
700,460,3924.46587668505
705,460,3907.0784433825
710,460,3974.11213258087
715,460,4038.62369444424
720,460,3533.13519023615
725,460,2838.53482284171
730,460,2403.92025372081
735,460,2014.27486693424
740,460,1652.00747193748
745,460,1534.11085894073
750,460,1431.89843207266
630,465,10088.473763974
635,465,9782.44738172016
640,465,11343.7998391662
645,465,13790.069128221
650,465,14419.2028589672
655,465,13123.2971191337
660,465,10523.1135352323
665,465,8210.19589548448
670,465,6278.09346890636
675,465,5180.59046369155
680,465,4582.44604089614
685,465,4053.27278620545
690,465,3644.5858580755
695,465,3588.21764433953
700,465,3640.5421850815
705,465,3954.1664546034
710,465,3909.46416449537
715,465,3830.29943912979
720,465,3450.6407418578
725,465,2827.98632092733
730,465,2277.70708717403
735,465,1893.95015202587
740,465,1547.61002216337
745,465,1391.91680494821
750,465,1295.95382847109
630,470,8801.39062782821
635,470,8995.71163710402
640,470,10977.2048954389
645,470,13921.9350475498
650,470,14893.8333099509
655,470,13441.2237965442
660,470,10918.0007640361
665,470,8340.54781046964
670,470,6351.38821593431
675,470,5063.11895297044
680,470,4268.9386959524
685,470,3868.84368617544
690,470,3717.97324801598
695,470,3609.02645205377
700,470,3829.19861586123
705,470,3869.14669711578
710,470,4032.62244671218
715,470,4107.93664942338
720,470,3573.9921047725
725,470,2880.91275801242
730,470,2267.24453318011
735,470,1842.71678343024
740,470,1586.41665931285
745,470,1385.67490364545
750,470,1227.95862753084
630,475,8037.72757971045
635,475,8330.86049204062
640,475,11385.3492541839
645,475,15318.3323382274
650,475,16600.8630775278
655,475,15182.3851512028
660,475,12206.8691080531
665,475,8868.50004038693
670,475,6657.40325840247
675,475,5164.3917578766
680,475,4539.93689492779
685,475,4037.12453484453
690,475,3749.58966951032
695,475,3712.83453872105
700,475,4008.38777307597
705,475,4434.74355886316
710,475,4579.45400650937
715,475,4496.90542653564
720,475,4107.52540090928
725,475,3190.37120741199
730,475,2426.90252042896
735,475,1834.49648390599
740,475,1587.80492077795
745,475,1317.25056203856
750,475,1228.38604495558
630,480,7090.45855107951
635,480,7813.37573361533
640,480,11746.1547595227
645,480,16795.3965666671
650,480,18482.9906496389
655,480,16715.9216619457
660,480,13105.4068779151
665,480,9585.46885766396
670,480,6913.85474981939
675,480,5420.70949841617
680,480,4816.19296957553
685,480,4150.65575358913
690,480,3990.41283698879
695,480,3939.71460922429
700,480,4381.24272187599
705,480,4700.09928953955
710,480,4878.359670549
715,480,4914.62656951039
720,480,4427.28075907363
725,480,3505.95611046526
730,480,2561.11164205431
735,480,2041.8999826185
740,480,1598.32126492016
745,480,1433.63092848245
750,480,1161.84791643105
630,485,6465.56232552273
635,485,7442.08518340526
640,485,11586.4675125442
645,485,16987.381994994
650,485,18793.0522096628
655,485,16689.4928504892
660,485,13538.547738369
665,485,9696.77038354222
670,485,7201.22935529077
675,485,5537.52991736963
680,485,4566.10259971072
685,485,4196.63532710136
690,485,3910.0723325
695,485,3916.10043104794
700,485,4227.47180214752
705,485,4690.30738591114
710,485,4948.49724995051
715,485,5034.74350874388
720,485,4487.53425485958
725,485,3452.61679261938
730,485,2778.12503404771
735,485,2098.12002601997
740,485,1532.37214972802
745,485,1306.47692877975
750,485,1144.59924783968
630,490,6102.13438563793
635,490,7297.98943571803
640,490,11733.1427623751
645,490,17171.080321212
650,490,19092.7338732376
655,490,17069.8134326273
660,490,13632.6555072314
665,490,9592.29522730285
670,490,7168.03578801536
675,490,5382.50520995332
680,490,4591.27172060941
685,490,4165.28857450165
690,490,3972.55309976586
695,490,4022.76389728603
700,490,4211.29842935824
705,490,4661.00386038194
710,490,5109.91657837862
715,490,5142.92563837487
720,490,4452.83938917609
725,490,3456.79262107357
730,490,2759.32955701915
735,490,2052.82225719951
740,490,1599.15164260436
745,490,1361.62876341011
750,490,1182.25631043968
630,495,6034.79270127015
635,495,7639.45908846916
640,495,13553.6041004766
645,495,20934.2271318589
650,495,23308.506449824
655,495,20978.8065402857
660,495,16285.0311890874
665,495,11613.6124724183
670,495,8240.95077849123
675,495,6359.90957226621
680,495,5306.24503914463
685,495,4766.59528745664
690,495,4615.33747507526
695,495,4633.68792237751
700,495,5321.90092051983
705,495,5831.47414513756
710,495,6182.82710611327
715,495,6164.42883740383
720,495,5553.84967074941
725,495,4237.33761251049
730,495,3184.5903958747
735,495,2457.23195905152
740,495,1879.93232306133
745,495,1437.4731639588
750,495,1296.78007677159
630,500,6228.29901696534
635,500,9394.83957166524
640,500,19128.727107791
645,500,30869.0820343931
650,500,34343.3527404901
655,500,30883.8127559631
660,500,23588.3332790605
665,500,16525.9952450155
670,500,11304.5268845122
675,500,8706.84517838784
