X Intensity;Record 1: MOF230 1;Record 2: MOF230 2;Record 3: MOF230 3;Record 4: MOF230 - Zif8 1;Record 5: MOF230 - Zif8 2;Record 6: MOF230 - Zif8 3;Record 7: MOF170 1;Record 8: MOF170 2;Record 9: MOF170 3;Record 10: MOF170-ZIF8 1;Record 11: MOF170-ZIF8 2;Record 12: MOF170-ZIF8 3;Record 13: MOF90-ZIF8 1;Record 14: MOF90-ZIF8 2;Record 15: MOF90-ZIF8 3;Record 16: MOF90 1;Record 17: MOF90 2;Record 18: MOF90 3
0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3.615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7.531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8.721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0
11.696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.072;0
13.545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.122;0
15.686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.107;0
18.166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0
21.037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.106;0;0.058;0
24.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.481;0;0.294;0.031
28.214;0;0;0;0;0;0;0;0;0;0;0;0;0.352;0.327;1.226;0.132;0.915;0.803
32.674;0;0;0;0;0;0;0;0;0;0;0;0;1.571;1.947;2.367;1.32;2.015;2.265
37.84;0;0;0;0;0;0;0;0;0;0;0;0;3.771;4.463;3.852;3.616;3.586;4.138
43.821;0;0;0;0;0;0;0;0;0;0;0;0;6.717;7.107;5.556;6.56;5.504;6.131
50.748;0.075;0;0;0;0;0.191;0;0;0.133;0;0.22;0;9.901;9.225;7.3;9.491;7.544;7.998
58.771;0.584;0;0;0;0;0.657;0;0;0.498;0.085;0.756;0;12.662;10.45;8.874;11.784;9.42;9.539
68.061;1.232;0;0.572;0;0;0.963;0;0.667;1.093;1.087;1.507;0.071;14.355;10.708;10.077;13.001;10.843;10.594
78.82;1.733;0;1.615;0.938;0.491;0.954;0.018;2.338;2.044;2.932;2.475;1.581;14.529;10.133;10.743;12.96;11.574;11.045
91.28;2.042;0;2.767;2.759;1.755;0.898;2.859;4.703;3.523;5.208;3.745;4.389;13.072;8.974;10.774;11.737;11.475;10.832
105.709;2.325;0.797;3.801;4.66;3.569;1.283;7.874;7.277;5.578;7.463;5.363;7.749;10.272;7.508;10.153;9.624;10.538;9.966
122.42;2.83;2.659;4.697;6.025;5.543;2.525;13.153;9.602;8.035;9.335;7.254;10.832;6.773;5.982;8.95;7.044;8.894;8.543
141.772;3.746;5.411;5.554;6.675;7.309;4.744;16.853;11.323;10.504;10.594;9.19;12.979;3.425;4.58;7.318;4.463;6.794;6.733
164.183;5.118;8.553;6.479;6.776;8.613;7.673;17.88;12.215;12.47;11.135;10.844;13.814;1.027;3.415;5.465;2.296;4.568;4.772
190.137;6.818;11.439;7.498;6.639;9.332;10.728;16.096;12.183;13.447;10.96;11.869;13.264;0;2.534;3.629;0.822;2.564;2.919
220.194;8.58;13.453;8.525;6.546;9.464;13.175;12.216;11.266;13.123;10.147;12.002;11.519;0;1.929;2.04;0.117;1.069;1.417
255.002;10.07;14.164;9.38;6.646;9.088;14.356;7.501;9.621;11.474;8.833;11.137;8.97;0;1.557;0.874;0;0.237;0.436
295.312;10.97;13.42;9.851;6.932;8.33;13.893;3.337;7.502;8.8;7.192;9.37;6.119;0;1.357;0.213;0;0;0.014
341.995;11.059;11.384;9.756;7.271;7.329;11.821;0.763;5.224;5.671;5.417;6.991;3.482;0;1.263;0;0;0;0
396.058;10.261;8.489;9.008;7.473;6.218;8.61;0;3.114;2.797;3.699;4.436;1.482;0;1.214;0;0;0;0
458.666;8.674;5.347;7.649;7.362;5.105;5.064;0;1.453;0.81;2.209;2.189;0.344;0;1.163;0;0;0;0
531.172;6.554;2.602;5.854;6.83;4.071;2.089;0;0.413;0;1.073;0.653;0;0;1.08;0;0;0;0
615.139;4.268;0.76;3.905;5.872;3.165;0.376;0;0;0;0.357;0;0;0;0.954;0;0;0;0
712.379;2.224;0;2.131;4.591;2.413;0;0;0;0;0.04;0;0;0;0.787;0;0;0;0
824.992;0.768;0;0.822;3.171;1.817;0;0;0;0;0;0;0;0;0.594;0;0;0;0
955.406;0.069;0;0.138;1.838;1.366;0;0;0;0;0;0;0;0;0.399;0;0;0;0
1106.435;0;0;0;0.803;1.039;0;0;0;0;0;0;0;0;0.227;0;0;0;0
1281.34;0;0;0;0.195;0.809;0;0;0;0;0;0;0;0;0.098;0;0;0;0
1483.893;0;0;0;0;0.652;0;0;0;0;0;0;0;0;0.024;0;0;0;0
1718.466;0;0;0;0;0.543;0;0;0;0;0;0;0;0;0;0;0;0;0
1990.119;0;0;0;0;0.463;0;0;0;0;0;0;0;0;0;0;0;0;0
2304.716;0;0;0;0;0.397;0;0;0;0;0;0;0;0;0;0;0.071;0;0
2669.043;0;0;0;0;0.335;0;0;0;0;0;0;0;0;0;0;0.234;0;0
3090.964;0;0;0;0;0.274;0;0;0;0;0.067;0;0.016;0;0;0;0.474;0.002;0.002
3579.581;0;0;0;0;0.211;0;0;0.035;0;0.222;0;0.213;0;0;0;0.752;0.101;0.105
4145.438;0;0.087;0;0;0.151;0;0;0.159;0;0.44;0;0.6;0;0;0;1.014;0.304;0.316
4800.746;0;0.445;0;0;0.096;0;0.322;0.353;0;0.667;0;1.078;0.358;0;0;1.206;0.558;0.583
5559.644;0;0.988;0;0;0.052;0;1.129;0.552;0;0.839;0;1.497;1.216;0;0;1.282;0.783;0.822
6438.508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7456.302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8634.988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
