EM wavelength,EX wavelength,A1c/R1c
630,430,63414.31204
635,430,172457.84055
640,430,443444.12996
645,430,751792.60418
650,430,849666.07035
655,430,773403.46104
660,430,633400.44175
665,430,483535.85825
670,430,352976.34092
675,430,265517.21723
680,430,214969.14527
685,430,190326.49858
690,430,178564.02095
695,430,183410.4879
700,430,209590.99215
705,430,243717.08568
710,430,268824.93059
715,430,278416.74092
720,430,253545.4772
725,430,198102.04089
730,430,140806.04153
735,430,97644.29664
740,430,67392.52977
745,430,47986.50473
750,430,35382.97349
630,435,39778.61864
635,435,99293.99304
640,435,256797.76071
645,435,455680.51831
650,435,531710.67956
655,435,490348.52821
660,435,405359.32928
665,435,313585.02975
670,435,234563.61428
675,435,179867.69926
680,435,149552.41833
685,435,130931.24091
690,435,120635.49227
695,435,120643.78412
700,435,132075.40281
705,435,149353.19568
710,435,161852.48909
715,435,167549.92029
720,435,153241.47384
725,435,122542.79769
730,435,90841.79158
735,435,65570.14488
740,435,49105.24513
745,435,37291.09522
750,435,29065.1017
630,440,26414.28638
635,440,55891.5151
640,440,138260.19186
645,440,249803.15375
650,440,299867.50774
655,440,282239.07588
660,440,238963.68147
665,440,190351.18285
670,440,149298.15642
675,440,118968.11789
680,440,99866.2913
685,440,87438.95524
690,440,80192.67035
695,440,77553.10454
700,440,81851.17837
705,440,88809.58867
710,440,94901.87961
715,440,97301.82484
720,440,89978.89201
725,440,74017.56137
730,440,57188.59955
735,440,43516.43615
740,440,34518.13827
745,440,27559.53191
750,440,22834.25766
630,445,20608.91532
635,445,37155.46465
640,445,82910.05718
645,445,147389.33344
650,445,178741.7932
655,445,169043.11082
660,445,144001.17801
665,445,117146.5393
670,445,93996.58579
675,445,78611.59917
680,445,67813.4049
685,445,59412.4021
690,445,54094.66447
695,445,52006.59539
700,445,53755.57304
705,445,57091.19799
710,445,60238.92065
715,445,60672.02382
720,445,55690.78073
725,445,47000.02346
730,445,37790.56596
735,445,30254.73385
740,445,24219.0473
745,445,20205.36429
750,445,17276.63107
630,450,17265.69001
635,450,28348.08988
640,450,60709.52816
645,450,105878.52851
650,450,125176.20645
655,450,116697.4457
660,450,99099.2651
665,450,79845.56229
670,450,64612.65897
675,450,53872.22798
680,450,47419.80488
685,450,42741.14231
690,450,39242.04717
695,450,37571.74557
700,450,38864.85594
705,450,41006.53658
710,450,43057.98541
715,450,43590.58067
720,450,39766.08483
725,450,33221.86699
730,450,26514.13109
735,450,21755.11737
740,450,18226.32848
745,450,15002.67505
750,450,12618.93172
630,455,15285.98704
635,455,25217.43764
640,455,53195.34241
645,455,91567.83405
650,455,106879.50799
655,455,98492.62657
660,455,81308.66342
665,455,64400.56618
670,455,51491.61886
675,455,42424.30857
680,455,36631.43631
685,455,33293.48052
690,455,31010.15583
695,455,29995.23112
700,455,31904.5377
705,455,33936.03034
710,455,36129.89732
715,455,36397.4161
720,455,33153.8176
725,455,27212.99825
730,455,21685.24687
735,455,17213.04641
740,455,14199.95585
745,455,12284.82264
750,455,10638.56169
630,460,14532.20854
635,460,23258.72582
640,460,49492.72756
645,460,85345.5597
650,460,98860.98403
655,460,89909.44237
660,460,73688.58642
665,460,57127.6558
670,460,44607.47382
675,460,35960.25749
680,460,30975.56109
685,460,28178.6948
690,460,26569.68508
695,460,26038.79424
700,460,27830.41608
705,460,30128.78515
710,460,32140.98461
715,460,32497.7466
720,460,29593.74483
725,460,24216.4268
730,460,19006.28234
735,460,14767.97052
740,460,11893.60794
745,460,10005.76751
750,460,8686.95998
630,465,13896.29689
635,465,22784.10783
640,465,48165.73655
645,465,83435.81623
650,465,95891.24544
655,465,86640.94396
660,465,70550.43099
665,465,54543.5427
670,465,41212.66075
675,465,32657.50913
680,465,28206.89495
685,465,25464.30921
690,465,23790.77338
695,465,23481.59322
700,465,25390.62533
705,465,28632.66739
710,465,30266.23756
715,465,30590.88605
720,465,27678.73978
725,465,22545.85608
730,465,17499.90209
735,465,13529.03096
740,465,10896.6338
745,465,8859.09492
750,465,7424.47004
630,470,13773.77303
635,470,23883.60699
640,470,51843.96189
645,470,89570.02208
650,470,103363.47221
655,470,92472.72698
660,470,74810.37019
665,470,56613.44136
670,470,42612.89041
675,470,33229.83612
680,470,28080.52119
685,470,25290.42728
690,470,23836.66697
695,470,23929.96974
700,470,26258.37974
705,470,28892.65764
710,470,31233.79795
715,470,32121.43776
720,470,29409.99062
725,470,23123.3034
730,470,17730.32434
735,470,13487.65255
740,470,10815.77163
745,470,8553.84337
750,470,7218.60157
630,475,14657.0801
635,475,26568.4356
640,475,61698.4166
645,475,107922.37022
650,475,124721.14969
655,475,110748.99077
660,475,88776.67352
665,475,67142.54235
670,475,49335.10453
675,475,38327.81311
680,475,31855.05385
685,475,28539.22558
690,475,26886.36454
695,475,26965.04466
700,475,29664.55937
705,475,33304.65025
710,475,36701.03168
715,475,37299.48445
720,475,34010.18096
725,475,26910.17519
730,475,20386.63872
735,475,15267.97927
740,475,11459.7565
745,475,9079.42636
750,475,7437.12796
630,480,15528.28571
635,480,30167.99367
640,480,72138.19366
645,480,127271.22277
650,480,147209.75546
655,480,130660.14289
660,480,104415.17904
665,480,77992.00922
670,480,57215.75452
675,480,43896.43444
680,480,36698.4727
685,480,32563.0757
690,480,30624.79739
695,480,30698.16449
700,480,34016.63274
705,480,38644.11758
710,480,42267.60987
715,480,43586.98049
720,480,38777.8745
725,480,31299.61784
730,480,23052.74652
735,480,16764.7086
740,480,12703.1823
745,480,9993.40755
750,480,7892.28838
630,485,15726.97113
635,485,31194.84175
640,485,75226.81216
645,485,132819.96128
650,485,152795.54308
655,485,136189.39293
660,485,108118.67937
665,485,82029.1611
670,485,59895.7315
675,485,45332.49693
680,485,38108.34154
685,485,33328.36908
690,485,31544.00644
695,485,31654.86529
700,485,35517.79963
705,485,40320.18726
710,485,43506.12929
715,485,44864.89561
720,485,40641.13269
725,485,31815.3864
730,485,23473.79472
735,485,17357.66736
740,485,12759.27773
745,485,10131.50227
750,485,7846.55636
630,490,15690.01569
635,490,31852.05517
640,490,76555.97634
645,490,136606.28978
650,490,156893.34982
655,490,139251.13592
660,490,111067.94354
665,490,83357.55557
670,490,61235.08228
675,490,46577.0698
680,490,38672.79229
685,490,34008.51843
690,490,32230.90323
695,490,31899.5793
700,490,35837.15278
705,490,40167.80638
710,490,44710.52
715,490,45681.88266
720,490,41408.44926
725,490,32613.26686
730,490,23556.47186
735,490,17329.07938
740,490,12762.6683
745,490,9840.60533
750,490,7736.18726
630,495,17176.53397
635,495,36808.32771
640,495,91574.8642
645,495,161976.70497
650,495,186973.34306
655,495,164869.03778
660,495,131307.89886
665,495,97768.80987
670,495,71642.82149
675,495,54096.55739
680,495,44299.33472
685,495,39695.47277
690,495,37043.58414
695,495,37680.49515
700,495,42116.18025
705,495,48000.93133
710,495,53045.29774
715,495,54149.22333
720,495,48538.30571
725,495,37738.48036
730,495,27565.09141
735,495,19756.35357
740,495,14698.26152
745,495,11002.91241
750,495,8687.15993
630,500,21745.27081
635,500,51624.43098
640,500,132298.49263
645,500,235853.22743
650,500,269910.66872
655,500,237602.18725
660,500,188099.38404
665,500,140090.32502
670,500,101117.58288
675,500,76639.32197
680,500,62577.74427
685,500,55126.24608
690,500,52277.04937
695,500,52922.0746
700,500,60576.5062
705,500,68724.44295
710,500,76437.38732
715,500,78708.22996
720,500,70003.76584
725,500,54384.19491
730,500,39145.3961
735,500,27786.17987
740,500,20135.1359
745,500,14948.78565
750,500,11190.59564
630,505,27814.27237
635,505,71137.94803
640,505,186810.49356
645,505,329395.73411
