A	B	C
320	300	5,224.56
325	300	6,890.98
330	300	10,326.8
335	300	12,451.3
340	300	18,009
345	300	21,464.9
350	300	26,705.3
355	300	35,643.7
360	300	40,573.5
365	300	44,781.1
370	300	56,478.1
375	300	64,275
380	300	72,272.6
385	300	80,437.3
390	300	84,761.5
395	300	93,347.4
400	300	95,614.4
405	300	96,416.8
410	300	97,852.9
415	300	79,964.9
420	300	78,300.6
425	300	101,193
430	300	118,747
435	300	126,921
440	300	126,878
445	300	124,523
450	300	126,872
455	300	126,005
460	300	121,830
465	300	118,745
470	300	116,144
475	300	109,085
480	300	103,284
485	300	98,690
490	300	96,004.9
495	300	90,795.2
500	300	84,145.9
505	300	78,558.8
510	300	74,327.3
515	300	67,690.1
520	300	64,606.2
525	300	60,331.7
530	300	55,302.6
535	300	51,505.8
540	300	48,117.3
545	300	41,593.8
550	300	37,432.4
555	300	35,855.4
560	300	31,968.3
565	300	27,617.8
570	300	25,160.9
575	300	23,170
580	300	20,234
585	300	18,882.4
590	300	17,205.6
595	300	16,331.6
600	300	26,317.8
320	305	4,222.52
325	305	6,049.16
330	305	10,190.5
335	305	15,171.4
340	305	18,749.6
345	305	25,520.4
350	305	34,190
355	305	44,210.2
360	305	51,736.1
365	305	62,592.5
370	305	74,549
375	305	83,519.5
380	305	95,486.6
385	305	103,810
390	305	112,230
395	305	119,078
400	305	124,537
405	305	129,506
410	305	120,730
415	305	103,264
420	305	100,196
425	305	124,989
430	305	151,026
435	305	156,699
440	305	154,500
445	305	152,670
450	305	154,890
455	305	148,509
460	305	146,699
465	305	140,394
470	305	132,437
475	305	130,525
480	305	123,011
485	305	117,490
490	305	109,373
495	305	108,248
500	305	100,726
505	305	92,733.4
510	305	86,813.8
515	305	80,059.6
520	305	73,981
525	305	69,874.7
530	305	64,167.1
535	305	58,354.3
540	305	55,201.2
545	305	48,910.9
550	305	45,454.1
555	305	40,158.9
560	305	35,829.6
565	305	34,125.3
570	305	29,748.1
575	305	26,528.1
580	305	24,166.8
585	305	20,973.5
590	305	19,853.3
595	305	16,734.7
600	305	15,136.6
320	310	3,515.81
325	310	5,832.77
330	310	9,663.24
335	310	14,537.6
340	310	21,828.4
345	310	28,252.3
350	310	40,410.8
355	310	52,285.8
360	310	64,131.1
365	310	78,228.4
370	310	93,809.2
375	310	108,841
380	310	120,718
385	310	137,283
390	310	152,814
395	310	160,330
400	310	164,210
405	310	165,220
410	310	158,349
415	310	128,450
420	310	122,004
425	310	157,899
430	310	187,055
435	310	194,884
440	310	196,322
445	310	192,171
450	310	187,517
455	310	187,384
460	310	181,296
465	310	170,840
470	310	164,445
475	310	157,460
480	310	146,565
485	310	138,248
490	310	129,731
495	310	124,639
500	310	117,101
505	310	109,737
510	310	99,813.8
515	310	93,062.5
520	310	86,368.2
525	310	81,001.7
530	310	73,570.2
535	310	68,920.5
540	310	61,505.1
545	310	55,415.4
550	310	51,044.6
555	310	46,415.7
560	310	42,821.1
565	310	37,502.2
570	310	33,592.4
575	310	30,648.2
580	310	26,389.1
585	310	24,042.1
590	310	21,946.1
595	310	19,977.2
600	310	17,546.1
320	315	2,878.25
325	315	4,755.75
330	315	8,335.01
335	315	13,289.4
340	315	21,886.7
345	315	32,015.7
350	315	43,506.4
355	315	59,586.8
360	315	78,394.4
365	315	94,630.3
370	315	116,747
375	315	140,426
380	315	157,118
385	315	179,752
390	315	192,737
395	315	204,750
400	315	213,724
405	315	212,935
410	315	202,294
415	315	165,736
420	315	158,671
425	315	203,250
430	315	235,711
435	315	239,432
440	315	243,169
445	315	238,026
450	315	234,028
455	315	230,077
460	315	218,593
465	315	212,499
470	315	198,989
475	315	185,392
480	315	177,035
485	315	166,714
490	315	157,936
495	315	147,174
500	315	139,171
505	315	131,331
510	315	120,220
515	315	109,996
520	315	100,656
525	315	96,457.5
530	315	88,859.1
535	315	80,242.6
540	315	73,834.1
545	315	66,488.1
550	315	59,354.3
555	315	56,412.9
560	315	48,997
565	315	44,613
570	315	39,702.3
575	315	35,610
580	315	31,074.7
585	315	28,212
590	315	24,550.1
595	315	21,854.9
600	315	20,792.3
320	320	77,902.6
325	320	4,266.54
330	320	7,115.56
335	320	12,570.2
340	320	21,166.1
345	320	33,233.4
350	320	48,919.5
355	320	66,896.7
360	320	89,843.7
365	320	113,075
370	320	141,728
375	320	166,778
380	320	195,523
385	320	222,174
390	320	244,870
395	320	264,448
400	320	269,472
405	320	274,004
410	320	256,690
415	320	211,318
420	320	204,013
425	320	257,571
430	320	301,900
435	320	309,521
440	320	303,950
445	320	293,747
450	320	289,755
455	320	279,240
460	320	269,022
465	320	252,469
470	320	241,871
475	320	223,514
480	320	209,711
485	320	203,143
490	320	189,877
495	320	174,285
500	320	168,554
505	320	150,474
510	320	139,867
515	320	131,215
520	320	121,773
525	320	114,240
530	320	104,427
535	320	95,124.4
540	320	84,912.7
545	320	78,266.5
550	320	71,514.8
555	320	64,843
560	320	59,051.8
565	320	52,787.1
570	320	45,400.1
575	320	42,595
580	320	36,828.7
585	320	32,076.8
590	320	29,350.8
595	320	26,995.4
600	320	21,415.9
320	325	2,177.24
325	325	91,456.8
330	325	6,023.02
335	325	10,369.3
340	325	19,484.5
345	325	31,585.3
350	325	47,984.1
355	325	70,945.7
360	325	97,845.2
365	325	125,118
370	325	162,330
375	325	197,720
380	325	232,303
385	325	266,970
390	325	303,106
395	325	327,905
400	325	335,798
405	325	347,054
410	325	329,706
415	325	271,064
420	325	260,924
425	325	324,779
430	325	377,356
435	325	390,731
440	325	377,787
445	325	369,584
450	325	357,810
455	325	345,417
460	325	330,799
465	325	310,849
470	325	293,491
475	325	274,204
480	325	256,859
485	325	242,398
490	325	227,755
495	325	209,833
500	325	199,190
505	325	181,329
510	325	165,489
515	325	153,134
520	325	141,848
525	325	130,398
530	325	122,261
535	325	112,233
540	325	101,198
545	325	92,342.2
550	325	83,031.4
555	325	74,360.4
560	325	69,420.9
565	325	59,324.7
570	325	54,402.9
575	325	48,918
580	325	41,612
585	325	37,016.3
590	325	33,286.7
595	325	29,722
600	325	27,191.7
320	330	1,623.24
325	330	2,335.19
330	330	127,292
335	330	8,351.62
340	330	14,158.9
345	330	26,418.4
350	330	44,868
355	330	67,617.2
360	330	95,218.2
365	330	131,337
370	330	172,718
375	330	219,356
380	330	263,296
385	330	310,305
390	330	352,224
395	330	384,379
400	330	407,882
405	330	420,714
410	330	397,498
415	330	330,952
420	330	321,756
425	330	404,915
430	330	460,492
435	330	481,138
440	330	470,430
445	330	453,101
450	330	440,386
455	330	422,974
460	330	403,519
465	330	376,651
470	330	355,178
475	330	329,964
480	330	313,482
485	330	291,761
490	330	271,309
495	330	249,931
500	330	233,199
505	330	216,032
510	330	197,846
515	330	182,483
520	330	165,679
525	330	153,630
530	330	141,567
535	330	129,492
540	330	118,729
545	330	105,405
550	330	93,400.9
555	330	85,663.2
560	330	77,119
565	330	70,099.4
570	330	60,128.7
575	330	56,575.3
580	330	48,199.1
585	330	43,823.6
590	330	37,743.6
595	330	36,274.7
600	330	30,792.3
320	335	1,429.25
325	335	1,792.66
330	335	2,947.44
335	335	170,824
340	335	10,794.7
345	335	19,443.5
350	335	35,112.4
355	335	57,647.5
360	335	86,956.9
365	335	127,790
370	335	176,772
375	335	228,414
380	335	283,724
385	335	338,734
390	335	399,832
395	335	437,866
400	335	471,169
405	335	496,317
410	335	473,310
415	335	398,793
420	335	380,939
425	335	479,763
430	335	555,648
435	335	566,710
440	335	561,649
445	335	549,031
450	335	529,138
455	335	506,950
460	335	481,736
465	335	453,135
470	335	422,602
475	335	396,054
480	335	365,332
485	335	341,785
490	335	318,197
495	335	295,429
500	335	272,539
505	335	248,894
510	335	227,699
515	335	208,660
520	335	194,341
525	335	177,423
530	335	163,873
535	335	148,517
540	335	134,967
545	335	122,037
550	335	108,633
555	335	98,372.2
560	335	88,207.8
565	335	80,067
570	335	71,315.4
575	335	62,904.1
580	335	56,537.9
585	335	50,714.2
590	335	44,225.7
595	335	38,651.1
600	335	33,857.9
320	340	1,367.08
325	340	1,231.48
330	340	1,555.17
335	340	3,287.65
340	340	230,411
345	340	13,695.6
350	340	24,654.2
355	340	43,701.8
360	340	72,206.4
365	340	110,665
370	340	159,327
375	340	217,231
380	340	284,767
385	340	348,426
390	340	412,607
395	340	469,538
400	340	513,547
405	340	540,865
410	340	528,552
415	340	445,271
420	340	431,037
425	340	546,355
430	340	637,495
435	340	658,802
440	340	646,404
445	340	631,209
450	340	605,440
455	340	590,652
460	340	556,797
465	340	514,620
470	340	485,970
475	340	450,329
480	340	419,790
485	340	393,767
490	340	363,867
495	340	337,076
500	340	310,446
505	340	287,823
510	340	265,495
515	340	240,562
520	340	220,771
525	340	201,943
530	340	185,037
535	340	164,931
540	340	149,722
545	340	135,160
550	340	122,248
555	340	109,599
560	340	98,621.6
565	340	89,750.8
570	340	77,987.6
575	340	68,849.2
580	340	62,264.9
585	340	54,991.4
590	340	50,747
595	340	44,108.2
600	340	39,841.9
320	345	1,518.61
325	345	1,456.61
330	345	1,358.37
335	345	1,859.55
340	345	3,879.74
345	345	283,595
350	345	16,811.6
355	345	30,918.3
360	345	55,096.6
365	345	88,187.6
370	345	135,477
375	345	195,668
380	345	262,868
385	345	342,491
390	345	411,303
395	345	475,809
400	345	522,733
405	345	565,859
410	345	561,282
415	345	472,111
420	345	466,755
425	345	592,557
430	345	693,928
435	345	722,041
440	345	717,020
445	345	692,799
450	345	669,363
455	345	650,392
460	345	618,495
465	345	578,531
470	345	544,445
475	345	505,582
480	345	462,263
485	345	433,583
490	345	404,048
495	345	376,467
500	345	346,414
505	345	314,644
510	345	291,158
515	345	265,216
520	345	242,714
525	345	223,204
530	345	201,529
535	345	182,948
540	345	164,847
545	345	144,562
550	345	133,848
555	345	119,542
560	345	104,954
565	345	94,578
570	345	84,189.2
575	345	76,152.3
580	345	65,534.6
585	345	58,949.7
590	345	52,997.1
595	345	46,243.3
600	345	42,310.6
320	350	1,236.06
325	350	1,429.71
330	350	1,551.35
335	350	1,130.29
340	350	1,706.7
345	350	4,685.32
350	350	367,750
355	350	21,549.3
360	350	37,776
365	350	66,778
370	350	107,959
375	350	163,417
380	350	231,483
385	350	305,169
390	350	394,492
395	350	458,673
400	350	518,723
405	350	564,436
410	350	570,860
415	350	492,343
420	350	493,204
425	350	627,179
430	350	742,935
435	350	770,617
440	350	771,400
445	350	748,028
450	350	727,181
455	350	709,722
460	350	670,336
465	350	632,394
470	350	593,796
475	350	554,668
480	350	515,057
485	350	472,571
490	350	441,561
495	350	405,492
500	350	374,621
505	350	339,475
510	350	313,116
515	350	288,277
520	350	260,961
525	350	238,959
530	350	216,686
535	350	196,800
540	350	179,345
545	350	161,074
550	350	142,990
555	350	128,816
560	350	115,702
565	350	101,013
570	350	91,031.8
575	350	81,997.3
580	350	70,305.5
585	350	62,439
590	350	55,286.1
595	350	49,887.2
600	350	43,995.2
320	355	1,270.54
325	355	1,119.97
330	355	1,355.32
335	355	1,339.34
340	355	1,575.22
345	355	2,399.35
350	355	5,744.28
355	355	478,882
