Chan	Prompt	Decay
1	0	0
2	0	1
3	1	0
4	0	0
5	0	1
6	0	0
7	0	0
8	0	1
9	0	0
10	0	0
11	0	0
12	0	0
13	0	1
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	1
22	0	0
23	0	0
24	0	0
25	0	0
26	1	0
27	0	2
28	0	1
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	1	0
43	0	0
44	0	0
45	0	1
46	0	0
47	0	0
48	0	1
49	0	0
50	0	1
51	0	1
52	0	1
53	0	0
54	0	1
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	1
64	0	0
65	0	0
66	0	2
67	0	0
68	0	0
69	0	0
70	0	0
71	0	1
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	1
78	0	1
79	0	0
80	0	0
81	0	1
82	0	1
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	1	0
92	0	0
93	0	0
94	0	0
95	0	4
96	1	1
97	5	0
98	7	1
99	23	0
100	46	0
101	72	2
102	126	0
103	223	6
104	396	7
105	815	19
106	1486	39
107	2731	72
108	4335	163
109	6630	201
110	9312	359
111	11683	490
112	12891	633
113	13615	873
114	13118	1035
115	11184	1181
116	9416	1450
117	6861	1559
118	4782	1551
119	3333	1777
120	2047	1615
121	1283	1596
122	805	1690
123	425	1542
124	265	1298
125	138	1245
126	89	1102
127	64	995
128	46	937
129	36	916
130	30	794
131	20	704
132	22	625
133	13	622
134	13	555
135	16	548
136	14	486
137	10	515
138	9	476
139	10	392
140	9	426
141	5	448
142	4	354
143	0	341
144	2	335
145	3	286
146	1	286
147	0	283
148	1	255
149	1	260
150	1	251
151	1	239
152	2	225
153	1	223
154	0	197
155	0	215
156	0	177
157	0	187
158	1	182
159	1	200
160	0	171
161	0	145
162	0	173
163	0	182
164	0	153
165	0	137
166	0	135
167	0	125
168	0	114
169	1	123
170	1	126
171	0	115
172	0	100
173	0	105
174	0	108
175	2	92
176	0	118
177	0	86
178	0	87
179	0	75
180	0	83
181	0	94
182	0	82
183	0	65
184	0	61
185	0	78
186	0	84
187	0	66
188	0	78
189	1	70
190	0	57
191	0	56
192	1	54
193	0	50
194	0	64
195	0	49
196	0	64
197	0	49
198	0	62
199	0	61
200	0	57
201	0	56
202	0	50
203	0	60
204	1	49
205	0	42
206	0	45
207	2	41
208	1	48
209	0	37
210	0	43
211	1	50
212	0	42
213	0	47
214	0	40
215	0	37
216	0	34
217	0	37
218	0	31
219	0	39
220	0	41
221	0	40
222	0	37
223	1	43
224	0	43
225	0	34
226	0	27
227	0	29
228	0	32
229	0	32
230	0	34
231	0	31
232	0	19
233	0	31
234	0	25
235	0	25
236	0	28
237	0	31
238	0	21
239	0	28
240	1	27
241	2	21
242	0	25
243	0	24
244	0	21
245	3	22
246	1	29
247	2	15
248	0	27
249	1	25
250	0	24
251	0	24
252	2	28
253	3	15
254	2	12
255	0	20
256	1	11
257	1	25
258	1	24
259	0	18
260	1	20
261	1	21
262	1	23
263	0	28
264	0	17
265	0	16
266	0	16
267	0	15
268	1	16
269	1	23
270	1	17
271	0	13
272	0	25
273	1	12
274	1	11
275	2	17
276	1	20
277	1	18
278	0	16
279	0	12
280	0	14
281	1	22
282	0	17
283	1	16
284	2	14
285	2	21
286	0	7
287	1	9
288	1	17
289	1	20
290	0	14
291	2	12
292	1	19
293	0	21
294	1	17
295	0	11
296	0	15
297	0	14
298	0	16
299	0	8
300	1	16
301	0	17
302	1	10
303	0	9
304	0	13
305	1	10
306	1	10
307	0	14
308	0	13
309	2	15
310	0	13
311	2	6
312	0	7
313	2	16
314	1	6
315	1	8
316	1	8
317	1	13
318	1	15
319	0	9
320	0	10
321	1	16
322	2	7
323	3	13
324	1	12
325	0	12
326	2	13
327	1	10
328	1	9
329	2	10
330	1	9
331	4	12
332	1	12
333	4	8
334	1	6
335	2	12
336	1	9
337	1	9
338	2	12
339	0	7
340	2	7
341	2	6
342	1	8
343	4	7
344	2	5
345	1	9
346	1	9
347	0	9
348	0	7
349	0	9
350	0	6
351	1	10
352	2	5
353	0	8
354	2	3
355	0	9
356	0	6
357	1	1
358	1	9
359	2	6
360	3	4
361	1	7
362	4	9
363	1	8
364	1	9
365	0	5
366	0	3
367	0	7
368	3	5
369	2	4
370	2	7
371	1	6
372	0	4
373	1	9
374	1	10
375	0	6
376	0	10
377	1	4
378	0	5
379	1	5
380	2	8
381	0	4
382	2	3
383	1	12
384	1	8
385	2	1
386	1	4
387	1	5
388	1	0
389	0	2
390	1	4
391	0	8
392	1	3
393	0	6
394	1	2
395	1	4
396	1	8
397	0	3
398	0	3
399	1	6
400	1	3
401	1	6
402	1	1
403	1	1
404	0	2
405	1	6
406	1	4
407	1	0
408	1	8
409	0	4
410	0	6
411	2	7
412	1	3
413	1	6
414	1	3
415	0	8
416	1	3
417	0	4
418	2	4
419	0	4
420	0	6
421	0	6
422	0	11
423	0	1
424	1	1
425	1	2
426	1	3
427	0	3
428	1	4
429	0	1
430	1	4
431	0	2
432	0	3
433	0	2
434	1	3
435	0	5
436	0	1
437	0	5
438	0	5
439	0	2
440	1	1
441	0	3
442	0	2
443	1	4
444	0	0
445	0	2
446	0	0
447	0	4
448	0	1
449	0	1
450	0	4
451	0	2
452	0	4
453	0	5
454	1	0
455	1	3
456	0	6
457	1	2
458	0	4
459	0	1
460	0	3
461	0	4
462	0	3
463	0	1
464	0	1
465	0	1
466	0	6
467	0	3
468	0	3
469	0	3
470	1	4
471	0	3
472	0	0
473	0	5
474	0	0
475	2	2
476	0	8
477	0	1
478	1	4
479	0	5
480	0	2
481	1	2
482	0	1
483	0	4
484	0	3
485	0	1
486	0	1
487	0	1
488	1	1
489	0	1
490	1	1
491	0	2
492	0	3
493	0	2
494	0	1
495	0	0
496	2	1
497	0	2
498	0	2
499	0	0
500	0	2
501	0	4
502	0	0
503	0	2
504	0	0
505	0	3
506	0	3
507	0	0
508	0	1
509	0	1
510	1	3
511	0	0
512	0	1
513	1	3
514	0	1
515	0	1
516	0	3
517	2	1
518	0	1
519	0	0
520	0	1
521	1	1
522	0	1
523	0	0
524	0	1
525	0	1
526	0	3
527	1	2
528	0	1
529	0	0
530	0	2
531	1	1
532	0	0
533	0	1
534	0	0
535	1	2
536	1	0
537	1	1
538	0	4
539	0	4
540	0	1
541	1	2
542	0	1
543	0	1
544	1	2
545	0	1
546	0	2
547	0	0
548	0	1
549	0	0
550	0	1
551	0	4
552	0	1
553	2	2
554	0	1
555	1	2
556	0	0
557	0	0
558	0	1
559	0	2
560	0	2
561	1	1
562	0	1
563	0	1
564	0	3
565	0	0
566	0	0
567	0	0
568	0	0
569	0	0
570	1	1
571	0	1
572	3	0
573	0	1
574	0	3
575	1	1
576	0	3
577	0	0
578	0	0
579	0	1
580	2	2
581	0	1
582	0	2
583	0	4
584	0	1
585	0	0
586	1	2
587	0	1
588	0	2
589	1	1
590	2	0
591	0	1
592	0	0
593	0	1
594	0	1
595	0	1
596	1	2
597	0	0
598	0	2
599	0	1
600	1	1
601	2	2
602	1	1
603	1	0
604	0	0
605	1	0
606	1	0
607	0	1
608	1	1
609	0	3
610	1	0
611	0	0
612	0	2
613	2	1
614	2	0
615	0	0
616	0	2
617	1	0
618	0	1
619	0	0
620	1	1
621	1	1
622	1	0
623	0	2
624	0	0
625	0	2
626	0	1
627	1	0
628	0	0
629	0	0
630	0	2
631	0	3
632	1	0
633	0	0
634	1	2
635	0	1
636	0	1
637	0	1
638	1	0
639	0	0
640	0	0
641	1	0
642	0	0
643	1	2
644	0	1
645	0	1
646	0	1
647	0	3
648	0	0
649	0	0
650	0	0
651	1	0
652	0	0
653	0	2
654	0	1
655	0	0
656	1	2
657	1	1
658	0	2
659	1	1
660	1	0
661	1	0
662	0	1
663	1	0
664	0	0
665	2	0
666	2	0
667	2	0
668	1	0
669	1	0
670	1	2
671	1	0
672	0	0
673	0	3
674	2	0
675	0	1
676	1	1
677	2	0
678	0	1
679	0	0
680	0	0
681	0	3
682	2	0
683	3	0
684	2	1
685	1	2
686	2	0
687	2	1
688	1	1
689	0	0
690	0	2
691	0	0
692	1	0
693	1	1
694	1	1
695	1	0
696	0	0
697	2	0
698	3	2
699	0	2
700	0	0
701	0	2
702	1	1
703	0	0
704	0	2
705	0	2
706	0	0
707	1	0
708	1	0
709	1	0
710	1	0
711	1	1
712	1	0
713	0	1
714	1	0
715	1	1
716	0	1
717	0	1
718	1	1
719	1	1
720	1	0
721	0	1
722	1	0
723	0	1
724	0	2
725	0	0
726	2	0
727	2	1
728	0	0
729	2	0
730	1	0
731	0	1
732	1	1
733	0	1
734	0	0
735	0	0
736	3	0
737	0	1
738	0	0
739	0	1
740	0	1
741	2	0
742	1	1
743	2	0
744	1	1
745	0	1
746	1	1
747	0	1
748	0	0
749	0	1
750	1	1
751	1	0
752	2	0
753	2	1
754	0	0
755	0	0
756	1	0
757	1	2
758	1	0
759	1	1
760	2	0
761	2	0
762	0	0
763	0	0
764	0	0
765	0	1
766	0	2
767	1	0
768	2	1
769	0	0
770	4	0
771	0	1
772	0	1
773	2	0
774	1	0
775	1	0
776	2	1
777	1	1
778	0	1
779	0	0
780	3	3
781	0	3
782	0	1
783	2	1
784	0	0
785	0	0
786	0	0
787	1	1
788	1	1
789	0	0
790	0	1
791	1	0
792	1	0
793	1	1
794	0	0
795	2	2
796	0	0
797	1	0
798	1	1
799	0	1
800	3	0
801	0	0
802	1	1
803	0	1
804	0	0
805	0	2
806	3	0
807	1	0
808	2	0
809	1	1
810	1	1
811	0	1
812	1	0
813	1	0
814	3	0
815	1	2
816	1	0
817	1	1
818	2	2
819	0	0
820	0	1
821	3	0
822	1	3
823	0	1
824	1	0
825	2	0
826	1	1
827	2	0
828	0	1
829	1	0
830	4	0
831	0	1
832	1	1
833	1	0
834	0	0
835	0	1
836	2	0
837	0	0
838	1	1
839	2	0
840	0	1
841	1	1
842	3	0
843	2	0
844	2	0
845	1	0
846	0	0
847	1	3
848	2	0
849	4	0
850	3	1
851	2	0
852	0	0
853	0	1
854	1	0
855	0	1
856	3	0
857	0	0
858	1	1
859	4	0
860	3	2
861	0	1
862	1	0
863	0	0
864	2	1
865	2	0
866	1	2
867	2	0
868	2	0
869	2	1
870	3	1
871	0	0
872	0	0
873	1	0
874	2	0
875	1	0
876	2	0
877	3	0
878	0	0
879	0	0
880	2	0
881	4	1
882	0	0
883	1	0
884	0	0
885	3	1
886	2	0
887	1	1
888	0	1
889	2	0
890	0	0
891	0	0
892	5	0
893	4	0
894	2	1
895	1	0
896	2	0
897	1	1
898	0	0
899	1	0
900	1	0
901	0	0
902	1	0
903	1	0
904	3	0
905	3	0
906	1	1
907	1	1
908	3	1
909	1	0
910	3	0
911	0	0
912	1	1
913	1	0
914	3	2
915	1	0
916	1	0
917	2	1
918	1	0
919	3	0
920	1	0
921	1	0
922	2	0
923	3	0
924	0	0
925	0	1
926	1	1
927	3	2
928	1	0
929	3	0
930	1	0
931	3	2
932	1	1
933	2	0
934	0	0
935	0	2
936	2	0
937	2	2
938	3	0
939	1	0
940	0	0
941	3	0
942	0	1
943	2	0
944	4	1
945	0	1
946	2	0
947	3	1
948	2	1
949	1	0
950	1	0
951	2	0
952	1	1
953	3	2
954	1	1
955	1	1
956	1	0
957	2	0
958	1	1
959	1	0
960	0	0
961	3	0
962	2	0
963	2	1
964	1	0
965	4	0
966	0	1
967	1	0
968	0	0
969	1	0
970	2	3
971	1	1
972	2	0
973	1	2
974	2	0
975	0	1
976	1	0
977	2	0
978	0	0
979	0	2
980	0	0
981	0	0
982	0	1
983	1	0
984	1	0
985	0	1
986	0	0
987	0	0
988	2	1
989	0	0
990	1	0
991	2	0
992	1	0
993	0	1
994	2	0
995	2	0
996	1	1
997	1	0
998	0	1
999	2	0
1000	2	2
1001	1	0
1002	1	0
1003	3	2
1004	7	0
1005	1	0
1006	2	0
1007	1	1
1008	3	0
1009	2	1
1010	2	0
1011	2	0
1012	1	0
1013	0	2
1014	1	0
1015	1	0
1016	1	1
1017	0	1
1018	1	1
1019	3	0
1020	3	0
1021	0	0
1022	2	0
1023	2	1
1024	3	1
1025	0	0
1026	0	0
1027	1	0
1028	3	0
1029	1	0
1030	2	0
1031	1	1
1032	4	0
1033	0	0
1034	3	0
1035	1	0
1036	0	1
1037	1	1
1038	0	0
1039	6	0
1040	4	0
1041	2	1
1042	4	0
1043	5	0
1044	2	0
1045	1	0
1046	0	1
1047	0	1
1048	2	1
1049	0	2
1050	3	1
1051	0	0
1052	0	1
1053	2	1
1054	1	1
1055	2	0
1056	2	1
1057	4	0
1058	1	0
1059	1	1
1060	1	0
1061	1	0
1062	0	0
1063	2	0
1064	3	0
1065	1	1
1066	0	0
1067	3	1
1068	2	0
1069	1	0
1070	4	1
1071	0	0
1072	1	0
1073	2	0
1074	6	0
1075	0	0
1076	1	0
1077	2	0
1078	3	1
1079	1	0
1080	2	1
1081	1	1
1082	4	0
1083	4	0
1084	1	1
1085	3	0
1086	1	1
1087	6	0
1088	4	0
1089	2	0
1090	2	0
1091	5	1
1092	1	0
1093	2	0
1094	3	1
1095	1	0
1096	1	1
1097	2	0
1098	1	0
1099	4	1
1100	3	0
1101	0	0
1102	1	2
1103	2	0
1104	2	0
1105	0	2
1106	4	0
1107	1	1
1108	1	0
1109	4	0
1110	1	0
1111	3	0
1112	2	1
1113	0	1
1114	1	1
1115	1	0
1116	2	1
1117	0	2
1118	2	0
1119	1	1
1120	2	0
1121	4	0
1122	1	1
1123	3	0
1124	4	1
1125	2	0
1126	2	1
1127	0	1
1128	0	2
1129	0	0
1130	1	1
1131	2	0
1132	1	0
1133	2	1
1134	2	1
1135	4	0
1136	5	0
1137	0	0
1138	6	1
1139	2	1
