A,Perileno,Pyn,PynMOF,Peaks
4,000.37,93.3309,74.3747,84.7711,
3,999.43,93.3142,74.3591,84.7173,
3,998.5,93.2851,74.343,84.7143,
3,997.57,93.2517,74.338,84.7656,
3,996.64,93.257,74.3549,84.7775,
3,995.71,93.2759,74.3676,84.7465,
3,994.77,93.2774,74.3721,84.7312,
3,993.84,93.2619,74.3464,84.7129,
3,992.91,93.2666,74.3529,84.6754,
3,991.98,93.2934,74.3878,84.6961,
3,991.05,93.2771,74.3841,84.7542,
3,990.12,93.2794,74.3511,84.7458,
3,989.18,93.2652,74.3634,84.7413,
3,988.25,93.2493,74.3951,84.7532,
3,987.32,93.2819,74.3967,84.7568,
3,986.39,93.3159,74.3576,84.7338,
3,985.46,93.3077,74.3303,84.7416,
3,984.52,93.2629,74.3419,84.7204,
3,983.59,93.2539,74.4013,84.7218,
3,982.66,93.2949,74.4395,84.73,
3,981.73,93.3484,74.4055,84.762,
3,980.8,93.3763,74.3844,84.7585,
3,979.86,93.3428,74.4193,84.7252,
3,978.93,93.2921,74.427,84.7415,
3,978,93.2475,74.4222,84.7788,
3,977.07,93.2396,74.4331,84.7976,
3,976.14,93.2591,74.426,84.771,
3,975.21,93.2352,74.413,84.7415,
3,974.27,93.2182,74.4522,84.7694,
3,973.34,93.2508,74.4832,84.7717,
3,972.41,93.2353,74.4608,84.767,
3,971.48,93.217,74.4333,84.7578,
3,970.55,93.2433,74.427,84.7485,
3,969.61,93.2768,74.4514,84.73,
3,968.68,93.3037,74.5007,84.754,
3,967.75,93.3012,74.4812,84.7689,
3,966.82,93.3632,74.4586,84.7588,
3,965.89,93.3911,74.4525,84.7156,
3,964.96,93.2799,74.4395,84.729,
3,964.02,93.2381,74.4349,84.7643,
3,963.09,93.2539,74.4317,84.7814,
3,962.16,93.2583,74.4499,84.7701,
3,961.23,93.2849,74.4621,84.7639,
3,960.3,93.2873,74.4433,84.7746,
3,959.36,93.2533,74.4814,84.7982,
3,958.43,93.2559,74.523,84.7999,
3,957.5,93.3138,74.5102,84.792,
3,956.57,93.3073,74.5009,84.7599,
3,955.64,93.2579,74.528,84.7695,
3,954.71,93.3274,74.5729,84.8199,
3,953.77,93.314,74.5106,84.7798,
3,952.84,93.1772,74.3975,84.7111,
3,951.91,93.2045,74.4104,84.6811,
3,950.98,93.1235,74.3884,84.626,
3,950.05,93.022,74.3834,84.6516,
3,949.11,93.1502,74.4504,84.7105,
3,948.18,93.3072,74.4956,84.7763,
3,947.25,93.4212,74.5282,84.7602,
3,946.32,93.253,74.4537,84.6648,
3,945.39,92.8983,74.3379,84.6362,
3,944.46,92.9702,74.4119,84.6541,
3,943.52,93.1425,74.4643,84.6917,
3,942.59,93.2108,74.4863,84.7571,
3,941.66,93.2382,74.5059,84.7814,
3,940.73,93.2096,74.5416,84.7566,
3,939.8,93.1902,74.5738,84.7586,
3,938.86,93.2328,74.5809,84.8175,
3,937.93,93.3393,74.5754,84.8406,
3,937,93.4629,74.6073,84.8235,
3,936.07,93.3524,74.4756,84.6671,
3,935.14,93.061,74.2896,84.5733,
3,934.21,93.1067,74.3492,84.609,
3,933.27,93.1022,74.4202,84.6516,
3,932.34,92.9891,74.4147,84.6478,
3,931.41,93.0494,74.471,84.6883,
3,930.48,93.244,74.5739,84.767,
3,929.55,93.4981,74.6756,84.787,
3,928.61,93.4059,74.5944,84.6544,
3,927.68,93.0678,74.4388,84.5801,
3,926.75,92.9562,74.4268,84.5837,
3,925.82,93.0869,74.5171,84.6815,
3,924.89,93.4025,74.6506,84.7727,
