tubo_420,led_420,tubo_420_corr,led_420_corr,tubo_420_integral,led_420_integral,lambda
-12.25,-15.5,-0.463039935408719,-8.70461079742105,0,0,291
-15.75,-10.5,-0.602094230239727,-5.96359999475539,1.18302653265497,0.231692623380206,291.37
-12.5,-12,-0.481922616825338,-6.87359343769168,3.15608929793502,0.93442914435603,291.74
-12.25,-9.75,-0.475701525381421,-5.62520520975814,5.27487288441411,1.3735749479814,292.11
-13,-11.5,-0.509579916823871,-6.69733604968516,7.46938798239123,1.36128231655623,292.48
-13.25,-13,-0.524056712299576,-7.63908005422131,8.75842567814953,0.772333555306025,292.84
-13.5,-13.5,-0.540397129913365,-8.02875735871286,9.50819161980557,-0.242794758097406,293.21
-13.25,-9.75,-0.533434879110123,-5.83183792364059,11.0377308201709,-0.838189299015182,293.58
-15,-13,-0.609744886153237,-7.85119129599215,12.6435664432858,-1.13162943612249,293.95
-13.5,-11.25,-0.55416282424716,-6.86106353829817,13.8047667484154,-0.530846166290745,294.32
-12.25,-12,-0.504154500930018,-7.33743227009519,15.1873867720659,0.252799736250647,294.69
-15,-12.25,-0.62101740836988,-7.53501122155454,16.2787331181191,1.03330083772596,295.06
-14.5,-11.75,-0.602231144554665,-7.25050698173203,17.3767534894145,1.84875060317155,295.42
-14.75,-11.75,-0.614429392989581,-7.27198758579437,18.6184648043168,2.21755864883452,295.79
-13.75,-12,-0.578188064088317,-7.49692159981526,19.7534542147551,2.7764750084327,296.16
-14.5,-11,-0.615257914727468,-6.93453255614013,21.0337587853359,3.52153241019932,296.53
-12.75,-13.25,-0.541836779468026,-8.36583845497972,21.9386279857794,4.12221876052057,296.9
-10,-13.25,-0.425875148499678,-8.38365649475081,22.2176057583979,4.31189848303724,297.27
-11.75,-11.25,-0.503862259859617,-7.16740235909728,22.9920480028066,4.95697280868457,297.63
-13,-13,-0.562422249845525,-8.35598771199065,23.7995980646416,5.94811708035637,298
-14.5,-13.75,-0.632579045584437,-8.91219739099256,23.8536253433837,6.09109037935475,298.37
-14.25,-12.75,-0.626776557374114,-8.33188686795063,23.9177032254782,6.2903350507066,298.74
-13.5,-11.75,-0.598181905696363,-7.73521998688842,24.4894900926864,6.18432403976697,299.11
-11.5,-10.5,-0.51386823793728,-6.97073435810571,25.6171685662358,5.5808910281207,299.47
-13.75,-12.75,-0.618350694376696,-8.51878463110129,26.4375845453774,5.51293015115614,299.84
-12,-11.5,-0.542357157137496,-7.72213285638625,26.9332939117699,5.57540894519919,300.21
-13,-10.5,-0.589685707115125,-7.0762284853815,28.0513537534068,6.13830261603249,300.58
