Sliced TCPP DMF Ar 300 700 nm 10 us Delta OD

Labels,0.000 ns,500.000 ns,1000.000 ns,1500.000 ns,2000.000 ns,2500.000 ns,3000.000 ns,3500.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,-2.24013289E-4,1.35966417E-4,1.46744147E-4,-1.51698681E-4,-2.29652345E-4,8.41761066E-4,-4.39084775E-4,-6.22501073E-4,
310.00,1.11560419E-3,4.92313528E-4,-4.60866904E-5,-4.11847112E-4,-2.20280272E-4,-4.12009511E-4,-5.89430274E-4,-6.81544887E-4,
320.00,1.57188659E-3,7.92419945E-4,4.25848702E-4,5.04294121E-6,1.54513487E-4,3.60086531E-4,2.97671708E-4,1.44433885E-4,
330.00,1.35076407E-3,6.14720513E-4,1.41877303E-4,7.44803401E-5,-1.97737472E-6,-8.89806252E-5,-3.92502116E-5,-1.15177616E-4,
340.00,9.46065877E-4,4.40907897E-4,-2.19856200E-4,8.11870559E-5,-2.05954304E-4,5.78734671E-6,-2.16476605E-4,5.66557974E-5,
350.00,1.01324148E-3,4.89334634E-4,4.47270286E-4,1.68636456E-4,9.09186019E-6,-1.05384725E-5,-4.62110693E-5,6.74904077E-5,
360.00,9.00522165E-4,4.20136697E-4,2.13293184E-4,1.26479412E-4,1.60168333E-4,1.34554939E-4,2.09204081E-4,1.40023112E-4,
370.00,1.22549827E-3,8.96757643E-4,7.02463381E-4,3.65299406E-4,5.42899652E-4,4.04619816E-4,2.60384521E-4,2.33451152E-4,
380.00,1.62036030E-3,4.68911836E-4,1.60085765E-4,4.60225710E-4,1.03162551E-4,2.38453475E-4,3.91132751E-4,3.76968004E-4,
390.00,1.07251236E-3,8.39952962E-4,6.14990888E-4,2.65779992E-4,5.79048530E-4,2.00020251E-4,2.90217111E-4,3.09896976E-4,
400.00,-2.02343799E-3,-9.04760440E-4,3.08300368E-4,2.46440351E-4,3.15924350E-4,5.93397242E-4,8.16295447E-4,4.85915545E-4,
410.00,-7.22340168E-3,-2.48004682E-3,-6.08376518E-4,-1.02000005E-4,3.34601209E-4,4.71839157E-4,3.82202008E-4,3.30755836E-4,
420.00,-2.93378700E-2,-1.24564478E-2,-5.44513529E-3,-2.27172254E-3,-1.15772034E-3,-1.21314311E-3,-3.74672672E-4,-1.80128045E-4,
430.00,-3.87088698E-3,-2.72079115E-3,-1.89281697E-3,-1.41065451E-3,-8.81441752E-4,-1.00562512E-3,-8.39491666E-4,-7.13924062E-4,
440.00,3.36277019E-3,1.03549357E-3,1.61906486E-4,-3.49190988E-4,-4.01945726E-4,-3.44755797E-4,-4.46244667E-4,-4.37302398E-4,
450.00,4.04830463E-3,1.42080185E-3,3.78145167E-4,1.00086545E-4,-8.51448567E-5,-3.76157608E-4,-2.35248328E-4,-2.61970301E-4,
460.00,3.35827866E-3,1.35001168E-3,6.16515928E-4,2.71098048E-4,3.13750672E-4,-6.09833078E-5,3.22789594E-4,1.89158254E-5,
470.00,2.31224112E-3,9.69572284E-4,4.72643587E-4,9.03653636E-5,1.07005842E-4,1.92191656E-4,1.54386129E-4,9.23486659E-5,
480.00,1.55908254E-3,4.82915493E-4,7.71935011E-5,-3.47825408E-5,-1.48638792E-4,-6.43062303E-5,-4.60347510E-5,-1.37906260E-4,
490.00,1.08754297E-3,3.05253750E-4,-1.43790618E-4,-7.36867441E-5,-1.18220763E-4,-3.82952567E-4,-2.41833826E-4,-3.25503992E-4,
500.00,8.46751849E-4,2.20611706E-4,7.01091412E-5,-7.08006701E-5,-7.61479096E-5,-6.84414044E-5,-1.04454033E-4,-1.45651167E-4,
510.00,-1.06804291E-4,-5.99629820E-5,-1.73502718E-4,-1.95146698E-4,-8.81935994E-5,-1.20236407E-4,-7.04828926E-6,-1.22033933E-4,
520.00,-3.25117144E-4,-5.34100400E-4,-5.00021502E-4,1.96297206E-5,-2.84881738E-4,-2.92498531E-4,-1.88080186E-4,-4.42731616E-5,
530.00,4.21177218E-4,-7.75463777E-5,6.82654281E-5,-2.98700295E-4,8.87787464E-5,-1.08030254E-4,-1.24372717E-4,-1.72303582E-4,
540.00,4.10230132E-4,-8.74397301E-6,1.06892599E-4,-2.64052767E-4,-1.93602056E-4,-1.06345367E-4,-1.02017373E-4,1.94384684E-5,
550.00,-9.72407579E-5,-2.32038059E-4,-3.96944874E-4,-3.19107028E-4,-3.10963485E-4,-3.32601048E-4,-4.37725626E-4,-5.15799911E-4,
560.00,4.01059689E-4,-1.03948696E-5,-6.11105570E-5,1.15747076E-4,1.53776389E-4,2.56228697E-4,2.43949660E-4,3.28202790E-4,
570.00,6.37118588E-4,-2.74465623E-4,-1.44873411E-6,-2.25502008E-4,-8.86591297E-5,-2.12990257E-4,-3.62980150E-4,-2.55186518E-4,
580.00,2.18426765E-4,1.82465783E-6,-2.34096500E-4,1.74033354E-4,-3.35804943E-4,-1.65154983E-4,-1.07199077E-4,-2.50837154E-4,
590.00,1.28240907E-4,-1.10707624E-4,5.29292411E-5,-1.51122586E-4,-4.47996368E-4,-2.56165076E-4,-3.53255891E-4,-2.25184704E-4,
600.00,4.08187596E-4,-4.74180299E-4,-2.20886577E-4,-1.22645288E-4,-2.72694102E-4,-9.45817883E-5,-2.22984290E-5,-2.31970218E-4,
610.00,6.17053104E-7,-1.30730550E-4,1.47321916E-4,1.53488349E-4,-1.75804540E-4,-1.05173340E-5,-2.28893216E-4,-5.56987012E-4,
620.00,7.61757721E-4,3.45127308E-4,-1.18363032E-5,1.13121627E-4,1.04046558E-4,-1.14878851E-4,1.22921600E-4,1.17616917E-4,
630.00,1.55232381E-4,-1.68069644E-4,1.21724574E-4,-5.53333994E-5,-2.50459398E-5,-1.90356295E-5,-1.14057057E-5,-4.62003984E-4,
640.00,-2.83934962E-4,5.67376537E-6,-1.85420315E-4,-5.01805451E-4,1.29888240E-5,-3.78919067E-4,-5.90299780E-4,-2.46609648E-4,
650.00,-4.14242037E-4,-6.27257454E-4,-5.87853137E-4,-2.61712521E-5,-2.41850357E-4,-3.73783463E-4,-3.32939526E-4,-1.49063999E-4,
660.00,1.02521467E-3,4.86654724E-4,2.47114076E-4,2.85706221E-4,-3.20311447E-5,4.56887647E-4,-8.63312380E-5,-1.04678969E-4,
670.00,2.28789970E-4,9.45134496E-4,-1.36912233E-4,2.38611727E-4,8.13729130E-4,3.29502451E-4,7.74719083E-5,1.41989120E-4,
680.00,4.60100739E-4,-1.30182132E-4,-1.00834458E-3,4.20959259E-4,4.58163180E-4,3.56260920E-4,-2.91077915E-4,5.06105534E-5,
690.00,-1.19452641E-4,-7.24138226E-4,-6.58689998E-4,2.08803976E-4,-3.91310896E-4,-6.24804452E-5,-6.04399887E-4,-2.59021588E-4,
700.00,-3.98991659E-4,9.17970829E-5,-4.40721924E-4,-1.27992127E-4,-4.34436399E-4,-1.12468621E-3,-3.72746465E-4,1.49147681E-5,
