Sliced TCPP Ar 300 700 nm 100 us Delta OD

Labels,0.000 us,10.000 us,20.000 us,30.000 us,40.000 us,50.000 us,60.000 us,70.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,2.71817180E-3,2.44007679E-3,1.75522396E-3,1.21045834E-3,1.01081806E-3,1.45758828E-3,7.31657376E-4,1.65178542E-4,
310.00,2.19004042E-3,2.40731472E-3,2.13423767E-3,1.26877648E-3,9.92754707E-4,2.00037425E-3,1.43019494E-3,1.01621076E-3,
320.00,3.31780710E-3,3.05569777E-3,2.28696340E-3,1.83015945E-3,2.20010569E-3,2.15094630E-3,1.94228196E-3,1.15710392E-3,
330.00,4.00273455E-3,3.70016368E-3,3.86795611E-3,4.01864853E-3,3.30928620E-3,2.40200083E-3,2.71465327E-3,2.47272896E-3,
340.00,2.87811295E-3,2.98833731E-3,2.52162083E-3,1.96791487E-3,1.91527070E-3,1.25435879E-3,1.10510574E-3,1.83528010E-3,
350.00,2.14790087E-3,1.94377231E-3,1.37218169E-3,1.23758975E-3,9.35614516E-4,1.11045490E-3,1.30998669E-3,8.23570648E-4,
360.00,2.37848214E-3,2.26385077E-3,1.86730153E-3,1.54020975E-3,1.09709799E-3,1.05865614E-3,1.40847859E-3,1.51422876E-3,
370.00,2.39145802E-3,2.19318084E-3,2.26697139E-3,1.59543683E-3,1.71892543E-3,1.58122333E-3,8.53162142E-4,4.97546163E-4,
380.00,1.11959514E-3,1.67596689E-3,1.81302917E-3,8.69050913E-4,6.58176898E-4,1.04185543E-3,1.48438368E-4,2.38883018E-4,
390.00,-2.93309428E-3,-2.43185856E-3,-1.95739581E-3,-1.73113320E-3,-1.58521230E-3,-7.22582394E-4,-3.36719444E-4,-8.25679279E-4,
400.00,-1.00124748E-2,-8.78005289E-3,-7.05800112E-3,-6.24430738E-3,-5.42690372E-3,-4.96037351E-3,-5.01907757E-3,-4.49105119E-3,
410.00,-4.71202731E-2,-4.09830362E-2,-3.60400937E-2,-3.15781608E-2,-2.72269025E-2,-2.39838660E-2,-2.10736487E-2,-1.90848261E-2,
420.00,-3.35260108E-2,-2.95518655E-2,-2.46661268E-2,-2.24070065E-2,-1.96709372E-2,-1.70956347E-2,-1.46624185E-2,-1.25510879E-2,
430.00,5.70569187E-3,5.14132250E-3,4.67338413E-3,4.06543305E-3,3.96689028E-3,3.37967859E-3,3.37625132E-3,2.45549274E-3,
440.00,8.57805833E-3,7.26693030E-3,6.70820149E-3,6.31468976E-3,5.20616304E-3,4.43545729E-3,4.02051024E-3,3.73119046E-3,
450.00,8.52756016E-3,7.19556911E-3,6.10771403E-3,5.55412658E-3,4.32438916E-3,3.10192094E-3,2.81525985E-3,2.52286345E-3,
460.00,8.82995315E-3,7.66253844E-3,6.31442992E-3,4.92197834E-3,4.34212154E-3,4.25646780E-3,3.85541981E-3,3.24625941E-3,
470.00,8.15771893E-3,7.42627215E-3,6.26965472E-3,5.34039456E-3,4.92818188E-3,4.36328910E-3,3.14643653E-3,2.88344361E-3,
480.00,5.39953634E-3,5.12661738E-3,4.13707457E-3,3.58783198E-3,2.66191247E-3,2.49560340E-3,2.63248081E-3,2.33301055E-3,
490.00,3.96957994E-3,3.62302270E-3,3.67238116E-3,3.14187165E-3,2.73723854E-3,2.07320973E-3,1.72641885E-3,2.17646454E-3,
500.00,2.68412661E-3,1.73264800E-3,1.98261812E-3,1.98349357E-3,1.76596618E-3,1.16265018E-3,1.29160809E-3,2.05591554E-3,
510.00,1.47624675E-3,2.00313656E-3,1.96473813E-3,1.22785778E-3,7.88179692E-4,1.25667686E-3,1.37680897E-3,1.07358827E-3,
520.00,6.00883039E-4,4.24129510E-4,-8.07466422E-5,-3.05650930E-4,-1.59970412E-4,-5.66979870E-4,-2.58128057E-5,2.99814070E-4,
530.00,7.03511934E-4,7.37779250E-4,1.18393044E-3,1.37580757E-3,7.36613525E-4,2.62475980E-4,2.89036660E-4,5.30770980E-4,
540.00,1.65468245E-3,1.59141934E-3,2.20808457E-3,2.44194409E-3,1.81093172E-3,1.53116358E-3,1.35858415E-3,1.39437686E-3,
550.00,2.21929440E-4,1.23318241E-5,3.07291193E-4,5.30469290E-4,3.35668068E-4,-1.59018346E-5,4.97783243E-4,2.49290548E-4,
560.00,1.38334616E-3,8.51160963E-4,2.23991970E-4,4.35671274E-4,4.53379413E-4,4.70126979E-4,1.03820511E-3,7.99016561E-4,
570.00,1.12603954E-3,8.73687910E-4,9.98559408E-4,6.08219299E-4,4.63327655E-4,6.66857406E-4,9.92971982E-5,3.77430231E-4,
580.00,3.43477062E-4,1.34045011E-4,2.47499353E-4,2.62941234E-4,2.38694920E-4,2.26781180E-4,-4.32616856E-4,-4.54898109E-4,
590.00,9.53128329E-4,8.41538189E-4,7.99304922E-4,1.11607031E-3,1.30635593E-3,1.60971412E-3,1.34653738E-3,3.43997031E-4,
600.00,5.97179518E-4,-4.64614393E-4,3.26598209E-4,7.56965776E-4,8.92757671E-5,-7.89013691E-4,-4.60308744E-4,-2.27601617E-4,
610.00,8.06831231E-4,6.17178215E-4,4.21911100E-4,4.49388259E-4,-5.49590914E-5,-3.56798933E-4,-4.28395375E-4,3.91267531E-4,
620.00,1.00584002E-3,3.50138056E-4,7.32333225E-4,9.87415668E-4,6.17931306E-4,7.77227571E-4,5.11732651E-4,1.83947777E-4,
630.00,5.46368479E-4,1.20545551E-3,7.70119892E-4,7.22430414E-4,6.08208764E-4,4.66768048E-4,7.80100003E-4,7.92325707E-4,
640.00,9.96788731E-4,1.32507784E-3,5.84703463E-4,1.06694548E-4,5.65593073E-5,-1.88858845E-4,4.03839687E-4,1.24951405E-3,
650.00,6.47478329E-4,1.76534720E-3,1.53930171E-3,1.75919780E-3,7.55773566E-4,1.09556806E-3,3.87063192E-4,2.32922292E-4,
660.00,5.31868194E-4,1.58036622E-4,-5.71322220E-4,-4.14923270E-4,-2.38710985E-4,-3.94365517E-4,-8.01278511E-5,-3.61253216E-4,
670.00,1.00166549E-3,1.26796309E-3,1.29350647E-3,2.27615051E-3,1.26895925E-3,1.07769703E-3,1.00090378E-3,7.21238554E-4,
680.00,2.87176983E-4,1.09588064E-3,1.74375577E-3,1.27726339E-3,3.20660125E-4,7.15242757E-4,1.63694611E-4,6.28872367E-4,
690.00,1.21212471E-3,3.40743980E-4,-3.48732792E-5,-1.18127988E-4,-3.00292333E-4,2.78079126E-4,1.74964462E-5,-9.61454760E-4,
700.00,6.17923564E-4,9.46117623E-4,1.59941253E-3,4.25946986E-4,3.11189622E-4,1.32532627E-3,1.15712872E-3,-7.14678550E-4,
