Sliced ZRNMOF90 DMF Ar 300 700 nm 10 us Delta OD

Labels,0.000 ns,0.000 ns,1.000 ns,2.000 ns,3.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,

300.00,-1.18688988E-2,-1.18418178E-2,-1.18503133E-2,-1.05906753E-2,-1.53948776E-2,
310.00,-6.41924515E-3,-3.99893103E-3,-1.61685061E-3,3.14949034E-3,2.40503950E-3,
320.00,-9.84486099E-3,-5.73900249E-3,-5.24839899E-3,-5.28879557E-3,-4.19081608E-3,
330.00,-3.49682174E-3,-2.20814976E-3,-2.63703405E-3,-5.29170036E-3,-6.91333134E-3,
340.00,-1.33673684E-3,-4.05174354E-3,-5.81039255E-3,-5.01035759E-3,-3.05415574E-3,
350.00,-4.81562456E-3,-3.16368719E-3,-2.43898132E-3,-6.81335060E-3,-9.69940983E-3,
360.00,-2.91823060E-3,-2.25426676E-3,-2.47557787E-3,-2.55267625E-3,-2.97385594E-3,
370.00,-6.25564018E-3,-8.88253562E-3,-4.55559697E-3,-3.23312054E-3,-5.69953583E-3,
380.00,-2.16671429E-3,-1.32894420E-4,2.42168247E-3,1.57530745E-3,-2.15122127E-3,
390.00,-2.40668003E-3,-2.49491679E-3,-2.00494146E-3,8.72686214E-4,7.69172097E-4,
400.00,-8.77594925E-4,-1.53317128E-3,-4.43570875E-3,-3.52226873E-3,-3.73584405E-3,
