Chan	Prompt	Decay	Fit	Residuals
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	1	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	1	1	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	1	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	1	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	1	0	0
70	0	0	0	0
71	0	1	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	1	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	1	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	1	0	0	0
102	0	0	0	0
103	0	0	0	0
104	0	0	0	0
105	0	0	0	0
106	0	1	0	0
107	0	0	0	0
108	0	0	0	0
109	0	0	0	0
110	0	0	0	0
111	0	0	0	0
112	0	0	0	0
113	0	1	0	0
114	0	0	0	0
115	0	1	0	0
116	0	0	0	0
117	0	1	0	0
118	0	0	0	0
119	0	0	0	0
120	0	1	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	0	0	0
125	0	0	0	0
126	0	0	0	0
127	0	0	0	0
128	0	0	0	0
129	1	0	0	0
130	0	0	0	0
131	0	0	0	0
132	0	0	0	0
133	0	1	0	0
134	0	0	0	0
135	0	1	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	0	0	0
141	0	0	0	0
142	0	0	0	0
143	0	1	0	0
144	0	0	0	0
145	0	0	0	0
146	0	1	0	0
147	0	0	0	0
148	0	0	0	0
149	0	0	0	0
150	0	0	0	0
151	0	1	0	0
152	0	0	0	0
153	0	0	0	0
154	0	0	0	0
155	0	0	0	0
156	0	0	0	0
157	0	0	0	0
158	0	0	0	0
159	0	0	0	0
160	0	0	0	0
161	0	0	0	0
162	0	0	0	0
163	0	1	0	0
164	0	0	0	0
165	0	1	0	0
166	0	0	0	0
167	0	0	0	0
168	0	0	0	0
169	0	0	0	0
170	0	0	0	0
171	0	0	0	0
172	0	0	0	0
173	0	0	0	0
174	0	0	0	0
175	0	0	0	0
176	0	0	0	0
177	0	0	0	0
178	0	0	0	0
179	0	0	0	0
180	0	0	0	0
181	0	0	0	0
182	0	0	0	0
183	0	0	0	0
184	0	0	0	0
185	1	0	0	0
186	0	0	0	0
187	0	0	0	0
188	1	0	0	0
189	0	0	0	0
190	0	1	0	0
191	0	0	0	0
192	0	0	0	0
193	2	0	0	0
194	0	0	0	0
195	3	0	0	0
196	4	0	0	0
197	6	0	0	0
198	7	0	0	0
199	12	2	0	0
200	15	2	0	0
201	19	1	0	0
202	29	0	0	0
203	42	0	0	0
204	50	2	0	0
205	62	0	0	0
206	99	1	0	0
207	95	1	0	0
208	138	4	0	0
209	179	4	0	0
210	255	6	0	0
211	296	13	0	0
212	453	13	0	0
213	616	15	0	0
214	843	32	0	0
215	1217	44	0	0
216	1658	55	0	0
217	2168	75	0	0
218	2940	112	0	0
219	3704	137	0	0
220	4689	201	0	0
221	5758	273	0	0
222	6559	361	0	0
223	7274	445	0	0
224	7843	541	0	0
225	7876	692	0	0
226	8028	882	0	0
227	7576	1047	0	0
228	6986	1305	0	0
229	6074	1489	0	0
230	5115	1730	0	0
231	4285	1924	0	0
232	3419	2181	0	0
233	2826	2429	0	0
234	2093	2562	0	0
235	1627	2947	0	0
236	1168	3093	0	0
237	928	3291	0	0
238	659	3534	0	0
239	487	3719	0	0
240	347	3949	0	0
241	250	4140	0	0
242	157	4362	0	0
243	131	4347	0	0
244	86	4504	0	0
245	67	4759	0	0
246	53	4770	0	0
247	30	4792	0	0
248	27	5002	0	0
249	23	4896	0	0
250	13	4932	4757.066	2.184153
251	9	4972	4831.747	1.743222
252	10	4729	4882.679	-1.964555
253	0	4862	4913.577	-0.6491546
254	2	4834	4931.785	-1.234739
255	2	4708	4937.833	-2.945411
256	1	4799	4935.675	-1.732857
257	2	4900	4927.134	-0.3400285
258	1	4763	4913.813	-1.920188
259	2	4658	4896.898	-3.079956
260	0	4662	4878.472	-2.789488
261	1	4577	4858.272	-3.662036
262	0	4612	4837.296	-2.920773
263	3	4660	4815.586	-2.005382
264	1	4716	4793.134	-0.9875698
265	1	4701	4770.633	-0.8931258
266	0	4622	4747.955	-1.630924
267	2	4700	4724.981	-0.3204535
268	0	4690	4702.002	-0.1541408
269	1	4676	4679.069	-3.948548E-02
270	0	4750	4656.009	1.198558
271	1	4664	4633.068	0.3984996
272	2	4703	4610.245	1.189403
273	1	4647	4587.54	0.7675927
274	0	4390	4564.952	-2.331543
275	0	4567	4542.481	0.3196117
276	0	4824	4520.126	3.841497
277	0	4568	4497.885	0.9138688
278	0	4549	4475.76	0.9568285
279	0	4774	4453.749	4.072257
280	0	4472	4431.851	0.5295503
281	0	4479	4410.066	0.9084219
282	0	4441	4388.393	0.69657
283	0	4483	4366.832	1.530112
284	0	4383	4345.382	0.5017747
285	1	4423	4324.042	1.313283
286	0	4418	4302.812	1.529639
287	0	4283	4281.692	1.767456E-02
288	0	4386	4260.68	1.670956
289	1	4335	4239.776	1.277986
290	0	4290	4218.98	0.9587183
291	0	4153	4198.291	-0.6225588
292	0	4235	4177.708	0.7789861
293	0	4120	4157.23	-0.5140397
294	0	4174	4136.859	0.5090997
295	0	4217	4116.592	1.368473
296	0	3988	4096.429	-1.524446
297	0	4056	4076.369	-0.2837012
298	0	4153	4056.413	1.327659
299	0	3987	4036.559	-0.6968699
300	0	3955	4016.807	-0.872997
301	0	3978	3997.156	-0.2697057
302	0	4065	3977.607	1.215695
303	0	3925	3958.157	-0.4703199
304	0	3825	3938.808	-1.6376
305	0	3959	3919.557	0.5567992
306	0	3820	3900.406	-1.157811
307	0	3929	3881.352	0.6754767
308	0	3872	3862.396	0.1372531
309	0	3834	3843.538	-0.1370665
310	0	3848	3824.776	0.3330662
311	0	3743	3806.11	-0.9190838
312	0	3709	3787.54	-1.149591
313	0	3867	3769.064	1.400696
314	0	3834	3750.684	1.197286
315	0	3777	3732.397	0.6463077
316	0	3658	3714.205	-0.829008
317	0	3782	3696.105	1.243742
318	0	3678	3678.097	-1.428888E-03
319	0	3779	3660.182	1.721214
320	0	3542	3642.358	-1.506912
