Chan	Prompt	Decay	Fit	Residuals
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	1	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	1	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	1	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	1	0	0	0
37	0	0	0	0
38	0	1	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	1	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	1	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	1	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	1	0	0
66	1	0	0	0
67	0	0	0	0
68	0	1	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	1	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	1	0	0
86	0	1	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	1	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	1	0	0	0
102	0	0	0	0
103	0	0	0	0
104	0	0	0	0
105	0	0	0	0
106	0	0	0	0
107	0	0	0	0
108	0	1	0	0
109	0	0	0	0
110	0	0	0	0
111	0	0	0	0
112	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	0
116	0	0	0	0
117	0	0	0	0
118	0	1	0	0
119	0	0	0	0
120	0	0	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	0	0	0
125	0	0	0	0
126	0	0	0	0
127	0	0	0	0
128	0	0	0	0
129	1	0	0	0
130	0	1	0	0
131	0	1	0	0
132	0	0	0	0
133	0	0	0	0
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	1	0	0
140	0	0	0	0
141	0	0	0	0
142	0	0	0	0
143	0	0	0	0
144	0	0	0	0
145	0	0	0	0
146	0	0	0	0
147	0	1	0	0
148	0	0	0	0
149	0	0	0	0
150	0	1	0	0
151	0	0	0	0
152	0	0	0	0
153	0	0	0	0
154	0	1	0	0
155	0	0	0	0
156	0	0	0	0
157	0	0	0	0
158	0	0	0	0
159	0	2	0	0
160	0	0	0	0
161	0	0	0	0
162	0	1	0	0
163	0	0	0	0
164	0	0	0	0
165	0	0	0	0
166	0	0	0	0
167	0	0	0	0
168	0	0	0	0
169	0	0	0	0
170	0	0	0	0
171	0	0	0	0
172	0	0	0	0
173	0	0	0	0
174	0	1	0	0
175	0	0	0	0
176	0	0	0	0
177	0	0	0	0
178	0	1	0	0
179	0	0	0	0
180	0	0	0	0
181	0	0	0	0
182	0	1	0	0
183	0	0	0	0
184	0	0	0	0
185	1	0	0	0
186	0	0	0	0
187	0	0	0	0
188	1	0	0	0
189	0	0	0	0
190	0	1	0	0
191	0	0	0	0
192	0	0	0	0
193	2	0	0	0
194	0	0	0	0
195	3	0	0	0
196	4	0	0	0
197	6	0	0	0
198	7	0	0	0
199	12	1	0	0
200	15	0	0	0
201	19	1	0	0
202	29	0	0	0
203	42	0	0	0
204	50	0	0	0
205	62	1	0	0
206	99	3	0	0
207	95	3	0	0
208	138	3	0	0
209	179	1	0	0
210	255	4	0	0
211	296	8	0	0
212	453	12	0	0
213	616	20	0	0
214	843	31	0	0
215	1217	37	0	0
216	1658	62	0	0
217	2168	95	0	0
218	2940	127	0	0
219	3704	153	0	0
220	4689	213	0	0
221	5758	309	0	0
222	6559	429	0	0
223	7274	557	0	0
224	7843	630	0	0
225	7876	800	0	0
226	8028	931	0	0
227	7576	1127	0	0
228	6986	1331	0	0
229	6074	1612	0	0
230	5115	1759	0	0
231	4285	2014	0	0
232	3419	2290	0	0
233	2826	2590	0	0
234	2093	2699	0	0
235	1627	3001	0	0
236	1168	3212	0	0
237	928	3353	0	0
238	659	3745	0	0
239	487	3893	0	0
240	347	4108	0	0
241	250	4287	0	0
242	157	4368	0	0
243	131	4344	0	0
244	86	4636	0	0
245	67	4864	0	0
246	53	4766	0	0
247	30	4902	0	0
248	27	4958	0	0
249	23	4720	0	0
250	13	4890	4844.34	0.5728328
251	9	5013	4898.007	1.42268
252	10	4887	4930.633	-0.5475993
253	0	4942	4950.883	-0.1107873
254	2	4938	4958.561	-0.2565418
255	2	4813	4957.941	-1.83466
256	1	4845	4950.76	-1.33374
257	2	4945	4938.823	7.701275E-02
258	1	4858	4922.944	-0.8177744
259	2	4672	4905.667	-3.007445
260	0	4691	4886.477	-2.510201
261	1	4727	4866.479	-1.783449
262	0	4617	4845.795	-2.964336
263	3	4566	4824.252	-3.366863
264	1	4700	4802.653	-1.316802
265	1	4613	4780.902	-2.176443
266	0	4580	4758.812	-2.3272
267	2	4736	4736.675	-8.61923E-03
268	0	4744	4714.595	0.3752362
269	1	4721	4692.249	0.3678876
270	0	4635	4670.07	-0.4533928
271	1	4558	4647.988	-1.174338
272	2	4678	4625.979	0.6690577
273	1	4569	4604.106	-0.457518
274	0	4505	4582.307	-1.015465
275	0	4730	4560.636	2.164808
276	0	4848	4539.008	3.895332
277	0	4767	4517.484	3.175416
278	0	4568	4496.061	0.9376456
279	0	4788	4474.74	3.976822
280	0	4514	4453.521	0.7935451
281	0	4538	4432.402	1.381439
282	0	4523	4411.383	1.462887
283	0	4396	4390.465	7.370937E-02
284	0	4478	4369.646	1.428087
285	1	4379	4348.925	0.4013664
286	0	4272	4328.303	-0.7618371
287	0	4313	4307.779	7.026572E-02
288	0	4431	4287.354	1.904425
289	1	4345	4267.024	1.045163
290	0	4325	4246.792	1.050981
291	0	4334	4226.655	1.440854
292	0	4289	4206.614	1.112292
293	0	4178	4186.669	-0.1187633
294	0	4261	4166.818	1.276209
295	0	4106	4147.062	-0.5680105
296	0	4123	4127.399	-6.071119E-02
297	0	4146	4107.83	0.5251741
298	0	4091	4088.354	3.668391E-02
299	0	4017	4068.97	-0.7277334
300	0	3980	4049.679	-0.9807377
301	0	4062	4030.479	0.4386578
302	0	4005	4011.37	-8.935206E-02
303	0	3888	3992.353	-1.487991
304	0	4083	3973.425	1.520515
305	0	3841	3954.588	-1.630652
306	0	3804	3935.84	-1.902874
307	0	3866	3917.181	-0.7321059
308	0	3735	3898.611	-2.385532
309	0	3992	3880.129	1.571971
310	0	3877	3861.735	0.218016
311	0	4016	3843.428	2.416842
312	0	3841	3825.208	0.2267011
313	0	3887	3807.075	1.139832
314	0	3792	3789.028	4.297325E-02
315	0	3832	3771.067	0.8758891
316	0	3810	3753.191	0.8192216
317	0	3791	3735.4	0.8040146
318	0	3795	3717.693	1.117252
319	0	3811	3700.071	1.59943
320	0	3638	3682.532	-0.6588439
