Chan	Prompt	Decay	Fit	Residuals
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	1	0	0
6	0	2	0	0
7	0	1	0	0
8	0	2	0	0
9	0	0	0	0
10	0	1	0	0
11	0	2	0	0
12	0	1	0	0
13	0	3	0	0
14	0	1	0	0
15	0	2	0	0
16	0	2	0	0
17	0	1	0	0
18	0	1	0	0
19	0	2	0	0
20	0	2	0	0
21	0	0	0	0
22	0	1	0	0
23	0	3	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	3	0	0
29	0	2	0	0
30	1	0	0	0
31	0	0	0	0
32	0	1	0	0
33	0	1	0	0
34	0	0	0	0
35	0	1	0	0
36	0	2	0	0
37	0	1	0	0
38	0	1	0	0
39	0	1	0	0
40	0	3	0	0
41	0	1	0	0
42	0	2	0	0
43	0	0	0	0
44	0	3	0	0
45	0	2	0	0
46	0	1	0	0
47	0	4	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	1	0	0
52	1	1	0	0
53	0	1	0	0
54	0	0	0	0
55	0	1	0	0
56	0	1	0	0
57	0	1	0	0
58	0	0	0	0
59	0	1	0	0
60	0	0	0	0
61	0	1	0	0
62	0	2	0	0
63	0	2	0	0
64	0	1	0	0
65	0	0	0	0
66	0	3	0	0
67	0	1	0	0
68	0	1	0	0
69	0	2	0	0
70	0	2	0	0
71	0	1	0	0
72	0	2	0	0
73	0	2	0	0
74	1	0	0	0
75	0	3	0	0
76	0	0	0	0
77	0	0	0	0
78	0	2	0	0
79	0	1	0	0
80	0	2	0	0
81	0	2	0	0
82	0	1	0	0
83	0	0	0	0
84	0	0	0	0
85	0	1	0	0
86	0	0	0	0
87	0	0	0	0
88	0	1	0	0
89	0	1	0	0
90	0	0	0	0
91	0	0	0	0
92	0	3	0	0
93	0	0	0	0
94	0	2	0	0
95	0	2	0	0
96	0	3	0	0
97	0	3	0	0
98	0	1	0	0
99	0	2	0	0
100	0	0	0	0
101	0	1	0	0
102	0	0	0	0
103	0	2	0	0
104	0	0	0	0
105	0	4	0	0
106	0	0	0	0
107	0	2	0	0
108	0	0	0	0
109	0	1	0	0
110	0	1	0	0
111	0	3	0	0
112	0	1	0	0
113	0	1	0	0
114	0	2	0	0
115	0	2	0	0
116	0	1	0	0
117	0	0	0	0
118	1	1	0	0
119	0	1	0	0
120	0	2	0	0
121	0	0	0	0
122	0	1	0	0
123	0	1	0	0
124	0	3	0	0
125	0	3	0	0
126	1	0	0	0
127	0	0	0	0
128	0	0	0	0
129	0	1	0	0
130	0	0	0	0
131	0	2	0	0
132	0	1	0	0
133	0	1	0	0
134	0	3	0	0
135	0	1	0	0
136	0	0	0	0
137	0	1	0	0
138	0	0	0	0
139	0	1	0	0
140	0	0	0	0
141	0	1	0	0
142	0	0	0	0
143	0	1	0	0
144	0	0	0	0
145	0	2	0	0
146	0	1	0	0
147	0	1	0	0
148	0	0	0	0
149	0	0	0	0
150	0	3	0	0
151	0	2	0	0
152	0	1	0	0
153	0	2	0	0
154	0	2	0	0
155	0	0	0	0
156	0	4	0	0
157	0	0	0	0
158	0	0	0	0
159	0	1	0	0
160	0	3	0	0
161	0	1	0	0
162	0	1	0	0
163	0	2	0	0
164	0	1	0	0
165	0	0	0	0
166	0	0	0	0
167	0	2	0	0
168	0	2	0	0
169	0	0	0	0
170	0	2	0	0
171	0	1	0	0
172	0	0	0	0
173	0	4	0	0
174	1	1	0	0
175	0	0	0	0
176	0	1	0	0
177	0	0	0	0
178	0	1	0	0
179	0	1	0	0
180	0	1	0	0
181	0	0	0	0
182	0	1	0	0
183	0	1	0	0
184	0	0	0	0
185	0	2	0	0
186	0	1	0	0
187	0	1	0	0
188	0	0	0	0
189	0	2	0	0
190	1	2	0	0
191	0	1	0	0
192	3	1	0	0
193	0	5	0	0
194	4	1	0	0
195	4	5	0	0
196	3	2	0	0
197	10	3	0	0
198	9	7	0	0
199	19	5	0	0
200	17	4	0	0
201	29	9	0	0
202	36	4	0	0
203	42	7	0	0
204	57	15	0	0
205	75	9	0	0
206	91	20	0	0
207	116	34	0	0
208	154	40	0	0
209	173	56	0	0
210	258	74	0	0
211	343	97	0	0
212	521	170	0	0
213	690	201	0	0
214	1015	277	0	0
215	1425	399	0	0
216	2086	477	0	0
217	2752	668	0	0
218	3675	851	0	0
219	4740	1008	0	0
220	5747	1271	0	0
221	6978	1453	0	0
222	8006	1757	0	0
223	8786	2016	0	0
224	9132	2254	0	0
225	9147	2605	0	0
226	8851	2904	0	0
227	7912	3197	0	0
228	6929	3520	0	0
229	6143	3838	0	0
230	5083	4046	0	0
231	4008	4290	0	0
232	3080	4599	0	0
233	2448	4698	0	0
234	1794	4762	0	0
235	1272	4738	0	0
236	923	5000	0	0
237	660	4784	4728.432	0.705763
238	438	4856	4828.376	0.3479166
239	330	4750	4809.51	-0.7588634
240	243	4566	4684.397	-1.543553
241	147	4463	4475.979	-0.1713879
242	120	4267	4214.477	0.7111574
243	69	3886	3928.659	-0.608459
244	44	3635	3638.256	-4.818782E-02
245	38	3468	3354.753	1.720407
246	23	3137	3084.526	0.842516
247	16	2905	2830.801	1.2427
248	13	2680	2594.89	1.489791
249	6	2431	2376.964	0.9975854
250	3	2234	2176.527	1.110948
251	4	1955	1992.723	-0.7838538
252	4	1763	1824.513	-1.351506
253	3	1618	1670.786	-1.214581
254	2	1481	1530.431	-1.192665
255	4	1335	1402.368	-1.71824
256	1	1225	1285.574	-1.617476
257	0	1148	1179.092	-0.8594048
258	0	1063	1082.031	-0.5479612
259	1	994	993.5705	0.012815
260	1	931	912.9581	0.55729
261	1	844	839.5021	0.1463211
262	0	774	772.5708	4.866377E-02
263	0	708	711.5865	-0.1279801
264	0	625	656.0223	-1.181803
265	0	583	605.3972	-0.884867
266	0	577	559.2728	0.7041652
267	0	500	517.2491	-0.7383837
268	1	489	478.962	0.4347094
269	1	429	444.0792	-0.6990715
270	0	423	412.2982	0.4997834
271	0	401	383.3431	0.8477877
272	0	367	356.9628	0.504604
273	0	376	332.9283	2.138325
274	0	338	311.031	1.414893
275	0	286	291.0809	-0.2906124
276	0	287	272.9049	0.8047407
277	0	275	256.3452	1.088818
278	0	257	241.2579	0.9514561
279	0	227	227.5124	-3.301372E-02
280	0	229	214.9891	0.8986654
281	1	230	203.5795	1.690831
282	0	226	193.1845	2.119142
283	0	189	183.7138	0.3742256
284	0	160	175.0853	-1.163171
285	0	172	167.2241	0.354852
286	0	169	160.062	0.6701192
287	0	132	153.5367	-1.832422
288	0	137	147.5917	-0.884209
289	0	123	142.1753	-1.691464
290	0	118	137.2406	-1.733581
291	0	115	0	0
292	0	96	0	0
293	0	77	0	0
294	0	90	0	0
295	0	91	0	0
296	0	84	0	0
297	0	76	0	0
298	0	60	0	0
299	0	63	0	0
300	0	66	0	0
301	0	73	0	0
302	0	66	0	0
303	0	56	0	0
304	0	60	0	0
305	0	50	0	0
306	0	55	0	0
307	0	52	0	0
308	0	58	0	0
309	0	33	0	0
310	0	47	0	0
311	0	42	0	0
312	0	45	0	0
313	0	35	0	0
314	0	38	0	0
315	0	42	0	0
316	0	39	0	0
317	0	38	0	0
318	0	26	0	0
319	0	24	0	0
320	0	29	0	0
321	0	38	0	0
322	0	19	0	0
323	0	30	0	0
324	0	26	0	0
325	0	36	0	0
326	0	29	0	0
327	0	30	0	0
328	0	22	0	0
329	0	24	0	0
330	0	21	0	0
331	0	13	0	0
332	0	29	0	0
333	0	23	0	0
334	0	22	0	0
335	0	19	0	0
336	0	21	0	0
337	0	26	0	0
338	0	23	0	0
