Chan	Prompt	Decay	Fit	Residuals
2	0	2	0	0
3	0	1	0	0
4	0	0	0	0
5	0	0	0	0
6	0	1	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	2	0	0
11	0	0	0	0
12	0	0	0	0
13	0	1	0	0
14	0	1	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	1	0	0
21	0	2	0	0
22	0	0	0	0
23	0	0	0	0
24	1	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	1	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	1	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	2	0	0
39	0	1	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	1	0	0
50	0	0	0	0
51	0	1	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	1	0	0
57	0	0	0	0
58	0	1	0	0
59	0	0	0	0
60	0	0	0	0
61	0	1	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	1	0	0
70	0	0	0	0
71	0	0	0	0
72	0	1	0	0
73	1	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	1	0	0
79	0	0	0	0
80	0	1	0	0
81	0	1	0	0
82	0	0	0	0
83	0	0	0	0
84	0	1	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	1	0	0
95	0	0	0	0
96	0	1	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	0	1	0	0
103	0	0	0	0
104	0	0	0	0
105	0	0	0	0
106	0	1	0	0
107	0	1	0	0
108	0	0	0	0
109	0	0	0	0
110	0	0	0	0
111	0	0	0	0
112	0	1	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	0
116	0	0	0	0
117	0	1	0	0
118	0	1	0	0
119	0	1	0	0
120	0	0	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	1	0	0
125	0	0	0	0
126	0	0	0	0
127	0	0	0	0
128	0	1	0	0
129	0	1	0	0
130	0	0	0	0
131	0	0	0	0
132	0	0	0	0
133	0	0	0	0
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	3	0	0
141	0	1	0	0
142	0	0	0	0
143	0	0	0	0
144	0	0	0	0
145	0	2	0	0
146	0	0	0	0
147	0	0	0	0
148	0	0	0	0
149	0	1	0	0
150	0	0	0	0
151	0	0	0	0
152	0	0	0	0
153	0	1	0	0
154	0	1	0	0
155	0	0	0	0
156	0	1	0	0
157	0	0	0	0
158	0	2	0	0
159	0	0	0	0
160	0	2	0	0
161	0	0	0	0
162	0	1	0	0
163	0	0	0	0
164	0	1	0	0
165	0	0	0	0
166	0	1	0	0
167	0	1	0	0
168	0	1	0	0
169	0	0	0	0
170	0	0	0	0
171	0	1	0	0
172	0	0	0	0
173	0	0	0	0
174	0	0	0	0
175	0	1	0	0
176	0	0	0	0
177	0	0	0	0
178	0	0	0	0
179	0	1	0	0
180	0	0	0	0
181	0	1	0	0
182	0	1	0	0
183	0	0	0	0
184	0	0	0	0
185	0	2	0	0
186	0	0	0	0
187	0	0	0	0
188	0	0	0	0
189	0	0	0	0
190	0	0	0	0
191	0	2	0	0
192	0	1	0	0
193	0	0	0	0
194	0	0	0	0
195	1	1	0	0
196	1	1	0	0
197	1	0	0	0
198	5	1	0	0
199	3	0	0	0
200	10	0	0	0
201	12	2	0	0
202	13	0	0	0
203	24	0	0	0
204	39	1	0	0
205	38	1	0	0
206	52	0	0	0
207	88	2	0	0
208	102	7	0	0
209	126	3	0	0
210	178	6	0	0
211	262	13	0	0
212	352	10	0	0
213	507	17	0	0
214	694	22	0	0
215	946	29	0	0
216	1225	42	0	0
217	1658	68	0	0
218	2166	97	0	0
219	2766	143	0	0
220	3585	195	0	0
221	4264	248	0	0
222	4948	334	0	0
223	5944	432	0	0
224	6904	515	0	0
225	7521	669	0	0
226	8443	796	0	0
227	9106	1016	0	0
228	9521	1132	0	0
229	9885	1377	0	0
230	10161	1589	0	0
231	9910	1765	0	0
232	9721	2058	0	0
233	9399	2288	0	0
234	9064	2450	0	0
235	8273	2791	0	0
236	7825	2952	0	0
237	6855	3219	0	0
238	6292	3482	0	0
239	5591	3715	0	0
240	4957	3796	3729.684	0.9582714
241	4242	4062	3975.892	1.198313
242	3710	4252	4197.563	0.7385092
243	3124	4238	4387.728	-2.035007
244	2620	4632	4554.408	1.003485
245	2176	4713	4695.308	0.2265946
246	1789	4709	4811.08	-1.308039
247	1339	4823	4902.313	-1.002765
248	1112	4824	4972.768	-1.880687
249	879	4899	5022.334	-1.545716
250	761	4924	5053.847	-1.622694
251	552	4803	5058.505	-3.237941
252	451	4772	5033.861	-3.330566
253	349	4922	5009.333	-1.091649
254	255	5004	4984.918	0.2363129
255	209	4888	4960.617	-0.9112433
256	144	4799	4936.429	-1.742409
257	127	4913	4912.353	8.095375E-03
258	100	4843	4888.389	-0.572534
259	81	4719	4864.537	-1.862679
260	81	4803	4840.795	-0.4789643
261	75	4781	4817.164	-0.4594784
262	53	4709	4793.643	-1.084603
263	54	4662	4770.23	-1.394672
264	59	4792	4746.927	0.5719354
265	63	4620	4723.732	-1.343494
266	45	4621	4700.645	-1.031405
267	34	4663	4677.665	-0.1889465
268	42	4643	4654.792	-0.152301
269	33	4642	4632.026	0.1288376
270	32	4560	4609.365	-0.6440467
271	21	4462	4586.809	-1.64825
272	28	4453	4564.358	-1.472278
273	26	4740	4542.012	2.527693
274	11	4513	4519.77	-8.883332E-02
275	16	4619	4497.63	1.572121
276	25	4604	4475.594	1.666298
277	5	4552	4453.66	1.284271
278	10	4538	4431.828	1.388945
279	17	4713	4410.098	3.879513
280	8	4509	4388.469	1.582458
281	8	4466	4366.94	1.307549
282	7	4518	4345.511	2.262086
283	4	4561	4324.182	3.089311
284	5	4344	4302.952	0.5502612
285	3	4361	4281.821	1.059114
286	4	4281	4260.788	0.2731725
