No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1,4.0099,0.0000, , ,195.2635,255.0640
2,4.0359,-2434.9350, , ,195.2635,248.9011
3,4.0619,-3715.5130, , ,195.2635,244.9495
4,4.0879,-4596.8910, , ,195.2635,241.7601
5,4.1139,-4354.9170, , ,195.2635,240.8714
6,4.1399,-4657.1200, , ,195.2635,238.8428
7,4.1659,-4648.7460, , ,195.2635,237.4517
8,4.1919,-4207.6230, , ,195.2635,236.9673
9,4.2179,-2471.8480, , ,195.2635,239.2036
10,4.2439,-1373.9930, , ,195.2635,240.0943
11,4.2699,696.8266, , ,195.2635,242.9330
12,4.2959,3254.4740, , ,195.2635,246.7275
13,4.3219,7160.0990, , ,195.2635,253.1411
14,4.3479,11643.9500, , ,195.2635,260.5084
15,4.3739,18069.8100, , ,195.2635,271.2763
16,4.3999,25656.4300, , ,195.2635,283.6861
17,4.4259,36395.0900, , ,195.2635,300.8601
18,4.4519,50629.7600, , ,195.2635,322.5706
19,4.4779,70276.9400, , ,195.2635,350.7126
20,4.5039,96622.9700, , ,195.2635,385.5460
21,4.5299,124344.3000, , ,195.2635,419.1269
22,4.5559,144404.9000, , ,195.2635,441.6201
23,4.5819,130166.4000, , ,195.2635,424.3702
24,4.6079,76840.8600, , ,195.2635,355.0563
25,4.6339,36761.6800, , ,195.2635,292.0379
26,4.6599,19067.6200, , ,195.2635,258.6356
27,4.6859,11757.8000, , ,195.2635,242.6580
28,4.7119,7660.1700, , ,195.2635,232.5632
29,4.7379,5116.2730, , ,195.2635,225.4182
30,4.7639,3176.9130, , ,195.2635,219.4211
31,4.7899,2090.7440, , ,195.2635,215.2465
32,4.8159,1358.0570, , ,195.2635,211.8254
33,4.8419,657.1327, , ,195.2635,208.4243
34,4.8679,298.8849, , ,195.2635,205.8010
35,4.8939,141.0877, , ,195.2635,203.6366
36,4.9199,155.4565, , ,195.2635,201.8758
37,4.9459,49.0297, , ,195.2635,199.7975
38,4.9719,-207.1164, , ,195.2635,197.8714
39,4.9979,-194.7407, , ,195.2635,196.6105
40,5.0239,-150.3526, , ,195.2635,195.4234
41,5.0499,-163.3397, , ,195.2635,194.0813
42,5.0759,-205.7639, , ,195.2635,192.6534
43,5.1019,-351.5861, , ,195.2635,190.9444
44,5.1279,-297.1033, , ,195.2635,189.7484
45,5.1539,-15.9705, , ,195.2635,189.1449
46,5.1799,37.1935, , ,195.2635,187.9340
47,5.2059,-139.5594, , ,195.2635,186.9516
48,5.2319,29.5011, , ,195.2635,186.8914
49,5.2579,109.9083, , ,195.2635,186.5938
50,5.2839,-35.5194, , ,195.2635,185.6886
51,5.3099,-1.6697, , ,195.2635,185.2635
52,5.3359,43.0960, , ,195.2635,184.8669
53,5.3619,56.2152, , ,195.2635,184.3836
54,5.3879,88.4327, , ,195.2635,183.9510
55,5.4139,18.1884, , ,195.2635,183.2381
56,5.4399,-83.0138, , ,195.2635,182.4557
57,5.4659,-124.8443, , ,195.2635,181.8334
58,5.4919,-153.6393, , ,195.2635,181.2448
59,5.5179,-207.2659, , ,195.2635,180.5857
60,5.5439,55.2632, , ,195.2635,180.8005
61,5.5699,254.3482, , ,195.2635,180.8397
62,5.5959,88.1478, , ,195.2635,179.8664
63,5.6219,47.5585, , ,195.2635,179.2385
64,5.6479,-117.8580, , ,195.2635,178.2586
65,5.6739,-113.9776, , ,195.2635,178.0606
66,5.6999,114.4611, , ,195.2635,178.4925
67,5.7259,97.4094, , ,195.2635,178.2360
68,5.7519,147.2806, , ,195.2635,178.1671
69,5.7779,0.3218, , ,195.2635,177.5446
70,5.8039,-64.6819, , ,195.2635,177.1515
71,5.8299,-146.2912, , ,195.2635,176.7105
72,5.8559,-111.8420, , ,195.2635,176.5973
73,5.8819,97.1220, , ,195.2635,176.9777
74,5.9079,36.3404, , ,195.2635,176.8286
75,5.9339,-27.8192, , ,195.2635,176.6699
76,5.9599,-120.9078, , ,195.2635,176.4290
77,5.9859,-19.9833, , ,195.2635,176.7375
78,6.0119,-143.0134, , ,195.2635,176.4118
79,6.0379,22.6420, , ,195.2635,176.9034
80,6.0639,-66.4891, , ,195.2635,176.6741
81,6.0899,-11.1289, , ,195.2635,176.8534
82,6.1159,395.2927, , ,195.2635,178.0212
83,6.1419,709.7850, , ,195.2635,178.8541
84,6.1679,986.7088, , ,195.2635,179.5785
85,6.1939,1784.5110, , ,195.2635,181.7387
86,6.2199,2354.8580, , ,195.2635,183.2541
87,6.2459,3495.6480, , ,195.2635,186.2943
88,6.2719,5026.4610, , ,195.2635,190.3132
89,6.2979,7320.7900, , ,195.2635,196.2044
90,6.3239,10360.1500, , ,195.2635,203.7603
