No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1,4.0099,0.0000, , ,195.2635,253.1514
2,4.0359,-1124.7270, , ,195.2635,243.8557
3,4.0619,-1633.2170, , ,195.2635,235.5034
4,4.0879,-1518.0050, , ,195.2635,228.2143
5,4.1139,-1132.2540, , ,195.2635,221.2967
6,4.1399,-137.9062, , ,195.2635,215.5720
7,4.1659,1134.5510, , ,195.2635,210.3531
8,4.1919,1805.2130, , ,195.2635,203.5284
9,4.2179,3053.7790, , ,195.2635,197.9320
10,4.2439,4328.5440, , ,195.2635,192.2408
11,4.2699,3672.8770, , ,195.2635,190.2242
12,4.2959,3408.7510, , ,195.2635,189.2234
13,4.3219,2994.3490, , ,195.2635,187.8177
14,4.3479,2634.3980, , ,195.2635,186.5473
15,4.3739,2483.0010, , ,195.2635,185.8302
16,4.3999,2092.9760, , ,195.2635,184.4647
17,4.4259,1879.6400, , ,195.2635,183.5709
18,4.4519,1733.5310, , ,195.2635,182.8566
19,4.4779,1593.1570, , ,195.2635,182.1552
20,4.5039,1172.7160, , ,195.2635,180.6462
21,4.5299,1090.0060, , ,195.2635,180.0646
22,4.5559,860.8932, , ,195.2635,179.0729
23,4.5819,881.8094, , ,195.2635,178.7763
24,4.6079,767.2947, , ,195.2635,178.0994
25,4.6339,697.5913, , ,195.2635,177.5461
26,4.6599,499.5070, , ,195.2635,176.6281
27,4.6859,523.6881, , ,195.2635,176.3367
28,4.7119,448.1673, , ,195.2635,175.7613
29,4.7379,284.5447, , ,195.2635,174.9325
30,4.7639,121.6928, , ,195.2635,174.1019
31,4.7899,235.2350, , ,195.2635,174.0630
32,4.8159,162.8264, , ,195.2635,173.4891
33,4.8419,133.8894, , ,195.2635,173.0390
34,4.8679,132.4780, , ,195.2635,172.6674
35,4.8939,16.1738, , ,195.2635,171.9612
36,4.9199,150.2528, , ,195.2635,171.9816
37,4.9459,222.2269, , ,195.2635,171.8214
38,4.9719,70.2610, , ,195.2635,170.9741
39,4.9979,159.2406, , ,195.2635,170.8293
40,5.0239,169.5137, , ,195.2635,170.4536
41,5.0499,77.2937, , ,195.2635,169.7755
42,5.0759,5.1132, , ,195.2635,169.1539
43,5.1019,-105.4462, , ,195.2635,168.4162
44,5.1279,-28.0765, , ,195.2635,168.2346
45,5.1539,10.4398, , ,195.2635,167.9373
46,5.1799,-58.3379, , ,195.2635,167.3190
47,5.2059,-19.3464, , ,195.2635,167.1679
48,5.2319,129.8959, , ,195.2635,167.3463
49,5.2579,243.9093, , ,195.2635,167.4194
50,5.2839,111.4452, , ,195.2635,166.7550
51,5.3099,-22.5318, , ,195.2635,166.0834
52,5.3359,0.7449, , ,195.2635,165.8837
53,5.3619,-24.2813, , ,195.2635,165.5380
54,5.3879,36.4903, , ,195.2635,165.4510
55,5.4139,29.3392, , ,195.2635,165.1585
56,5.4399,-51.1895, , ,195.2635,164.6354
57,5.4659,-13.2521, , ,195.2635,164.4711
58,5.4919,-95.1824, , ,195.2635,163.9415
59,5.5179,-167.3951, , ,195.2635,163.4399
60,5.5439,-32.8176, , ,195.2635,163.5701
61,5.5699,69.3079, , ,195.2635,163.6011
62,5.5959,-44.4585, , ,195.2635,162.9710
63,5.6219,-70.9252, , ,195.2635,162.6071
64,5.6479,6.2022, , ,195.2635,162.5614
65,5.6739,76.5461, , ,195.2635,162.4824
66,5.6999,-29.3623, , ,195.2635,161.8599
67,5.7259,-4.9153, , ,195.2635,161.6387
68,5.7519,-21.7311, , ,195.2635,161.2894
69,5.7779,-33.6557, , ,195.2635,160.9545
70,5.8039,33.0227, , ,195.2635,160.8634
71,5.8299,24.5776, , ,195.2635,160.5384
72,5.8559,58.4323, , ,195.2635,160.3447
73,5.8819,-75.3079, , ,195.2635,159.6267
74,5.9079,64.8876, , ,195.2635,159.7623
75,5.9339,-63.2576, , ,195.2635,159.0565
76,5.9599,-40.0870, , ,195.2635,158.8246
77,5.9859,76.0326, , ,195.2635,158.8851
78,6.0119,131.5876, , ,195.2635,158.7550
79,6.0379,72.7301, , ,195.2635,158.2637
80,6.0639,-115.4170, , ,195.2635,157.3606
81,6.0899,80.1619, , ,195.2635,157.6739
82,6.1159,113.1436, , ,195.2635,157.4711
83,6.1419,-86.7894, , ,195.2635,156.5478
