GENERAL$,
1,0
1.01,0.03298
1.02,0.0325
1.03,0.03203
1.04,0.03158
1.05,0.03114
1.06,0.03072
1.07,0.0303
1.08,0.0299
1.09,0.02951
1.1,0.02913
1.11,0.02876
1.12,0.02839
1.13,0.02804
1.14,0.0277
1.15,0.02737
1.16,0.02704
1.17,0.02673
1.18,0.02642
1.19,0.02612
1.2,0.02583
1.21,0.02554
1.22,0.02527
1.23,0.02499
1.24,0.02473
1.25,0.02447
1.26,0.02422
1.27,0.02398
1.28,0.02374
1.29,0.02351
1.3,0.02328
1.31,0.02306
1.32,0.02284
1.33,0.02263
1.34,0.02242
1.35,0.02222
1.36,0.02203
1.37,0.02183
1.38,0.02165
1.39,0.02146
1.4,0.02129
1.41,0.02111
1.42,0.02094
1.43,0.02078
1.44,0.02062
1.45,0.02046
1.46,0.0203
1.47,0.02015
1.48,0.02001
1.49,0.01986
1.5,0.01972
1.51,0.01959
1.52,0.01945
1.53,0.01932
1.54,0.0192
1.55,0.01907
1.56,0.01895
1.57,0.01884
1.58,0.01872
1.59,0.01861
1.6,0.0185
1.61,0.01839
1.62,0.01829
1.63,0.01819
1.64,0.01809
1.65,0.018
1.66,0.0179
1.67,0.01781
1.68,0.01773
1.69,0.01764
1.7,0.01756
1.71,0.01748
1.72,0.0174
1.73,0.01732
1.74,0.01725
1.75,0.01718
1.76,0.01711
1.77,0.01704
1.78,0.01697
1.79,0.01691
1.8,0.01685
1.81,0.01679
1.82,0.01674
1.83,0.01668
1.84,0.01663
1.85,0.01658
1.86,0.01653
1.87,0.01649
1.88,0.01644
1.89,0.0164
1.9,0.01636
1.91,0.01632
1.92,0.01628
1.93,0.01625
1.94,0.01622
1.95,0.01619
1.96,0.01616
1.97,0.01613
1.98,0.01611
1.99,0.01609
2,0.01607
2.01,0.01605
2.02,0.01603
2.03,0.01602
2.04,0.01601
2.05,0.016
2.06,0.01599
2.07,0.01599
2.08,0.01598
2.09,0.01598
2.1,0.01598
2.11,0.01598
2.12,0.01599
2.13,0.016
2.14,0.01601
2.15,0.01602
2.16,0.01603
2.17,0.01605
2.18,0.01607
2.19,0.01609
2.2,0.01611
2.21,0.01614
2.22,0.01617
2.23,0.0162
2.24,0.01624
2.25,0.01628
2.26,0.01632
2.27,0.01636
2.28,0.01641
2.29,0.01646
2.3,0.01651
2.31,0.01656
2.32,0.01662
2.33,0.01669
