GENERAL$,
1,0
1.01,0.03256
1.02,0.03209
1.03,0.03163
1.04,0.03118
1.05,0.03075
1.06,0.03033
1.07,0.02992
1.08,0.02952
1.09,0.02914
1.1,0.02876
1.11,0.02839
1.12,0.02804
1.13,0.02769
1.14,0.02735
1.15,0.02702
1.16,0.0267
1.17,0.02639
1.18,0.02608
1.19,0.02579
1.2,0.0255
1.21,0.02522
1.22,0.02494
1.23,0.02468
1.24,0.02442
1.25,0.02416
1.26,0.02391
1.27,0.02367
1.28,0.02344
1.29,0.0232
1.3,0.02298
1.31,0.02276
1.32,0.02255
1.33,0.02234
1.34,0.02214
1.35,0.02194
1.36,0.02174
1.37,0.02155
1.38,0.02137
1.39,0.02119
1.4,0.02101
1.41,0.02084
1.42,0.02067
1.43,0.02051
1.44,0.02035
1.45,0.02019
1.46,0.02004
1.47,0.01989
1.48,0.01975
1.49,0.0196
1.5,0.01947
1.51,0.01933
1.52,0.0192
1.53,0.01907
1.54,0.01895
1.55,0.01882
1.56,0.0187
1.57,0.01859
1.58,0.01847
1.59,0.01836
1.6,0.01826
1.61,0.01815
1.62,0.01805
1.63,0.01795
1.64,0.01785
1.65,0.01776
1.66,0.01767
1.67,0.01758
1.68,0.01749
1.69,0.0174
1.7,0.01732
1.71,0.01724
1.72,0.01716
1.73,0.01709
1.74,0.01702
1.75,0.01694
1.76,0.01688
1.77,0.01681
1.78,0.01674
1.79,0.01668
1.8,0.01662
1.81,0.01656
1.82,0.01651
1.83,0.01645
1.84,0.0164
1.85,0.01635
1.86,0.0163
1.87,0.01626
1.88,0.01621
1.89,0.01617
1.9,0.01613
1.91,0.01609
1.92,0.01606
1.93,0.01602
1.94,0.01599
1.95,0.01596
1.96,0.01593
1.97,0.01591
1.98,0.01588
1.99,0.01586
2,0.01584
2.01,0.01582
2.02,0.0158
2.03,0.01579
2.04,0.01578
2.05,0.01577
2.06,0.01576
2.07,0.01575
2.08,0.01575
2.09,0.01574
2.1,0.01574
2.11,0.01575
2.12,0.01575
2.13,0.01576
2.14,0.01576
2.15,0.01578
2.16,0.01579
2.17,0.0158
2.18,0.01582
2.19,0.01584
2.2,0.01586
2.21,0.01589
2.22,0.01592
2.23,0.01595
2.24,0.01598
2.25,0.01602
2.26,0.01605
2.27,0.01609
2.28,0.01614
2.29,0.01619
2.3,0.01624
2.31,0.01629
2.32,0.01635
2.33,0.01641
2.34,0.01647
2.35,0.01654
2.36,0.01661
2.37,0.01668
2.38,0.01676
2.39,0.01684
2.4,0.01693
2.41,0.01702
2.42,0.01711
2.43,0.01721
2.44,0.01732
2.45,0.01743
2.46,0.01754
2.47,0.01766
2.48,0.01779
2.49,0.01792
2.5,0.01806
2.51,0.0182
2.52,0.01836
2.53,0.01852
2.54,0.01868
2.55,0.01886
2.56,0.01904
2.57,0.01923
2.58,0.01943
2.59,0.01964
2.6,0.01986
2.61,0.02009
2.62,0.02034
2.63,0.02059
2.64,0.02086
2.65,0.02114
2.66,0.02144
2.67,0.02175
2.68,0.02207
2.69,0.02242
2.7,0.02278
2.71,0.02317
2.72,0.02357
2.73,0.024
2.74,0.02445
2.75,0.02493
2.76,0.02544
2.77,0.02598
2.78,0.02656
2.79,0.02717
2.8,0.02781
2.81,0.02851
2.82,0.02925
2.83,0.03004
2.84,0.03088
2.85,0.03179
2.86,0.03277
2.87,0.03382
2.88,0.03495
2.89,0.03618
2.9,0.03751
2.91,0.03895
2.92,0.04052
2.93,0.04224
2.94,0.04412
