2theta,I
37.11768,12
18.46188,12
100,6
49.76956,6
21.62063,24
10.75344,24
33.17462,12
16.51287,12
0.15212,24
0.07539,24
47.82689,8
23.79057,8
0.33674,48
0.16702,48
11.25754,6
5.59881,6
5.12147,24
1.04448,12
2.54699,24
0.51929,12
1.35786,24
0.67653,24
0.96217,24
0.47823,24
9.05309,24
4.50652,24
0.24215,48
0.10161,24
0.12017,48
0.05072,24
0.27433,48
0.13684,48
0.72997,12
0.36251,12
0.1427,24
0.01201,24
0.07084,24
0.00603,24
2.00403,24
1.24586,6
0.99777,24
0.62015,6
1.57558,24
0.01818,48
0.78344,24
0.00897,48
0.38568,24
0.19164,24
0.27005,48
0.13464,48
0.2302,24
0.11407,24
0.09548,48
0.04737,48
1.07657,8
0.53504,8
0.17889,48
0.58726,12
0.0735,24
0.08881,48
0.292,12
0.03647,24
0.0993,24
0.04929,24
0.0191,24
0.45943,24
0.10107,48
0.00946,24
0.22836,24
0.05013,48
0.09717,48
0.0482,48
0.00424,24
0.00213,24
0.08959,48
0.01074,48
0.0447,48
0.00539,48
0.44954,6
0.22334,6
0.0016,24
0.06703,48
0.40045,24
7.9E-4,24
0.03324,48
0.19906,24
0.19808,24
0.58664,24
0.09868,24
0.29168,24
0.16288,48
0.0809,48
0.13484,24
1.7E-4,12
0.06698,24
8E-5,12
0.21591,24
0.11627,48
0.23913,48
0.10756,24
0.05798,48
0.1188,48
0.0214,24
0.01077,24
0.31302,48
0.15596,48
0.16519,24
0.08251,24
0.11567,24
0.01508,24
0.05745,24
0.00754,24
0.81275,48
0.40406,48
0.01966,48
0.16154,24
0.15698,48
0.00974,48
0.08047,24
0.07795,48
0.35565,24
0.17707,24
0.01661,48
0.0966,48
0.0035,24
0.00831,48
0.04816,48
0.00176,24
0.33234,48
3E-5,48
0.16554,48
1E-5,48
0.11738,24
0.05864,24
0.05313,48
0.25521,12
0.11088,48
0.02636,48
0.12688,12
0.05508,48
0.07858,6
0.09066,24
0.03906,6
0.04504,24
0.65802,24
0.1405,24
0.32717,24
0.06982,24
0.29448,48
0.89427,24
0.14631,48
0.44474,24
0.0136,48
0.09011,24
0.00673,48
0.04477,24
