4,00993028 0 260,47648646279
4,03593028 -2472,98749519475 253,168291565665
4,06193028 -3433,59518505411 248,888165683359
4,08793028 -4200,36988304291 245,011344652572
4,11393028 -4522,71050642624 242,056937664394
4,13993028 -4643,21120261088 239,512500151484
4,16593028 -4003,48044714799 238,485729689306
4,19193028 -3122,1324839839 237,850426965949
4,21793028 -1658,00088845806 238,30015953805
4,24393028 493,899152654882 239,92245961261
4,26993028 3265,88550743595 242,489124403348
4,29593028 7235,8498893007 246,969656842453
4,32193028 12110,8814496925 252,54863796698
4,34793028 19055,9973446103 261,096031573521
4,37393028 28297,9211455402 272,308930628901
4,39993028 40812,3525978875 287,147509952793
4,42593028 57890,4982961859 306,468520521754
4,45193028 81003,3146261123 330,862475228912
4,47793028 109823,395870972 358,385562646906
4,50393028 130544,571176845 373,510792159358
4,52993028 123572,499953422 359,479885062589
4,55593028 89122,74241104 318,147669631053
4,58193028 52716,1342769843 275,3239928657
4,60793028 29228,3330976542 246,354434967014
4,63393028 17012,3110950416 229,756528548033
4,65993028 10885,7117296371 220,138107138559
4,68593028 7505,42121170727 213,769573220189
4,71193028 4834,23648401743 208,026403447975
4,73793028 3495,99712241542 204,575957754582
4,76393028 2356,55700093996 200,979647055121
4,78993028 1475,77576876793 197,985658695718
4,81593028 904,973833377855 195,41066750359
4,84193028 604,564612580889 193,268862007522
4,86793028 507,885567085963 191,42005194832
4,89393028 465,211408143452 189,637151235564
4,91993028 271,433699978785 187,61165559522
4,94593028 167,159088190423 185,82732584565
4,97193028 594,005741877929 184,901131529079
4,99793028 928,087175607983 183,647286469159
5,02393028 701,135248818646 181,605478280398
5,04993028 597,834612983945 179,930801959854
5,07593028 680,882503873563 178,450989648418
5,10193028 366,058479509629 176,343769167258
5,12793028 120,304531161939 174,490113045152
5,15393028 28,9509753102066 172,795133683634
5,17993028 -105,114810846775 171,068257153467
5,20593028 -138,550456836459 169,507776066618
5,23193028 -129,286427054591 168,008188018974
5,25793028 0 166,712992588673
5,28393028 -157,929589198757 165,809351169929
5,30993028 -278,852355755902 164,998523059904
5,33593028 -269,263685012364 164,395746223368
5,36193028 -313,191762477534 163,728673816956
5,38793028 -362,835836291284 163,077250022564
5,41393028 -405,233122490677 162,441748057304
5,43993028 -258,816174027343 162,108421443878
5,46593028 -246,91411068826 161,645448240017
5,49193028 -319,081214938346 160,975637096625
5,51793028 -302,678481932329 160,560443952046
5,54393028 -283,745023925174 160,034933614367
5,56993028 3,63797880709171E-12 160,069105861819
5,59593028 -94,6876317927417 159,89356897148
5,62193028 -287,9752688634 159,465963625289
5,64793028 -316,126089038573 159,385806910872
5,67393028 -357,099600858426 159,278198274694
5,69993028 -201,303888013819 159,442814099573
5,72593028 15,8927079466557 159,959707421984
5,75193028 -158,530419978013 159,683703633151
5,77793028 -179,247324657301 159,602433294582
5,80393028 -23,2513824329653 160,008391497832
5,82993028 -114,232001981765 159,987161518758
5,85593028 -217,624560738572 159,775365267839
5,88193028 1,81898940354586E-12 160,295354109019
5,90793028 103,020965320831 160,859736810063
5,93393028 72,9184009364471 161,084270829109
5,95993028 78,0823294823476 161,522333113515
5,98593028 -6,20329836226119 161,562519357217
6,01193028 315,666498707145 162,560131342516
6,03793028 602,365040904766 163,609251908068
6,06393028 699,105138727873 164,207966285399
6,08993028 884,151054009151 164,984264543387
6,11593028 1264,8907407671 166,132011362438
6,14193028 1927,58203933774 168,022122007263
6,16793028 2657,2317624424 169,922912533034
6,19393028 3859,44727167329 173,040658835895
6,21993028 5187,26024995678 176,205645384931
6,24593028 7355,17376391613 181,44945963196
6,27193028 9825,62353598065 186,806208926477
6,29793028 14515,5870792099 196,851198417934
6,32393028 20829,6584515352 209,905012225666
6,34993028 28846,9207774991 225,583535154941
6,37593028 38889,4240659521 245,21634987668
6,40193028 44792,6272718258 258,078253170771
6,42793028 41190,1015754649 254,910194937132
6,45393028 29605,7540433002 235,961160686705
6,47993028 18583,0232218593 215,080835620013
6,50593028 12534,4041479248 202,829083402643
6,53193028 9532,61351942318 196,805236995609
6,55793028 8165,77357446507 194,458738122405
6,58393028 7734,9456866808 194,411767594119
6,60993028 6913,15956342561 193,310194931397
6,63593028 6698,4391400955 193,254552847129
6,66193028 6166,59441790209 190,623408574612
6,68793028 6071,22678132994 189,169920471674
6,71393028 5750,85273318133 187,144790134629
6,73993028 5336,13479290441 184,924768987705
6,76593028 5327,13858424049 183,80188034374
6,79193028 5251,72739960959 182,481094702633
6,81793028 4993,40620184347 180,725412970499
6,84393028 4795,90195201527 179,187079565535
6,86993028 4515,92556283239 177,45397924079
6,89593028 4680,04941768686 176,905235591549
6,92193028 4491,14596213513 175,363928817611
6,94793028 4412,26959816643 174,234094031459
6,97393028 4124,58293460746 172,55861085305
6,99993028 4063,55550515362 171,556032807642
7,02593028 4242,36894108634 171,086733736012
7,05193028 3784,0390656213 168,980376707235
7,07793028 4040,87427230878 168,928391493203
7,10393028 3515,31295511646 166,638968427886
7,12993028 3884,56334330349 166,963385067623
