Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,2.02649063E-3,
40.00,1.29359844E-3,
80.00,-2.39012577E-3,
120.00,1.78600103E-3,
160.00,-2.39016232E-3,
200.00,-4.27362625E-4,
240.00,-1.41062308E-3,
280.00,3.09452007E-4,
320.00,-1.65934686E-3,
360.00,1.04629458E-3,
400.00,3.50314798E-3,
440.00,-1.82368996E-4,
480.00,-6.73825503E-4,
520.00,7.99608708E-4,
560.00,3.08733404E-4,
600.00,-4.27839987E-4,
640.00,2.27220287E-3,
680.00,1.04789750E-3,
720.00,1.04501867E-3,
760.00,2.52281548E-3,
800.00,-1.40844844E-3,
840.00,1.53585861E-3,
880.00,-1.65085518E-3,
920.00,-1.40955346E-3,
960.00,2.27325200E-3,
1000.00,-9.20854043E-4,
1040.00,-4.23780846E-4,
1080.00,-4.27325984E-4,
1120.00,1.53944467E-3,
1160.00,1.04661437E-3,
1200.00,1.04406558E-3,
1240.00,-9.14493634E-4,
1280.00,3.99061106E-3,
1320.00,-2.13952246E-3,
1360.00,-4.26849176E-4,
1400.00,3.09548981E-4,
1440.00,-1.78598595E-4,
1480.00,1.04665104E-3,
1520.00,-2.14987295E-3,
1560.00,-1.89663563E-3,
1600.00,3.50668118E-3,
1640.00,1.04406558E-3,
1680.00,1.53226056E-3,
1720.00,3.00476118E-3,
1760.00,-1.83084179E-4,
1800.00,-6.70676294E-4,
1840.00,1.29130238E-3,
1880.00,-1.65813498E-3,
1920.00,-1.79750772E-4,
1960.00,3.08965478E-4,
2000.00,1.77857361E-3,
2040.00,5.54904225E-4,
2080.00,-6.69953646E-4,
2120.00,-1.65931031E-3,
2160.00,-1.89257925E-3,
2200.00,3.99653381E-3,
2240.00,-2.15289253E-3,
2280.00,5.54530881E-4,
2320.00,1.04700797E-3,
2360.00,-9.18439298E-4,
2400.00,-6.73208910E-4,
2440.00,1.53529993E-3,
2480.00,-6.74552808E-4,
2520.00,-1.89124257E-3,
2560.00,5.55149978E-4,
2600.00,1.04374858E-3,
2640.00,-1.64246664E-3,
2680.00,6.44935280E-5,
2720.00,-3.36525310E-3,
2760.00,-1.16535602E-3,
2800.00,6.30774666E-5,
2840.00,-1.90336537E-3,
2880.00,1.29313825E-3,
2920.00,1.78518845E-3,
2960.00,-2.15296587E-3,
3000.00,-1.64972595E-3,
3040.00,2.02641753E-3,
3080.00,-2.15147343E-3,
3120.00,1.04569248E-3,
3160.00,-9.16069257E-4,
3200.00,5.55029546E-4,
3240.00,6.33141462E-5,
3280.00,1.53828331E-3,
3320.00,-6.71868038E-4,
3360.00,1.04633125E-3,
3400.00,-4.27876628E-4,
3440.00,6.25666144E-5,
3480.00,-2.39012577E-3,
3520.00,-1.40103954E-3,
3560.00,1.04470062E-3,
3600.00,1.53526349E-3,
3640.00,3.26460949E-3,
3680.00,3.09257739E-4,
3720.00,-2.14251853E-3,
3760.00,-9.19231214E-4,
3800.00,-1.66059704E-3,
3840.00,5.54659870E-4,
3880.00,-2.89049349E-3,
3920.00,2.02991604E-3,
3960.00,5.54862549E-4,
4000.00,-1.16912846E-3,
4040.00,-1.41383929E-3,
4080.00,-2.87903170E-3,
4120.00,-4.27289429E-4,
4160.00,-4.26299841E-4,
4200.00,7.98640540E-4,
4240.00,1.29356177E-3,
4280.00,-4.27362625E-4,
4320.00,8.00545618E-4,
4360.00,-9.18475911E-4,
4400.00,5.54696366E-4,
4440.00,7.99572153E-4,
4480.00,-1.41383940E-3,
4520.00,-1.64965272E-3,
4560.00,-1.65692437E-3,
4600.00,1.29313814E-3,
4640.00,-1.81618816E-4,
4680.00,-1.65447069E-3,
4720.00,-1.40955346E-3,
4760.00,6.37501071E-5,
4800.00,5.54815924E-4,
4840.00,-1.89261604E-3,
4880.00,-1.40738126E-3,
4920.00,-6.71941147E-4,
4960.00,-2.64172279E-3,
5000.00,-4.25348931E-4,
5040.00,-1.81618816E-4,
5080.00,-3.63464025E-3,
5120.00,1.04629458E-3,
5160.00,6.34407188E-5,
5200.00,-6.71253598E-4,
5240.00,1.29176059E-3,
5280.00,1.29176059E-3,
5320.00,-1.40635180E-3,
5360.00,2.02380400E-3,
5400.00,-6.74479525E-4,
5440.00,5.54820930E-4,
5480.00,-4.25275823E-4,
5520.00,5.54727914E-4,
5560.00,8.00726353E-4,
5600.00,-6.72593014E-4,
5640.00,-4.25275910E-4,
5680.00,5.54820930E-4,
5720.00,7.99968198E-4,
5760.00,1.04597502E-3,
5800.00,-1.91013340E-3,
5840.00,6.41850784E-5,
5880.00,1.04661449E-3,
5920.00,6.32774972E-5,
5960.00,2.03163479E-3,
6000.00,-1.40741770E-3,
6040.00,3.09221155E-4,
6080.00,-1.64968939E-3,
6120.00,2.27220310E-3,
6160.00,8.00870592E-4,
6200.00,3.09197058E-4,
6240.00,-1.64968939E-3,
6280.00,-6.71941147E-4,
6320.00,8.00545618E-4,
6360.00,-1.65209570E-3,
6400.00,5.55024366E-4,
6440.00,-9.18475795E-4,
6480.00,-1.64721557E-3,
6520.00,-2.15289253E-3,
6560.00,-2.64175935E-3,
6600.00,-1.40951690E-3,
6640.00,1.78371265E-3,
6680.00,-1.90336537E-3,
6720.00,1.04498223E-3,
6760.00,-1.65692437E-3,
6800.00,-1.65205903E-3,
6840.00,-1.39892311E-3,
6880.00,2.27524340E-3,
6920.00,3.08867864E-4,
6960.00,-1.81957061E-4,
7000.00,8.00509064E-4,
7040.00,-2.39019888E-3,
7080.00,-2.39337469E-3,
7120.00,-2.87903147E-3,
7160.00,-6.74479525E-4,
7200.00,3.09452036E-4,
7240.00,3.00614885E-3,
7280.00,8.00365175E-4,
7320.00,3.09839263E-4,
7360.00,2.27321545E-3,
7400.00,-2.63819052E-3,
7440.00,-6.73898729E-4,
7480.00,-1.16909179E-3,
7520.00,1.04629458E-3,
7560.00,-6.73245522E-4,
7600.00,2.02641753E-3,
7640.00,3.09802766E-4,
7680.00,2.02641753E-3,
7720.00,-9.21685307E-4,
7760.00,-4.27362625E-4,
7800.00,3.09452007E-4,
7840.00,-1.64848822E-3,
7880.00,3.26773361E-3,
7920.00,6.37867124E-5,
7960.00,-6.71941147E-4,
8000.00,-9.16894933E-4,
8040.00,1.04601169E-3,
8080.00,2.75775744E-3,
