Sliced MOF170 DMSO Ar 300 700 nm 20 us Delta OD

Labels,0.000 us,2.000 us,4.000 us,6.000 us,8.000 us,10.000 us,12.000 us,14.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,-6.52792514E-4,-1.82408793E-3,-2.54263938E-3,-1.92852598E-3,-2.13040994E-3,-4.67299717E-4,-1.17279706E-4,1.01521378E-3,
310.00,-5.60894026E-4,-8.96361307E-5,-9.02279426E-5,-3.88841232E-4,-1.03570428E-5,-1.73345878E-4,3.39662756E-6,9.37893783E-5,
320.00,4.30383254E-4,6.85182167E-4,9.09942202E-4,1.06504851E-3,7.55677349E-4,9.32225958E-4,3.98295640E-4,5.69358293E-4,
330.00,3.11293348E-4,4.45455371E-4,3.78194876E-4,4.60967771E-4,3.69979913E-4,2.27243305E-4,2.15000458E-4,2.94780213E-4,
340.00,9.32985451E-4,6.72796275E-4,5.70782693E-4,3.65474145E-4,3.18767910E-4,2.74987338E-4,2.64718983E-4,2.83590809E-4,
350.00,8.94731842E-4,7.34096684E-4,7.18202791E-4,7.10854656E-4,6.66189997E-4,7.33217574E-4,7.92244100E-4,7.68880884E-4,
360.00,9.79347620E-4,7.96600070E-4,5.06537443E-4,3.00185580E-4,3.56725126E-4,3.17826285E-4,2.21349299E-4,1.04431616E-4,
370.00,1.03782443E-3,6.93419599E-4,5.85802307E-4,4.98144538E-4,3.42640822E-4,2.30261954E-4,2.61203648E-4,1.70040526E-4,
380.00,1.19407929E-3,7.42782431E-4,6.02225831E-4,5.41309535E-4,4.90959268E-4,3.73042945E-4,3.70964990E-4,3.08705028E-4,
390.00,9.59384954E-4,3.59693659E-4,9.19363374E-5,2.28293266E-5,-2.10585698E-4,-3.17218917E-4,-3.49480106E-4,-3.83695966E-4,
400.00,-2.96416547E-4,-5.54478087E-4,-7.56516529E-4,-5.78533683E-4,-5.98902290E-4,-4.17468254E-4,-2.16273780E-4,-1.80692114E-5,
410.00,-3.07899574E-3,-2.88422196E-3,-2.57582637E-3,-2.23449850E-3,-2.54709739E-3,-2.11174483E-3,-1.89363421E-3,-1.72803632E-3,
420.00,-1.45234158E-2,-1.26376767E-2,-1.10217892E-2,-9.72781796E-3,-9.59526654E-3,-8.52389168E-3,-7.79819535E-3,-6.98838755E-3,
430.00,-2.98735686E-3,-2.67614750E-3,-1.85232994E-3,-1.93944213E-3,-1.68649422E-3,-1.76637061E-3,-1.40623795E-3,-1.53520703E-3,
440.00,3.25733621E-4,1.34927814E-3,8.18067871E-4,6.87111227E-4,5.26061165E-4,4.39172960E-4,4.19072458E-4,4.18530864E-4,
450.00,1.30676650E-4,7.19941629E-4,5.93923847E-4,5.86223789E-4,4.29399719E-4,1.34398593E-4,2.74708640E-4,2.16469067E-4,
460.00,-2.49832141E-4,5.31822516E-5,6.59371959E-4,8.61229259E-4,7.62162381E-4,8.10869620E-4,9.01791209E-4,8.01252900E-4,
470.00,-4.29672218E-4,3.19021347E-4,2.72849808E-4,3.27976624E-4,5.29594196E-4,2.84450856E-4,3.09825293E-4,4.32191591E-4,
480.00,-6.56576303E-4,1.61720964E-5,3.45694280E-4,1.63315228E-4,1.38847070E-4,8.61264853E-5,1.94375934E-6,-1.30563698E-4,
490.00,-1.06158771E-3,-2.03253076E-4,-9.95435494E-6,4.83365184E-5,2.77821731E-4,5.06853103E-4,4.14508424E-4,5.76315681E-4,
500.00,-7.88713980E-4,-1.00354802E-4,1.25989245E-4,4.47786209E-4,5.79047075E-4,9.04883142E-4,6.39355509E-4,7.85763899E-4,
510.00,-1.02276693E-3,-2.12851897E-4,-5.82387001E-5,8.45163158E-5,2.56349129E-4,2.51789810E-4,5.26092714E-4,2.92251003E-4,
520.00,-1.34571176E-3,-5.39361965E-4,-3.07495327E-4,-4.85724799E-4,-4.51975880E-4,-4.44879232E-4,-4.29902750E-4,-3.29585950E-4,
530.00,-1.51012628E-3,-4.48593346E-4,-3.50863877E-4,-1.26375162E-4,2.79316504E-4,-3.58694611E-4,-2.28479577E-4,-3.63060506E-4,
540.00,-1.21044228E-3,-7.45412544E-4,-5.08705387E-4,-4.49773390E-4,-5.99689432E-4,-5.25521697E-4,-3.77280259E-4,-7.04775375E-5,
550.00,-1.44971069E-3,-8.23110808E-4,-8.46664654E-4,-8.40704713E-4,-8.20935878E-4,-8.14367842E-4,-9.01432999E-4,-9.50362883E-4,
560.00,-1.45276426E-3,-6.52319752E-4,-3.72178038E-4,-2.75268598E-4,-1.19602882E-4,-2.22585921E-4,-2.20022630E-4,-1.77507827E-4,
570.00,-1.43120275E-3,-6.86670828E-4,-3.22656822E-4,-9.05218549E-5,-1.35199138E-4,-2.50172365E-4,-3.68851579E-5,-9.09007867E-5,
580.00,-1.11990620E-3,-4.38624236E-4,-2.01869567E-4,-1.97695947E-4,-1.12925423E-4,-2.41673464E-4,-1.06089479E-4,-1.40821037E-4,
590.00,-1.41183182E-3,-7.55580724E-4,-5.56611340E-4,-3.90216126E-4,-2.69649812E-4,-2.64055183E-4,-1.15837473E-4,-1.80280593E-4,
600.00,-1.49263965E-3,-6.14904391E-4,-1.68554499E-4,4.70290870E-5,9.53995186E-5,2.11279854E-4,1.80145740E-4,4.00790101E-4,
610.00,-1.13118417E-3,-3.96784540E-4,-2.34836858E-4,-1.76529977E-6,4.93298649E-5,-1.99666028E-4,-8.52141529E-5,6.46454937E-5,
620.00,-1.15487538E-3,-4.62654600E-4,-4.54134046E-4,-1.04294544E-4,-2.51132413E-4,-1.37300362E-4,-2.15793159E-4,-1.23171034E-4,
630.00,-1.36900286E-3,-8.43742630E-4,-6.64144929E-4,-7.38624134E-4,-6.35489123E-4,-6.39034377E-4,-8.54348997E-4,-7.06473715E-4,
640.00,-1.53536815E-3,-9.32437018E-4,-8.41101340E-4,-5.34727122E-4,-5.54630416E-4,-6.67681452E-4,-4.98310139E-4,-7.84026633E-4,
650.00,-1.22331234E-3,-4.30409069E-4,8.40553330E-5,-1.13596943E-4,-3.17606435E-4,-2.65662180E-4,-5.68635704E-4,-1.66784637E-4,
660.00,-1.48136890E-3,-6.94045972E-4,-6.06254849E-4,-4.06553852E-4,-2.31463331E-4,-3.05540772E-4,-5.26970543E-4,-8.57527659E-4,
670.00,-1.03107723E-3,-6.24001725E-4,-3.26722482E-4,-5.42488822E-4,-4.10314155E-4,-3.55093740E-4,-5.61047054E-4,-4.42677207E-4,
680.00,-1.20183011E-3,-6.76613476E-4,-1.37116513E-4,-5.88051684E-4,-6.96581905E-4,-6.64012914E-4,-1.05321000E-3,-8.16597254E-4,
690.00,-6.08378206E-4,-8.24107439E-4,-6.52764633E-4,-2.88460520E-4,-3.05350841E-4,9.41776379E-5,-3.79396311E-4,1.04159131E-4,
700.00,-2.20463160E-4,-3.55205266E-4,1.66494458E-4,-2.64904811E-5,3.52198549E-5,1.24160084E-4,7.25824561E-4,4.67614649E-4,
