Sliced MOF230 DMSO Ar 300 700 nm 400 us Delta OD

Labels,0.000 us,30.000 us,60.000 us,90.000 us,120.000 us,150.000 us,180.000 us,210.000 us,240.000 us,270.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

300.00,1.02487754E-3,1.71760941E-4,4.13713016E-4,3.46825633E-4,3.37005658E-5,-1.66660862E-3,1.00373628E-3,-6.64382300E-4,9.97437513E-4,3.79551644E-3,
310.00,-5.38142667E-5,1.86173915E-4,7.48994353E-4,2.81347515E-4,9.50667833E-4,6.00392756E-4,8.57882202E-4,3.85857275E-4,7.11066008E-4,1.01420970E-3,
320.00,9.56966309E-4,5.81551751E-4,9.42533079E-4,1.00715843E-3,5.17706561E-4,-3.20344698E-4,-2.71140685E-4,2.36662134E-4,-2.41920090E-4,7.03589991E-4,
330.00,1.08647611E-4,4.73377440E-4,1.00666122E-3,7.48327002E-4,6.80222409E-4,4.82100353E-4,1.25200950E-5,1.26858082E-4,2.81723624E-4,-1.53027999E-4,
340.00,3.45256674E-4,5.45957300E-4,4.65616933E-4,6.82337850E-4,4.68873390E-4,4.91544022E-4,4.40305128E-4,4.03477316E-4,7.05740356E-4,2.60812696E-4,
350.00,3.98759323E-4,3.56181918E-5,-7.32129411E-5,3.70110472E-4,5.35180850E-4,-2.42542010E-5,-8.83216780E-5,2.29265672E-4,4.40901844E-4,1.60379976E-4,
360.00,-6.80900266E-5,1.19123237E-4,2.67634459E-4,2.42713228E-4,-2.80084350E-4,-1.68580358E-4,4.43259167E-4,1.34041111E-4,-2.66625168E-4,2.30694379E-4,
