Sliced TCPP DMSO Ar 300 700 nm 20 us Delta OD

Labels,0.000 us,2.000 us,4.000 us,6.000 us,8.000 us,10.000 us,12.000 us,14.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,-5.73659454E-5,9.24599881E-5,2.38473585E-4,4.77726921E-4,6.62992883E-4,6.36326498E-4,4.31575318E-4,-3.40979786E-5,
310.00,1.71751035E-5,-4.16395378E-5,-4.78680340E-5,9.00775206E-7,8.29739583E-5,-3.10401112E-4,-4.16841096E-4,-2.09564503E-4,
320.00,5.04355885E-5,1.98449452E-5,-3.73978546E-5,1.23111577E-5,-1.18109281E-4,1.10434819E-4,-6.73108843E-6,2.43194390E-5,
330.00,4.22245444E-4,3.04432440E-4,4.09443426E-4,4.57565649E-4,4.19727789E-4,3.71388800E-4,4.40916483E-4,3.80401907E-4,
340.00,2.75463448E-4,4.00078861E-4,3.40899191E-4,3.11319920E-4,4.19160380E-4,5.73522295E-4,7.03616766E-4,7.48187129E-4,
350.00,9.49495370E-5,8.06433382E-5,-1.47240999E-5,1.32041368E-5,5.06310971E-5,2.88686624E-5,5.43688111E-5,-1.40293014E-5,
360.00,3.64215142E-4,1.91526444E-4,1.48701060E-4,1.18670723E-4,1.32809844E-4,1.72981774E-4,3.33354634E-4,1.76681409E-4,
370.00,4.94721986E-4,4.92151710E-4,5.49640798E-4,8.15970066E-4,8.43251357E-4,8.17588822E-4,7.50229869E-4,7.77304522E-4,
380.00,3.90063156E-4,1.87818630E-4,1.21740952E-4,-2.31537888E-5,-6.71551970E-5,-7.69671824E-5,-1.06141561E-4,-1.19854762E-4,
390.00,5.07704157E-4,5.25670359E-4,4.92589374E-4,5.42116584E-4,5.16327855E-4,5.67134004E-4,6.09626528E-4,5.21880342E-4,
400.00,4.03335347E-4,3.83713486E-4,5.91459335E-4,3.62231571E-4,4.80968651E-4,4.32606699E-4,4.89300117E-4,3.04040615E-4,
410.00,-1.52888693E-4,-4.61786723E-4,-2.61948822E-4,-1.09259527E-4,6.38011770E-5,1.89371262E-4,2.95958831E-4,6.22002408E-4,
420.00,-7.86068485E-5,-1.37808878E-4,9.43258565E-5,2.33889543E-4,4.67399455E-4,6.23150030E-4,6.09380542E-4,5.93185949E-4,
430.00,-1.61811057E-3,-9.57406010E-4,-7.11033179E-4,-5.60436572E-4,-2.79564731E-4,-1.00316334E-4,1.77434922E-4,3.13920085E-4,
440.00,-9.89815919E-4,-7.02650752E-4,-6.40080252E-4,-5.90728887E-4,-4.52341337E-4,-2.91028671E-4,-9.48049710E-5,3.62957799E-4,
450.00,-2.71140743E-4,-2.63573107E-4,-2.00087263E-4,-3.51655181E-4,-2.84328737E-4,-5.21347065E-5,-1.97129280E-4,-4.16586117E-4,
460.00,1.05080129E-4,-7.03129117E-5,-2.03944073E-4,-1.28195985E-4,-1.64749537E-4,-1.00894336E-4,-1.43975005E-4,5.19395362E-5,
470.00,-2.25266616E-4,-3.09801777E-4,-2.80926062E-4,-2.95417471E-4,-2.16798406E-4,-3.20171312E-5,-3.22142623E-5,3.48867547E-6,
480.00,-9.33302435E-5,-1.14523238E-4,-1.13426941E-4,-9.83767450E-7,2.70276323E-5,1.56282593E-4,1.04098835E-4,1.18244257E-4,
490.00,-8.69821743E-5,5.62758178E-5,1.45761747E-4,3.35323202E-5,1.11786758E-4,3.56751756E-4,4.17623931E-4,3.37487319E-4,
500.00,2.57424472E-5,1.78901551E-4,2.17888475E-4,3.92185757E-4,3.21918691E-4,1.31562076E-4,1.09816872E-4,9.54626812E-5,
510.00,-3.63052066E-4,-2.23792231E-4,-2.18017420E-4,5.74953556E-5,1.59326883E-4,1.93364278E-4,1.48299747E-4,-5.80000824E-6,
520.00,-2.20950402E-4,-2.30077305E-4,-1.25650491E-4,-7.69328835E-5,2.33696064E-5,1.23320729E-4,1.60424795E-4,1.63441742E-4,
530.00,-3.27963295E-4,-4.80587769E-4,-3.56819801E-4,-3.89693509E-4,-5.29610261E-4,-7.05314975E-4,-8.84787645E-4,-6.55660930E-4,
540.00,-4.38214687E-4,-3.33290227E-4,-4.76219982E-4,-4.11569548E-4,-3.14084027E-4,-1.19180419E-4,-1.38664225E-4,-1.38720890E-4,
550.00,-3.94036644E-4,-3.87744483E-4,-4.45167912E-4,-4.39061463E-4,-3.73741641E-4,-4.53846093E-4,-3.94106202E-4,-3.07456154E-4,
560.00,-3.14923440E-4,-8.86300550E-5,6.60752767E-6,3.14403405E-5,-2.06238710E-5,-1.64212888E-5,-9.18639562E-5,-1.75423396E-4,
570.00,-4.48428560E-4,-3.72837880E-4,-4.34082525E-4,-3.65819316E-4,-1.61222037E-4,-1.51522399E-4,-1.23243197E-4,-2.24875635E-4,
580.00,-4.97262110E-4,-4.59940900E-4,-5.80645341E-4,-5.93985431E-4,-5.04427531E-4,-5.82779350E-4,-5.48856275E-4,-5.01108472E-4,
590.00,-3.45346372E-4,-3.32924072E-4,-3.74922005E-4,-3.58234043E-4,-2.99635256E-4,-1.26738043E-4,-1.16815056E-4,7.43215351E-5,
600.00,-3.13614728E-4,-2.98606290E-4,-2.46573181E-4,-3.30283190E-4,-2.52915255E-4,-2.96609913E-4,-3.90127243E-4,-3.79860896E-4,
610.00,-2.94274534E-4,-4.11665678E-4,-4.79115930E-4,-5.69854397E-4,-5.78556443E-4,-4.40377218E-4,-3.02699744E-4,-3.44524946E-4,
620.00,-4.00542485E-4,-4.54910332E-4,-4.59161092E-4,-3.67547822E-4,-4.86856967E-4,-5.79814194E-4,-6.26954949E-4,-6.44617132E-4,
630.00,-4.07581159E-4,-2.92366691E-4,-3.37725272E-4,-5.08542056E-4,-6.46474247E-4,-6.98357238E-4,-8.28565797E-4,-1.00109086E-3,
640.00,-9.14472766E-5,-1.66086378E-4,-1.82625634E-4,-2.76212231E-4,-3.97425785E-4,-4.67552163E-4,-4.65218298E-4,-4.96624911E-4,
650.00,-1.85791389E-4,-3.49378206E-5,1.13877308E-4,2.70298886E-4,2.26854594E-4,5.04494761E-4,6.62368257E-4,5.37787564E-4,
660.00,-8.59982683E-5,-1.86974547E-4,-3.94708273E-4,-2.88639276E-4,-2.69538432E-4,-1.41286859E-4,-3.97739350E-4,-4.05929080E-4,
670.00,5.71753189E-5,-1.26246639E-4,8.45781906E-5,1.96016063E-5,-1.77356793E-4,1.66140337E-4,6.18854028E-5,-1.19200209E-4,
680.00,-2.45821400E-4,4.28399835E-6,-3.85491847E-4,-7.07649800E-4,-5.18948364E-4,-3.62847903E-4,-5.85797126E-4,-5.46245486E-4,
690.00,-7.65442557E-4,-6.59312413E-4,-1.42410354E-4,-6.52459625E-4,-5.44996932E-4,-7.98553228E-4,-9.48065426E-4,-6.97703159E-4,
700.00,-1.93786822E-4,-2.66581192E-4,5.26570111E-5,-2.63065420E-4,-3.68795212E-4,-8.85299887E-5,-3.31413874E-4,-7.76660512E-4,
