nm    	Abs  
450.00 	0.015 
449.00 	0.014 
448.00 	0.017 
447.00 	0.014 
446.00 	0.016 
445.00 	0.015 
444.00 	0.014 
443.00 	0.016 
442.00 	0.016 
441.00 	0.018 
440.00 	0.016 
439.00 	0.015 
438.00 	0.015 
437.00 	0.019 
436.00 	0.016 
435.00 	0.017 
434.00 	0.013 
433.00 	0.019 
432.00 	0.015 
431.00 	0.019 
430.00 	0.012 
429.00 	0.014 
428.00 	0.015 
427.00 	0.018 
426.00 	0.012 
425.00 	0.014 
424.00 	0.012 
423.00 	0.017 
422.00 	0.010 
421.00 	0.013 
420.00 	0.008 
419.00 	0.010 
418.00 	0.009 
417.00 	0.014 
416.00 	0.012 
415.00 	0.015 
414.00 	0.016 
413.00 	0.022 
412.00 	0.023 
411.00 	0.035 
410.00 	0.035 
409.00 	0.049 
408.00 	0.062 
407.00 	0.082 
406.00 	0.098 
405.00 	0.122 
404.00 	0.151 
403.00 	0.186 
402.00 	0.218 
401.00 	0.260 
400.00 	0.294 
399.00 	0.337 
398.00 	0.376 
397.00 	0.411 
396.00 	0.437 
395.00 	0.450 
394.00 	0.459 
393.00 	0.446 
392.00 	0.420 
391.00 	0.384 
390.00 	0.345 
389.00 	0.311 
388.00 	0.287 
387.00 	0.262 
386.00 	0.252 
385.00 	0.240 
384.00 	0.246 
383.00 	0.250 
382.00 	0.270 
381.00 	0.289 
380.00 	0.321 
379.00 	0.356 
378.00 	0.395 
377.00 	0.425 
376.00 	0.458 
375.00 	0.480 
374.00 	0.495 
373.00 	0.487 
372.00 	0.471 
371.00 	0.437 
370.00 	0.403 
369.00 	0.366 
368.00 	0.327 
367.00 	0.294 
366.00 	0.268 
365.00 	0.254 
364.00 	0.239 
363.00 	0.231 
362.00 	0.233 
361.00 	0.243 
360.00 	0.255 
359.00 	0.271 
358.00 	0.286 
357.00 	0.300 
356.00 	0.308 
355.00 	0.309 
354.00 	0.301 
353.00 	0.288 
352.00 	0.267 
351.00 	0.246 
350.00 	0.226 
349.00 	0.204 
348.00 	0.185 
347.00 	0.170 
346.00 	0.159 
345.00 	0.150 
344.00 	0.145 
343.00 	0.144 
342.00 	0.145 
341.00 	0.147 
340.00 	0.149 
339.00 	0.149 
338.00 	0.150 
337.00 	0.145 
336.00 	0.140 
335.00 	0.130 
334.00 	0.121 
333.00 	0.110 
332.00 	0.103 
331.00 	0.093 
330.00 	0.088 
329.00 	0.081 
328.00 	0.078 
327.00 	0.074 
326.00 	0.073 
325.00 	0.070 
324.00 	0.070 
323.00 	0.068 
322.00 	0.067 
321.00 	0.064 
320.00 	0.062 
319.00 	0.058 
318.00 	0.055 
317.00 	0.051 
316.00 	0.048 
315.00 	0.046 
314.00 	0.044 
313.00 	0.042 
312.00 	0.040 
311.00 	0.040 
310.00 	0.038 
309.00 	0.039 
308.00 	0.038 
307.00 	0.038 
306.00 	0.037 
305.00 	0.038 
304.00 	0.037 
303.00 	0.038 
302.00 	0.038 
301.00 	0.040 
300.00 	0.040 
