nm    	Abs   
450.00 	-0.010 
449.00 	-0.010 
448.00 	-0.011 
447.00 	-0.010 
446.00 	-0.014 
445.00 	-0.011 
444.00 	-0.013 
443.00 	-0.008 
442.00 	-0.011 
441.00 	-0.005 
440.00 	-0.007 
439.00 	-0.003 
438.00 	-0.004 
437.00 	0.004 
436.00 	0.002 
435.00 	0.006 
434.00 	0.001 
433.00 	0.008 
432.00 	0.006 
431.00 	0.010 
430.00 	0.005 
429.00 	0.007 
428.00 	0.007 
427.00 	0.010 
426.00 	0.006 
425.00 	0.006 
424.00 	0.003 
423.00 	0.008 
422.00 	0.001 
421.00 	0.000 
420.00 	0.004 
419.00 	-0.002 
418.00 	-0.001 
417.00 	-0.002 
416.00 	0.004 
415.00 	0.002 
414.00 	0.004 
413.00 	0.004 
412.00 	0.012 
411.00 	0.016 
410.00 	0.027 
409.00 	0.030 
408.00 	0.046 
407.00 	0.061 
406.00 	0.087 
405.00 	0.105 
404.00 	0.134 
403.00 	0.165 
402.00 	0.205 
401.00 	0.240 
400.00 	0.282 
399.00 	0.316 
398.00 	0.358 
397.00 	0.391 
396.00 	0.421 
395.00 	0.434 
394.00 	0.437 
393.00 	0.427 
392.00 	0.404 
391.00 	0.368 
390.00 	0.331 
389.00 	0.293 
388.00 	0.269 
387.00 	0.251 
386.00 	0.238 
385.00 	0.230 
384.00 	0.227 
383.00 	0.241 
382.00 	0.257 
381.00 	0.284 
380.00 	0.309 
379.00 	0.346 
378.00 	0.382 
377.00 	0.420 
376.00 	0.447 
375.00 	0.472 
374.00 	0.480 
373.00 	0.482 
372.00 	0.460 
371.00 	0.433 
370.00 	0.392 
369.00 	0.357 
368.00 	0.320 
367.00 	0.292 
366.00 	0.262 
365.00 	0.245 
364.00 	0.234 
363.00 	0.230 
362.00 	0.229 
361.00 	0.240 
360.00 	0.252 
359.00 	0.268 
358.00 	0.284 
357.00 	0.296 
356.00 	0.306 
355.00 	0.306 
354.00 	0.301 
353.00 	0.286 
352.00 	0.267 
351.00 	0.244 
350.00 	0.225 
349.00 	0.204 
348.00 	0.187 
347.00 	0.170 
346.00 	0.161 
345.00 	0.151 
344.00 	0.149 
343.00 	0.145 
342.00 	0.149 
341.00 	0.150 
340.00 	0.153 
339.00 	0.153 
338.00 	0.154 
337.00 	0.149 
336.00 	0.143 
335.00 	0.134 
334.00 	0.126 
333.00 	0.115 
332.00 	0.107 
331.00 	0.098 
330.00 	0.092 
329.00 	0.086 
328.00 	0.083 
327.00 	0.079 
326.00 	0.077 
325.00 	0.075 
324.00 	0.075 
323.00 	0.073 
322.00 	0.073 
321.00 	0.069 
320.00 	0.067 
319.00 	0.063 
318.00 	0.060 
317.00 	0.056 
316.00 	0.053 
315.00 	0.050 
314.00 	0.049 
313.00 	0.046 
312.00 	0.045 
311.00 	0.044 
310.00 	0.044 
309.00 	0.043 
308.00 	0.043 
307.00 	0.042 
306.00 	0.042 
305.00 	0.042 
304.00 	0.043 
303.00 	0.042 
302.00 	0.043 
301.00 	0.044 
300.00 	0.045 
