nm    	Abs  
450.00 	0.050 
449.00 	0.049 
448.00 	0.051 
447.00 	0.051 
446.00 	0.050 
445.00 	0.052 
444.00 	0.052 
443.00 	0.052 
442.00 	0.050 
441.00 	0.052 
440.00 	0.049 
439.00 	0.051 
438.00 	0.049 
437.00 	0.051 
436.00 	0.046 
435.00 	0.049 
434.00 	0.047 
433.00 	0.049 
432.00 	0.046 
431.00 	0.047 
430.00 	0.043 
429.00 	0.047 
428.00 	0.047 
427.00 	0.045 
426.00 	0.043 
425.00 	0.043 
424.00 	0.045 
423.00 	0.045 
422.00 	0.045 
421.00 	0.041 
420.00 	0.044 
419.00 	0.043 
418.00 	0.041 
417.00 	0.038 
416.00 	0.043 
415.00 	0.042 
414.00 	0.046 
413.00 	0.043 
412.00 	0.051 
411.00 	0.055 
410.00 	0.065 
409.00 	0.074 
408.00 	0.086 
407.00 	0.099 
406.00 	0.124 
405.00 	0.146 
404.00 	0.173 
403.00 	0.202 
402.00 	0.241 
401.00 	0.278 
400.00 	0.316 
399.00 	0.354 
398.00 	0.390 
397.00 	0.423 
396.00 	0.448 
395.00 	0.465 
394.00 	0.463 
393.00 	0.451 
392.00 	0.424 
391.00 	0.391 
390.00 	0.351 
389.00 	0.316 
388.00 	0.288 
387.00 	0.272 
386.00 	0.256 
385.00 	0.251 
384.00 	0.246 
383.00 	0.260 
382.00 	0.274 
381.00 	0.301 
380.00 	0.329 
379.00 	0.363 
378.00 	0.396 
377.00 	0.436 
376.00 	0.461 
375.00 	0.484 
374.00 	0.490 
373.00 	0.490 
372.00 	0.467 
371.00 	0.439 
370.00 	0.402 
369.00 	0.362 
368.00 	0.323 
367.00 	0.297 
366.00 	0.269 
365.00 	0.253 
364.00 	0.237 
363.00 	0.236 
362.00 	0.235 
361.00 	0.245 
360.00 	0.257 
359.00 	0.272 
358.00 	0.288 
357.00 	0.299 
356.00 	0.308 
355.00 	0.307 
354.00 	0.300 
353.00 	0.285 
352.00 	0.266 
351.00 	0.243 
350.00 	0.223 
349.00 	0.202 
348.00 	0.184 
347.00 	0.168 
346.00 	0.157 
345.00 	0.148 
344.00 	0.145 
343.00 	0.142 
342.00 	0.144 
341.00 	0.145 
340.00 	0.147 
339.00 	0.148 
338.00 	0.147 
337.00 	0.143 
336.00 	0.136 
335.00 	0.127 
334.00 	0.118 
333.00 	0.109 
332.00 	0.099 
331.00 	0.091 
330.00 	0.084 
329.00 	0.079 
328.00 	0.075 
327.00 	0.072 
326.00 	0.069 
325.00 	0.068 
324.00 	0.067 
323.00 	0.066 
322.00 	0.065 
321.00 	0.062 
320.00 	0.059 
319.00 	0.056 
318.00 	0.053 
317.00 	0.049 
316.00 	0.047 
315.00 	0.043 
314.00 	0.043 
313.00 	0.039 
312.00 	0.039 
311.00 	0.037 
310.00 	0.038 
309.00 	0.036 
308.00 	0.037 
307.00 	0.035 
306.00 	0.036 
305.00 	0.035 
304.00 	0.035 
303.00 	0.035 
302.00 	0.036 
301.00 	0.036 
300.00 	0.038 
