nm    	Abs   
450.00 	-0.012 
449.00 	-0.014 
448.00 	-0.010 
447.00 	-0.011 
446.00 	-0.005 
445.00 	-0.008 
444.00 	-0.003 
443.00 	-0.003 
442.00 	0.003 
441.00 	0.004 
440.00 	0.010 
439.00 	0.005 
438.00 	0.014 
437.00 	0.015 
436.00 	0.022 
435.00 	0.018 
434.00 	0.022 
433.00 	0.022 
432.00 	0.025 
431.00 	0.024 
430.00 	0.025 
429.00 	0.020 
428.00 	0.026 
427.00 	0.025 
426.00 	0.024 
425.00 	0.018 
424.00 	0.021 
423.00 	0.023 
422.00 	0.026 
421.00 	0.024 
420.00 	0.025 
419.00 	0.017 
418.00 	0.017 
417.00 	0.017 
416.00 	0.015 
415.00 	0.012 
414.00 	0.011 
413.00 	0.015 
412.00 	0.015 
411.00 	0.023 
410.00 	0.026 
409.00 	0.035 
408.00 	0.048 
407.00 	0.067 
406.00 	0.083 
405.00 	0.105 
404.00 	0.131 
403.00 	0.167 
402.00 	0.198 
401.00 	0.237 
400.00 	0.269 
399.00 	0.311 
398.00 	0.348 
397.00 	0.383 
396.00 	0.402 
395.00 	0.420 
394.00 	0.421 
393.00 	0.412 
392.00 	0.383 
391.00 	0.351 
390.00 	0.308 
389.00 	0.281 
388.00 	0.255 
387.00 	0.236 
386.00 	0.220 
385.00 	0.215 
384.00 	0.218 
383.00 	0.228 
382.00 	0.244 
381.00 	0.270 
380.00 	0.297 
379.00 	0.336 
378.00 	0.373 
377.00 	0.405 
376.00 	0.436 
375.00 	0.457 
374.00 	0.473 
373.00 	0.465 
372.00 	0.449 
371.00 	0.414 
370.00 	0.383 
369.00 	0.344 
368.00 	0.310 
367.00 	0.274 
366.00 	0.254 
365.00 	0.234 
364.00 	0.227 
363.00 	0.216 
362.00 	0.223 
361.00 	0.233 
360.00 	0.246 
359.00 	0.261 
358.00 	0.277 
357.00 	0.290 
356.00 	0.298 
355.00 	0.301 
354.00 	0.293 
353.00 	0.279 
352.00 	0.260 
351.00 	0.240 
350.00 	0.218 
349.00 	0.199 
348.00 	0.181 
347.00 	0.168 
346.00 	0.156 
345.00 	0.149 
344.00 	0.144 
343.00 	0.144 
342.00 	0.144 
341.00 	0.148 
340.00 	0.149 
339.00 	0.151 
338.00 	0.149 
337.00 	0.147 
336.00 	0.139 
335.00 	0.131 
334.00 	0.120 
333.00 	0.112 
332.00 	0.102 
331.00 	0.096 
330.00 	0.088 
329.00 	0.084 
328.00 	0.078 
327.00 	0.077 
326.00 	0.073 
325.00 	0.072 
324.00 	0.070 
323.00 	0.070 
322.00 	0.067 
321.00 	0.066 
320.00 	0.062 
319.00 	0.059 
318.00 	0.055 
317.00 	0.052 
316.00 	0.048 
315.00 	0.045 
314.00 	0.043 
313.00 	0.042 
312.00 	0.040 
311.00 	0.039 
310.00 	0.038 
309.00 	0.037 
308.00 	0.037 
307.00 	0.036 
306.00 	0.037 
305.00 	0.036 
304.00 	0.036 
303.00 	0.036 
302.00 	0.037 
301.00 	0.037 
300.00 	0.039 
