nm	XPyn	Pyn	XPynMOF	PynMOF
700	101	0.00432137378264258	102.1	0.00902574208691015
699	101	0.00432137378264258	101.6	0.00689370794790044
698	100.8	0.00346053210950647	102	0.00860017176191758
697	101.3	0.00560944536028036	102.6	0.0111473607757974
696	101.3	0.00560944536028036	102.2	0.00945089579869395
695	100.8	0.00346053210950647	101.8	0.00774777800073994
694	101.5	0.00646604224923172	102.6	0.0111473607757974
693	100.9	0.00389116623691056	102.2	0.00945089579869395
692	100.9	0.00389116623691056	102.3	0.0098756337121601
691	100.6	0.00259798071990853	102.3	0.0098756337121601
690	101.3	0.00560944536028036	102.9	0.012415374762433
689	100.9	0.00389116623691056	102.7	0.0115704435972783
688	100.9	0.00389116623691056	101.9	0.00817418400642644
687	100.8	0.00346053210950647	102	0.00860017176191758
686	101.4	0.0060379549973172	103	0.0128372247051722
685	101	0.00432137378264258	102.3	0.0098756337121601
684	100.8	0.00346053210950647	102.3	0.0098756337121601
683	101.4	0.0060379549973172	102.5	0.0107238653917731
682	101.2	0.00518051250378033	102.3	0.0098756337121601
681	101	0.00432137378264258	102.4	0.0102999566398121
680	101.2	0.00518051250378033	102.2	0.00945089579869395
679	101.2	0.00518051250378033	102.3	0.0098756337121601
678	101.3	0.00560944536028036	103.1	0.0132586652835165
677	101.4	0.0060379549973172	102.9	0.012415374762433
676	100.8	0.00346053210950647	102.2	0.00945089579869395
675	101.2	0.00518051250378033	102.6	0.0111473607757974
674	101.3	0.00560944536028036	102.7	0.0115704435972783
673	101.2	0.00518051250378033	102.4	0.0102999566398121
672	101.4	0.0060379549973172	102.8	0.0119931146592569
671	101.2	0.00518051250378033	103	0.0128372247051722
670	101.3	0.00560944536028036	102.3	0.0098756337121601
669	100.9	0.00389116623691056	102.5	0.0107238653917731
668	101	0.00432137378264258	102.9	0.012415374762433
667	101.7	0.00732095292274467	102.9	0.012415374762433
666	101.4	0.0060379549973172	102.6	0.0111473607757974
665	101.3	0.00560944536028036	102.7	0.0115704435972783
664	101.2	0.00518051250378033	102.7	0.0115704435972783
663	101	0.00432137378264258	102.4	0.0102999566398121
662	101.6	0.00689370794790044	103.2	0.0136796972911925
661	102	0.00860017176191758	103.6	0.0153597554092142
660	101.2	0.00518051250378033	102.7	0.0115704435972783
