LAMBDA	EM PYN	EM PYNMOF	Pyn N	PynMOF N
450	23933.2419647526	11234.1897141007	0.0131058786901266	0.0639374296878718
451	26387.007685093	10357.4814332993	0.0145582764147633	0.0585855089886455
452	29373.7163733961	9720.53697711983	0.0163261260782765	0.0546972415980734
453	33792.340498696	8857.80733241258	0.0189415345389994	0.049430654359814
454	39371.2977240282	8456.06489713637	0.0222437506848806	0.0469781924609176
455	46866.8702491567	8066.70978217159	0.0266804222016852	0.0446013497359637
456	56822.9850922069	8050.8934834577	0.0325735025493321	0.0445047981482512
457	70673.2071097457	7915.89785099916	0.0407715268257473	0.0436807088411449
458	87063.8024824556	7771.55578516757	0.0504732123727529	0.0427995636451773
459	108286.490642767	8049.14394348877	0.0630350408061675	0.0444941179717559
460	137103.982706006	8089.9663104403	0.0800922763667724	0.044743320671746
461	172255.615546063	8253.47257012938	0.100898725462931	0.0457414548913557
462	216149.595924384	8581.72617241701	0.126879819215384	0.0477452995990535
463	270109.908451544	8886.40233306571	0.158819231558409	0.0496052143351687
464	335568.407810308	9327.80090504988	0.197564485328443	0.0522997596083713
465	411517.808670461	9427.33140823466	0.242519362675699	0.0529073498089705
466	499636.465988567	9736.67719854294	0.294677291334472	0.0547957705922851
467	601283.781891346	10213.7736180752	0.354842909065956	0.0577082356153001
468	706883.521442973	10720.0074629723	0.417347988575231	0.0607985718793505
469	822053.062729244	11098.916670215	0.485517487531481	0.0631116469053053
470	938346.624034474	12191.3629333498	0.554352300256056	0.069780553651708
471	1051052.81224852	12993.2459954445	0.621063726680189	0.0746756991092836
472	1158789.27778581	14202.1751632849	0.684833546312786	0.0820556830548546
473	1256455.42873297	15408.0560425371	0.742642690125426	0.0894170585315089
474	1345153.74113214	16547.3429371429	0.795143719885427	0.0963719068512085
475	1418127.71231549	17821.7412813221	0.838337423679486	0.104151551490857
476	1483443.48888444	18903.9882439423	0.876998199027859	0.11075819596743
477	1533888.97522253	20484.4053517892	0.906857165989655	0.12040595134755
478	1573863.64130681	21425.6651026209	0.930518395577569	0.126151930545123
479	1607058.72506872	22586.9495925512	0.950166752274896	0.133241064565469
480	1634746.64921534	23459.2425407355	0.966555390235364	0.138566031589745
481	1648927.61281518	24096.4325383644	0.974949182313731	0.142455797903499
482	1669419.35742783	24534.0919814026	0.987078361152008	0.145127517429482
483	1674875.63846999	25442.6607055186	0.990307964575397	0.150673932203642
484	1683026.66484713	25505.1797394115	0.995132602912091	0.151055583568086
485	1691249.93036112	25931.1066235189	1	0.15365568095205
486	1686526.57052452	26155.4944270925	0.997204216758576	0.155025470375622
487	1690444.64366403	25953.1517602571	0.99952334627677	0.15379025687224
488	1682678.63334621	25924.3571936821	0.994926601110104	0.153614478634196
489	1681651.63039215	25757.6212438927	0.994318712287916	0.152596628568758
490	1671046.44523616	25928.4259507704	0.988041443573046	0.153639316617089
491	1665111.68226205	26167.6358315531	0.984528624004165	0.155099588340826
492	1654300.22445137	26693.3366486059	0.978129261345349	0.158308761957634
493	1642342.66904996	27169.2239589993	0.971051517079358	0.161213845898059
494	1633238.83827347	27306.9433874492	0.965662908462143	0.162054562788668
495	1617245.50306806	27854.9180497556	0.956196363441511	0.165399708491146
